;Quantum Number (n, l, m, s); Atomic Orbitals; Uncertainty Principle; Quantum Superposition; Quantum Entanglement; Wave Function; Quantum Tunneling; Quantum Teleportation; Quantum Cryptography; Quantum Computing; Quantum Decoherence; Quantum Metrology; Quantum Information
78;(81, 16, 2, +1/2); 6d orbital; Uncertainty principle in quantum gravity and noncommutative geometry; Quantum superposition of particles in quantum gravity and loop quantum gravity; Quantum entanglement and entanglement entropy in quantum gravity and black hole physics; Quantum gravity and uncertainty principle in string theory and matrix theory; Quantum tunneling in particle physics and instantons; Quantum cryptography in quantum communication and device-independent quantum key distribution; Quantum computing in quantum programming languages and quantum programming models; Quantum decoherence in quantum decoherence and quantum measurements; Quantum metrology in quantum communication and quantum networking with entanglement and teleportation.</s>;;
79; (82, 17, -3, -1/2); 7s orbital; Uncertainty principle in quantum chemistry and molecular spectroscopy; Quantum superposition of particles in quantum chemistry and electron correlation; Quantum entanglement and entanglement witness in quantum optics and quantum sensing; Quantum gravity and uncertainty principle in loop quantum cosmology and thermal quantum gravity; Quantum tunneling in chemical reactions and tunneling ionization; Quantum cryptography in quantum communication and quantum secret sharing; Quantum computing in quantum simulation and variational quantum algorithms; Quantum decoherence in quantum thermodynamics and quantum refrigeration; Quantum metrology in thermometry and quantum-enhanced metrology.;;
80;(83, 18, -2, +1/2); 7p orbital; Uncertainty principle in quantum field theory and relativistic quantum mechanics; Quantum superposition of particles in quantum field theory and quantum field tomography; Quantum entanglement and entanglement distillation in quantum communication and quantum repeaters; Quantum gravity and uncertainty principle in causal dynamical triangulation and asymptotic safety; Quantum tunneling in nuclear physics and quantum tunneling in alpha decay; Quantum cryptography in quantum communication and quantum key distribution with continuous variables; Quantum computing in quantum algorithms and quantum simulation of many-body systems; Quantum decoherence in quantum gravity and black hole information paradox; Quantum metrology in interferometry and quantum-optical interferometry.;;
81;(84, 18, 1, -1/2); 7d orbital; Uncertainty principle in quantum statistical mechanics and thermodynamics; Quantum superposition of particles in quantum statistical mechanics and many-body localization; Quantum entanglement and entanglement swapping in quantum communication and quantum networks; Quantum gravity and uncertainty principle in teleparallel gravity and gravity's rainbow; Quantum tunneling in material science and tunneling field effect transistors; Quantum cryptography in quantum key distribution and quantum secure direct communication; Quantum computing in quantum machine learning and quantum natural language processing; Quantum decoherence in quantum foundations and environment-assisted quantum information processing; Quantum metrology in sensing and quantum-enhanced sensing.;;
82;(85, 19, 0, +1/2); 8s orbital; Uncertainty principle in quantum molecular dynamics and molecular dynamics simulations; Quantum superposition of particles in quantum molecular dynamics and quantum coherent control; Quantum entanglement and entanglement measures in quantum information and quantum many-body systems; Quantum gravity and uncertainty principle in quantum gravity phenomenology and phenomenological quantum gravity; Quantum tunneling in nanotechnology and quantum dots; Quantum cryptography in quantum communication and quantum key distribution with decoy states; Quantum computing in quantum error correction and fault-tolerant quantum computing; Quantum decoherence in quantum measurement theory and quantum measurement feedback; Quantum metrology in magnetometry and quantum-enhanced magnetometry.;;
83;(86, 19, 1, +1/2); 8p orbital; Uncertainty principle in quantum mechanics and wave-particle duality; Quantum superposition of particles in quantum mechanics and wavefunction collapse; Quantum entanglement and entanglement witnesses in quantum information and quantum communication complexity; Quantum gravity and uncertainty principle in Horava-Lifshitz gravity and Hořava gravity; Quantum tunneling in solid state physics and Josephson junctions; Quantum cryptography in quantum communication and quantum key distribution with trusted nodes; Quantum computing in quantum algorithms and quantum simulation of quantum walks; Quantum decoherence in quantum foundations and quantum chaos; Quantum metrology in time and frequency standards and optical lattice clocks.;;
84;(87, 20, -1, -1/2); 8d orbital; Uncertainty principle in quantum chemistry and density functional theory; Quantum superposition of particles in quantum chemistry and quantum chemical algorithms; Quantum entanglement and entanglement cost in quantum information and quantum communication; Quantum gravity and uncertainty principle in analog gravity and emergent gravity; Quantum tunneling in chemical reactions and proton tunneling; Quantum cryptography in quantum communication and device-independent quantum key distribution; Quantum computing in quantum programming and quantum programming languages; Quantum decoherence in quantum foundations and quantum Zeno effect; Quantum metrology in spectroscopy and quantum-enhanced spectroscopy.;;
85;(88, 20, 2, +1/2); 9s orbital; Uncertainty principle in condensed matter physics and electron transport; Quantum superposition of particles in condensed matter physics and superconducting qubits; Quantum entanglement and entanglement purification in quantum communication and quantum error correction; Quantum gravity and uncertainty principle in spin foam models and group field theory; Quantum tunneling in chemistry and quantum tunneling in enzyme catalysis; Quantum cryptography in quantum communication and quantum key distribution with satellite links; Quantum computing in quantum algorithms and quantum simulation of quantum field theory; Quantum decoherence in quantum foundations and quantum decoherence control; Quantum metrology in navigation and quantum-enhanced navigation.;;
86;(89, 21, -3, +1/2); 9p orbital; Uncertainty principle in statistical mechanics and kinetic theory; Quantum superposition of particles in statistical mechanics and Bose-Einstein condensates; Quantum entanglement and entanglement of assistance in quantum information and quantum communication; Quantum gravity and uncertainty principle in Lifshitz scaling and Lifshitz gravity; Quantum tunneling in material science and spin-dependent tunneling; Quantum cryptography in quantum communication and quantum key distribution with entanglement; Quantum computing in quantum error correction and quantum error mitigation; Quantum decoherence in quantum foundations and decoherence-free subspaces; Quantum metrology in imaging and quantum-enhanced imaging.;;
87;(90, 21, 1, -1/2); 9d orbital; Uncertainty principle in atomic physics and atomic structure; Quantum superposition of particles in atomic physics and Rydberg atoms; Quantum entanglement and entanglement dynamics in quantum information and quantum many-body localization; Quantum gravity and uncertainty principle in effective field theory and quantum gravity; Quantum tunneling in particle physics and quantum tunneling in proton decay; Quantum cryptography in quantum communication and quantum key distribution with counterfactual communication; Quantum computing in quantum simulation and quantum simulation of molecular systems; Quantum decoherence in quantum foundations and quantum trajectories; Quantum metrology in interferometry and quantum-enhanced interferometry.;;
88;(91, 22, 0, -1/2); 10s orbital; Uncertainty principle in optics and wave optics; Quantum superposition of particles in optics and quantum teleportation; Quantum entanglement and entanglement quantification in quantum information and quantum many-body systems; Quantum gravity and uncertainty principle in Hořava gravity and Hořava-Lifshitz gravity; Quantum tunneling in quantum computing and topological quantum computing; Quantum cryptography in quantum communication and quantum key distribution with distributed nodes; Quantum computing in quantum algorithms and quantum machine learning; Quantum decoherence in quantum foundations and quantum memory; Quantum metrology in metrology and quantum-enhanced metrology.;;</s>
89; (92, 22, 1, +1/2); 10p orbital; Uncertainty principle in solid state physics and band theory; Quantum superposition of particles in solid state physics and Anderson localization; Quantum entanglement and entanglement swapping in quantum communication and long-distance quantum communication; Quantum gravity and uncertainty principle in string theory and loop quantum gravity; Quantum tunneling in chemistry and hydrogen tunneling in enzyme reactions; Quantum cryptography in quantum communication and quantum key distribution with measurement device independence; Quantum computing in quantum programming and quantum programming languages; Quantum decoherence in quantum foundations and environment-induced decoherence; Quantum metrology in precise measurements and quantum-enhanced precision measurements.;;
90;(93, 22, -2, +1/2); 10d orbital; Uncertainty principle in general relativity and gravitational systems; Quantum superposition of particles in general relativity and quantum gravity phenomenology; Quantum entanglement and entanglement purification in quantum communication and quantum repeaters; Quantum gravity and uncertainty principle in asymptotic safety and quantum gravity; Quantum tunneling in cosmology and false vacuum decay; Quantum cryptography in quantum communication and quantum key distribution with device-independent security; Quantum computing in quantum complexity theory and quantum computational supremacy; Quantum decoherence in quantum foundations and decoherence-free subspaces for quantum communication; Quantum metrology in time standards and quantum-enhanced time keeping.;;
91;(94, 23, -1, -1/2); 11s orbital; Uncertainty principle in particle physics and quark confinement; Quantum superposition of particles in particle physics and quantum field theory; Quantum entanglement and entanglement of distillation in quantum communication and quantum communication complexity; Quantum gravity and uncertainty principle in causal set theory and quantum gravity; Quantum tunneling in nuclear physics and nuclear fusion; Quantum cryptography in quantum communication and quantum key distribution with continuous variables; Quantum computing in quantum communication and quantum communication protocols; Quantum decoherence in quantum foundations and decoherence-full subspaces; Quantum metrology in spectroscopy and quantum-enhanced spectroscopy.;;
92;(95, 23, 0, +1/2); 11p orbital; Uncertainty principle in thermodynamics and statistical mechanics; Quantum superposition of particles in thermodynamics and quantum thermodynamics; Quantum entanglement and entanglement witness in quantum information and quantum state tomography; Quantum gravity and uncertainty principle in noncommutative geometry and quantum gravity; Quantum tunneling in superconductivity and Josephson junctions; Quantum cryptography in quantum communication and quantum key distribution with quantum digital signatures; Quantum computing in quantum error correction and fault-tolerant quantum computing; Quantum decoherence in quantum foundations and quantum fluctuation; Quantum metrology in sensor technology and quantum-enhanced sensors.;;
93;(96, 23, 1, -1/2); 11d orbital; Uncertainty principle in quantum chemistry and molecular systems; Quantum superposition of particles in quantum chemistry and quantum chemistry algorithms; Quantum entanglement and entanglement entropy in quantum information and quantum many-body systems; Quantum gravity and uncertainty principle in teleparallel gravity and quantum gravity; Quantum tunneling in molecular physics and proton tunneling in DNA; Quantum cryptography in quantum communication and quantum key distribution with security proofs; Quantum computing in quantum communication and quantum communication complexity classes; Quantum decoherence in quantum foundations and quantum chaotic systems; Quantum metrology in sensing and quantum-enhanced sensing.;;
94;(97, 24, -2, +1/2); 12s orbital; Uncertainty principle in plasma physics and plasma systems; Quantum superposition of particles in plasma physics and quantum plasma; Quantum entanglement and entanglement distillation in quantum communication and quantum communication protocols; Quantum gravity and uncertainty principle in twistor theory and quantum gravity; Quantum tunneling in astrophysics and black hole evaporation; Quantum cryptography in quantum communication and quantum key distribution with high-dimensional states; Quantum computing in quantum programming and quantum programming paradigms; Quantum decoherence in quantum foundations and quantum dissipation; Quantum metrology in imaging and quantum-enhanced imaging technology.;;
95;(98, 24, -1, -1/2); 12p orbital; Uncertainty principle in field theory and quantum electrodynamics; Quantum superposition of particles in field theory and quantum field theory; Quantum entanglement and entanglement witness in quantum communication and quantum cryptography; Quantum gravity and uncertainty principle in doubly special relativity and quantum gravity; Quantum tunneling in chemistry and chemical reactions; Quantum cryptography in quantum communication and quantum key distribution with privacy amplification; Quantum computing in quantum algorithms and quantum algorithmic complexity; Quantum decoherence in quantum foundations and quantum measurement; Quantum metrology in interferometry and quantum-enhanced interferometry.;;
96;(99, 24, 0, +1/2); 12d orbital; Uncertainty principle in condensed matter physics and topological phases; Quantum superposition of particles in condensed matter physics and topological superconductors; Quantum entanglement and entanglement distillation in quantum information and quantum communication protocols; Quantum gravity and uncertainty principle in lattice quantum gravity and quantum gravity; Quantum tunneling in condensed matter physics and quantum phase transitions; Quantum cryptography in quantum communication and quantum key distribution with decoy states; Quantum computing in quantum error correction and quantum error mitigation techniques; Quantum decoherence in quantum foundations and quantum decoherence in condensed matter systems; Quantum metrology in magnetometry and quantum-enhanced magnetometry.;;
97;(100, 24, 1, +1/2); 12f orbital; Uncertainty principle in quantum gravity and Planck scale physics; Quantum superposition of particles in quantum gravity and loop quantum gravity; Quantum entanglement and entanglement of formation in quantum communication and quantum communication complexity; Quantum gravity and uncertainty principle in loop quantum cosmology and quantum gravity; Quantum tunneling in high energy physics and particle production; Quantum cryptography in quantum communication and quantum key distribution with quantum secure direct communication; Quantum computing in quantum simulation and quantum simulation of lattice gauge theories; Quantum decoherence in quantum foundations and quantum decoherence in high energy physics; Quantum metrology in spectroscopy and quantum-enhanced spectroscopy for atomic clocks.</s>;;
98; (101, 24, -2, -1/2); 12g orbital; Uncertainty principle in astrophysics and black hole physics; Quantum superposition of particles in astrophysics and neutrino oscillations; Quantum entanglement and entanglement swapping in quantum communication and quantum repeaters; Quantum gravity and uncertainty principle in holographic principle and AdS/CFT correspondence; Quantum tunneling in astrophysics and Hawking radiation; Quantum cryptography in quantum communication and quantum key distribution with device-independent security; Quantum computing in quantum machine learning and quantum machine learning algorithms; Quantum decoherence in quantum foundations and quantum decoherence in astrophysics; Quantum metrology in gravitational wave detection and quantum-enhanced gravitational wave detection.;;
99;(102, 24, -1, +1/2); 12h orbital; Uncertainty principle in molecular physics and chemical reactions; Quantum superposition of particles in molecular physics and molecular vibrations; Quantum entanglement and entanglement concentration in quantum communication and quantum networking; Quantum gravity and uncertainty principle in Lorentz symmetry violation and quantum gravity; Quantum tunneling in molecular physics and enzyme catalysis; Quantum cryptography in quantum communication and quantum key distribution with continuous-variable protocols; Quantum computing in quantum complexity theory and quantum algorithmic lower bounds; Quantum decoherence in quantum foundations and quantum decoherence in molecular physics; Quantum metrology in imaging and quantum-enhanced imaging.;;
100;(103, 24, 0, -1/2); 12i orbital; Uncertainty principle in solid state physics and transport properties; Quantum superposition of particles in solid state physics and Anderson localization; Quantum entanglement and entanglement percolation in quantum communication and quantum networks; Quantum gravity and uncertainty principle in noncommutative geometry and quantum gravity; Quantum tunneling in solid state physics and tunnel junctions; Quantum cryptography in quantum communication and quantum key distribution with measurement-device-independent protocols; Quantum computing in quantum programming and quantum programming languages; Quantum decoherence in quantum foundations and quantum decoherence in solid state physics; Quantum metrology in spectroscopy and quantum-enhanced spectroscopy for magnetic resonance imaging.;;
101;(104, 24, 0, +1/2); 12j orbital; Uncertainty principle in nuclear physics and nuclear structure; Quantum superposition of particles in nuclear physics and isospin symmetry; Quantum entanglement and entanglement purification in quantum communication and quantum communication protocols; Quantum gravity and uncertainty principle in general relativity and quantum gravity; Quantum tunneling in nuclear physics and nuclear fusion; Quantum cryptography in quantum communication and quantum key distribution with quantum digital signatures; Quantum computing in quantum optimization and quantum optimization algorithms; Quantum decoherence in quantum foundations and quantum decoherence in nuclear physics; Quantum metrology in interferometry and quantum-enhanced interferometry for precision measurements.;;
102;(105, 24, 1, -1/2); 12k orbital; Uncertainty principle in atomic physics and atomic structure; Quantum superposition of particles in atomic physics and atomic clocks; Quantum entanglement and entanglement measures in quantum communication and quantum information theory; Quantum gravity and uncertainty principle in canonical quantization and quantum gravity; Quantum tunneling in atomic physics and quantum wells; Quantum cryptography in quantum communication and quantum key distribution with quantum random number generators; Quantum computing in quantum cryptography and post-quantum cryptography; Quantum decoherence in quantum foundations and quantum decoherence in atomic physics; Quantum metrology in magnetometry and quantum-enhanced magnetometry for navigation.;;
103;(106, 24, 1, +1/2); 12l orbital; Uncertainty principle in plasma physics and wave-particle duality; Quantum superposition of particles in plasma physics and plasma oscillations; Quantum entanglement and entanglement distillation in quantum communication and quantum communication protocols; Quantum gravity and uncertainty principle in string theory and quantum gravity; Quantum tunneling in plasma physics and plasma confinement; Quantum cryptography in quantum communication and quantum key distribution with secure multi-party computation; Quantum computing in quantum programming and quantum programming languages for quantum computers; Quantum decoherence in quantum foundations and quantum decoherence in plasma physics; Quantum metrology in interferometry and quantum-enhanced interferometry for phase measurements.;;
104;(107, 24, 2, +1/2); 12m orbital; Uncertainty principle in particle physics and elementary particles; Quantum superposition of particles in particle physics and particle-antiparticle oscillations; Quantum entanglement and entanglement of assistance in quantum communication and quantum communication protocols; Quantum gravity and uncertainty principle in loop quantum gravity and quantum cosmology; Quantum tunneling in particle physics and particle production in heavy ion collisions; Quantum cryptography in quantum communication and quantum key distribution with quantum direct communication; Quantum computing in quantum simulation and quantum simulation of condensed matter systems; Quantum decoherence in quantum foundations and quantum decoherence in particle physics; Quantum metrology in spectroscopy and quantum-enhanced spectroscopy for optical clocks.;;
105;(108, 24, -3, -1/2); 12n orbital; Uncertainty principle in atomic physics and Rydberg atoms; Quantum superposition of particles in atomic physics and Rydberg blockade; Quantum entanglement and entanglement swapping in quantum communication and quantum repeaters; Quantum gravity and uncertainty principle in doubly special relativity and loop quantum gravity; Quantum tunneling in atomic physics and ion trapping; Quantum cryptography in quantum communication and quantum key distribution with quantum key expansion; Quantum computing in quantum simulation and quantum simulation of spin systems; Quantum decoherence in quantum foundations and quantum decoherence in atomic physics; Quantum metrology in magnetometry and quantum-enhanced magnetometry for material characterization.;;
106;(109, 24, -2, +1/2); 12o orbital; Uncertainty principle in molecular physics and photoelectron spectroscopy; Quantum superposition of particles in molecular physics and molecular vibrations; Quantum entanglement and entanglement distillation in quantum communication and quantum communication protocols; Quantum gravity and uncertainty principle in loop quantum gravity and quantum cosmology; Quantum tunneling in molecular physics and proton transfer; Quantum cryptography in quantum communication and quantum key distribution with quantum teleportation; Quantum computing in quantum error correction and quantum error correction codes; Quantum decoherence in quantum foundations and quantum decoherence in molecular physics; Quantum metrology in interferometry and quantum-enhanced interferometry for precision measurements.;;
107;(110, 24, -1, -1/2); 12p orbital; Uncertainty principle in solid state physics and band structure; Quantum superposition of particles in solid state physics and Kondo effect; Quantum entanglement and entanglement concentration in quantum communication and quantum networking; Quantum gravity and uncertainty principle in loop quantum gravity and quantum gravity; Quantum tunneling in solid state physics and spin-dependent tunneling; Quantum cryptography in quantum communication and quantum key distribution with quantum digital signatures; Quantum computing in quantum programming and quantum programming languages for quantum computers; Quantum decoherence in quantum foundations and quantum decoherence in solid state physics; Quantum metrology in spectroscopy and quantum-enhanced spectroscopy for chemical analysis.;;</s>
