;Software Architecture Patterns; Programming Languages Adoption; User Experience Design Guidelines; IT Project Management Methodologies; Cybersecurity Threat Analysis Tools; Datacenter Physical Layout Planning; Quantum Computing Research Developments; Virtual Reality / Augmented Reality Applications; Internet Of Things (IoT) Protocol Standards; Blockchain Transactions Speed Optimizations; Edge Computing Infrastructure Improvements; Cloud Services Pricing Models; Open Source Licensing Options; Legal Issues in Technology.
66; Layered queue pattern; Haskell, Erlang; Foundation, Tailwind UI; PMBOK, Crystal, AgilePM; Infineon, Renesas; Quantum supremacy experiments, quantum machine learning applications; VR in marketing, AR in entertainment; NSQ, RabbitMQ, Apache Kafka; LTE, Wi-Fi, NB-IoT; Blockchain sharding, blockchain federated learning, blockchain off-chain scaling; Optimistic concurrency control, multi-version concurrency control, timestamp-ordering; Mozilla, PostgreSQL, BSD; Free, academic, permissive;
67; Event-based messaging pattern; Lisp, D; Bulma, Vuetify; Lean, Scrum, Crystal; Analog Devices, Maxim Integrated; Quantum error correction codes, quantum fault tolerance; VR in sports, AR in museums; Apache ActiveMQ, Amazon MQ, RabbitMQ; Bluetooth, Zigbee, Thread; Blockchain private chains, blockchain consortiums, blockchain federated systems; Distributed file systems, cloud storage, peer-to-peer storage; GPL, LGPL, EPL; Copyleft, weak copyleft, permissive.</s>;
68;  Microkernel architecture pattern; F#, Rust; Carbon, Tailwind CSS; PRINCE2, Kanban, XP; AMD, Qualcomm; Quantum annealing, quantum metrology; VR in education, AR in retail; Apache Pulsar, Google Cloud Pub/Sub, IBM MQ; LoRa, Zigbee, 5G; Blockchain smart contracts, blockchain zero-knowledge proofs, blockchain privacy preservation; Content-centric networking, information-centric networking, knowledge-centric networking; Reciprocal Public License, Reciprocal Dual License, Eclipse Public License; Free, open source, commercial-friendly;
69; Service-oriented architecture pattern; Prolog, Elixir; Semantic UI, Boostrap; SAFe, Crystal, PRINCE2; NVIDIA, Xilinx; Quantum cryptography, quantum teleportation; VR in art, AR in architecture; IBM MQ, Apache Kafka, Google Cloud Pub/Sub; Sigfox, LTE-M, NB-IoT; Blockchain state channels, blockchain payment networks, blockchain plasma; Software-defined networking, network functions virtualization, network slicing; MIT, Apache 2.0, BSD 3-clause; Free, permissive, commercial-friendly;
70; Space-based computing pattern; OCaml, Kotlin; Material UI, Bulma; LeSS, Crystal, Scrum; MediaTek, Marvell; Quantum supremacy in simulation, quantum algorithms; VR in training, AR in navigation; Kafka, RabbitMQ, Apache Pulsar; Z-Wave, Zigbee, BLE; Blockchain cross-chain interoperability, blockchain atomic swaps, blockchain relayers; Peer-to-peer networking, mesh networking, overlay networking; Artistic License, Eucalyptus License, NASA Open Source Agreement; Free, non-copyleft, academic;
71; Pipe-and-filter architecture pattern; R, Swift; Ant Design, Foundation; Crystal, PRINCE2, Waterfall; Micron, Broadcom; Quantum-dot technology, quantum communication; VR in games, AR in travel; AWS Kinesis, Google Cloud Dataflow, Azure Event Hubs; NFC, RFID, UWB; Blockchain notary schemes, blockchain sidechains, blockchain throughput optimization; Content distribution networks, distributed hash tables, distributed databases; Python Software Foundation License, Python License, Zope Public License; Free, open source, academic;
72; Model-view-controller architecture pattern; Scala, Haxe; Tailwind CSS, Milligram; Crystal, Lean, XP; Intel, Texas Instruments; Quantum algorithm optimization, quantum machine learning algorithms; VR in tourism, AR in e-commerce; Apache Flink, Apache Beam, Apache Samza; BLE, Zigbee, ANT; Blockchain lightning network, Raiden network, Plasma chain; Network latency reduction, network congestion control, network QoS; ONC-SI, Open Source Initiative Approved License, Open Software License; Free, open source, academic;
73; Blackboard architecture pattern; Smalltalk, Racket; Argon, Spectre; Crystal, PRINCE2, RUP; Xilinx, Microchip; Quantum key distribution, post-quantum cryptography; VR in automotive, AR in energy; Apache Flink, Apache Spark Streaming, Google Cloud Dataflow; LoRaWAN, NB-IoT, LTE Cat M1; Blockchain layer 2 solutions, state channels, plasma; Network security, data privacy, IoT security; Eclipse Public License, Educational Community License, Mozilla Public License; Free, open source, academic;
74; Microservices architecture pattern; Common Lisp, Groovy; Tailwind UI, MUI; Crystal, Lean, Scrum; Marvell, NXP; Quantum internet, quantum cryptographic networks; VR in fashion, AR in healthcare; Azure Event Hubs, AWS Kinesis, Google Cloud Dataflow; Bluetooth, Zigbee, Z-Wave; Blockchain plasma, state channels, off-chain transactions; Distributed databases, peer-to-peer databases, blockchain-based databases; GNU Affero General Public License, GNU General Public License, Eclipse Public License; Free, copyleft, open source;
75; Layered (cake) architecture pattern; Julia, Elm; Spectre, Carbon; SAFe, Scrum, XP; Qualcomm, NVIDIA; Quantum supremacy in optimization, quantum machine learning; VR in healthcare, AR in engineering; Google Cloud Pub/Sub, Apache Kafka, AWS Kinesis; Wi-Fi, LTE, 5G; Blockchain payment channels, off-chain computation, off-chain storage; Distributed hash tables, distributed caching, content-centric networking; Apache 2.0, BSD 2-clause, MIT; Free, permissive, open source;
76; Space-based coordination pattern; Erlang, Ruby; MUI, Semantic UI; Lean, Crystal, XP; STMicroelectronics, ON Semiconductor; Quantum error correction, fault-tolerant quantum computation; VR in film, AR in art; Apache Pulsar, Apache Kafka, AWS Kinesis; Thread, Zigbee, Bluetooth; Blockchain payment systems, blockchain off-chain transactions, blockchain lightning; Network overlays, peer-to-peer networks, distributed networks; GNU General Public License v3, GNU Affero General Public License v3, Mozilla Public License 2.0; Free, copyleft, open source;
77; Event-driven architecture pattern; Cobol, Perl; Foundation, Bulma; Crystal, SAFe, PRINCE2; Renesas, Infineon; Quantum key distribution networks, post-quantum cryptography; VR in real estate, AR in construction; AWS Kinesis, Azure Event Hubs, Google Cloud Dataflow; NB-IoT, LTE-M, LTE Cat 1; Blockchain scalability solutions, sharding, off-chain computation; Distributed file systems, network-attached storage, cloud storage; PostgreSQL License, dual licensing, BSD; Free, open source, commercial-friendly.</s>;
78;  Microkernel architecture pattern; Rust, Swift; Ant Design, Bootstrap; PRINCE2, Agile, Waterfall; Intel, NXP; Quantum annealing, quantum walks; VR in education, AR in museums; IBM Event Streams, Apache Kafka, Google Cloud Pub/Sub; LoRaWAN, Z-Wave, Zigbee; Blockchain interoperability, cross-chain communication, sidechains; Object storage, block storage, file storage; GNU Affero General Public License v3, Reciprocal Public License, Eclipse Public License; Free, copyleft, open source;
79; Pipe and filter architecture pattern; Lisp, Pascal; Tailwind CSS, Materialize; Scrum, Kanban, XP; Micron, Broadcom; Quantum metrology, quantum teleportation; VR in training, AR in maintenance; Google Cloud Pub/Sub, Apache Kafka, AWS Kinesis; NFC, RFID, BLE; Blockchain privacy protection, zero-knowledge proof, ring signature; Software-defined storage, hyper-converged infrastructure, network-attached storage; GNU General Public License v2, GNU General Public License v3, GNU Lesser General Public License; Free, copyleft, open source;
80; Service-oriented architecture pattern; Haskell, Go; Flutter, Vuetify; PRINCE2, Lean, Crystal; Qualcomm, Mediatek; Quantum cryptography, blind quantum computing; VR in tourism, AR in retail; AWS Kinesis, Azure Event Hubs, Google Cloud Dataflow; Sigfox, LTE Cat M1, LTE NB-IoT; Blockchain data provenance, blockchain supply chain, blockchain asset tracking; Cloud object storage, cloud block storage, cloud file storage; Mozilla Public License 2.0, Apache License 2.0, MIT License; Free, permissive, open source;
81; Space-based architecture pattern; Fortran, C++; Vantablack, PureCSS; RUP, XP, Crystal; IBM, ARM; Quantum entanglement, quantum communication; VR in gaming, AR in navigation; Apache Pulsar, Apache Kafka, Google Cloud Pub/Sub; NFC-V, ISO 15693, ISO 18000-6; Blockchain smart contracts, blockchain tokens, blockchain dapps; Cloud storage gateway, cloud storage appliance, cloud storage virtualization; Eclipse Public License 1.0, Common Development and Distribution License, University of Illinois/NCSA Open Source License; Free, copyleft, open source;
82; Layered (cake) architecture pattern; Kotlin, Scala; Tailwind CSS, Semantic UI; Agile, XP, Kanban; TI, Marvell; Quantum data compression, superdense coding; VR in sports, AR in fashion; Google Cloud Dataflow, Apache Kafka, AWS Kinesis; LoRaWAN, Zigbee, Z-Wave; Blockchain smart property, blockchain voting systems, blockchain decentralized identity; Distributed database, distributed cache, distributed file system; PostgreSQL License, MIT License, GNU General Public License v3; Free, copyleft, open source;
83; Microservices architecture pattern; Prolog, Erlang; Bulma, Milligram; Scrum, Lean, XP; Micron, Maxim Integrated; Quantum key distribution, quantum random number generation; VR in healthcare, AR in engineering; Google Cloud Pub/Sub, Apache Kafka, AWS Kinesis; Bluetooth LE, Bluetooth 5, Bluetooth 4; Blockchain atomic swaps, blockchain non-fungible tokens, blockchain oracles; Distributed data storage, distributed data management, distributed data processing; GNU Affero General Public License v3, GNU General Public License v3, Mozilla Public License 2.0; Free, copyleft, open source;
84; Event-driven architecture pattern; PHP, Tcl; Foundation, Spectre; SAFe, Crystal, XP; NXP, Renesas; Quantum algorithms, quantum error correction codes; VR in automotive, AR in aerospace; AWS Kinesis, Azure Event Hubs, Google Cloud Dataflow; NB-IoT, LTE-M, LTE Cat 1; Blockchain consortium blockchains, blockchain federated blockchains, blockchain private blockchains; Distributed hash tables, distributed caching, peer-to-peer networks; GNU General Public License v2, GNU General Public License v3, PostgreSQL License; Free, copyleft, open source;
85; Space-based coordination pattern; Clojure, R; Paper CSS, Bourbon; Lean, Scrum, Kanban; Texas Instruments, Marvell; Quantum bit commitment, quantum secure direct communication; VR in finance, AR in manufacturing; Apache Pulsar, Apache Kafka, Google Cloud Pub/Sub; Thread, Zigbee, Bluetooth; Blockchain distributed storage, blockchain distributed databases, blockchain distributed computing; Distributed file systems, clustered file systems, global file systems; BSD 3-clause, Apache License 2.0, MIT License; Free, permissive, open source;
86; Pipe and filter architecture pattern; Ada, Delphi; Ant Design, Bulma; Crystal, SAFe, XP; Infineon, ON Semiconductor; Quantum algorithms for optimization, quantum algorithms for machine learning; VR in architecture, AR in product design; Google Cloud Pub/Sub, Apache Kafka, AWS Kinesis; Z-Wave, Zigbee, Bluetooth 5; Blockchain cross-chain communication, blockchain notary services, blockchain sidechains; Object-based storage, block-based storage, file-based storage; GNU General Public License v3, GNU Affero General Public License v3, Eclipse Public License; Free, copyleft, open source.</s>;
87;  Layered architecture pattern; Swift, Kotlin; Material Design, Bootstrap; PRINCE2, PRiSM, PMBOK; NXP, Renesas; Quantum key distribution, quantum cryptography; VR in education, AR in healthcare; IBM Event Streams, Apache Kafka, Azure Event Hubs; LoRaWAN, Sigfox, LTE-M; Blockchain smart contracts, blockchain decentralized applications, blockchain tokenization; Cloud-native storage, software-defined storage, hyper-converged storage; GNU General Public License v2, GNU General Public License v3, PostgreSQL License; Free, copyleft, open source;
88; Microkernel architecture pattern; Rust, OCaml; Tailwind CSS, Bulma; Crystal, Lean, XP; Intel, Microchip; Quantum annealing, quantum tunneling; VR in gaming, AR in live events; AWS Kinesis, Google Cloud Pub/Sub, Apache Kafka; Zigbee, Thread, Bluetooth 5; Blockchain off-chain transactions, blockchain payment channels, blockchain state channels; Hierarchical storage management, information lifecycle management, data tape management; GNU Affero General Public License v3, GNU General Public License v3, Eclipse Public License; Free, copyleft, open source;
89; Service-oriented architecture pattern; Lua, Haskell; Semantic UI, Foundation; Agile, Scrum, Kanban; Qualcomm, Broadcom; Quantum teleportation, quantum entanglement; VR in training, AR in maintenance; Google Cloud Dataflow, Azure Event Hubs, AWS Kinesis; NB-IoT, LTE Cat 1, LTE-M; Blockchain sharding, blockchain plasma, blockchain railways; Content-addressable storage, network-attached storage, object storage; GNU General Public License v2, GNU General Public License v3, PostgreSQL License; Free, copyleft, open source;
90; Space-based architecture pattern; Go, Ruby; Spectre, Pure; SAFe, Lean, XP; AMD, ARM; Quantum bitflip code, surface code; VR in filmmaking, AR in art; Apache Kafka, IBM Event Streams, Google Cloud Pub/Sub; Bluetooth 5, Zigbee, Thread; Blockchain microblocking, blockchain validium, blockchain optimistic rollups; Distributed database, cluster computing, grid computing; GNU Affero General Public License v3, GNU General Public License v3, Eclipse Public License; Free, copyleft, open source;
91; Cell-based architecture pattern; C, Fortran; Tailwind CSS, Materialize; Waterfall, PRINCE2, PMBOK; NVIDIA, Xilinx; Quantum error correction, quantum bit reset; VR in museums, AR in theme parks; Azure Event Hubs, AWS Kinesis, Google Cloud Pub/Sub; LoRaWAN, Sigfox, LTE-M; Blockchain proof of stake, blockchain delegated proof of stake, blockchain proof of authority; Distributed hash table, peer-to-peer network, block lattice; GNU General Public License v3, GNU Affero General Public License v3, PostgreSQL License; Free, copyleft, open source;
92; Space-based pattern with functional programming; Erlang, F#; Ant Design, Bulma; Lean, SAFe, XP; NXP, Infineon; Quantum annealing algorithms, quantum adiabatic computing; VR in healthcare, AR in entertainment; Google Cloud Pub/Sub, Apache Kafka, AWS Kinesis; Zigbee, Thread, Bluetooth 5; Blockchain plasma cash, blockchain MapReduce, blockchain zk-Rollups; Content-based routing, message queues, message-oriented middleware; MIT License, Apache License 2.0, BSD 3-clause; Free, permissive, open source;
93; Blackboard architecture pattern; Perl, R; Bootstrap, Spectre; Crystal, Scrum, Kanban; Texas Instruments, STMicroelectronics; Quantum key distribution protocols, quantum secret sharing; VR in sports, AR in retail; AWS Kinesis, Azure Event Hubs, Google Cloud Pub/Sub; NB-IoT, LTE Cat 1, LTE-M; Blockchain data availability, blockchain NIPoPoWs, blockchain zk-SNARKs; Distributed caching, peer-to-peer caching, in-memory data grid; GNU General Public License v2, GNU General Public License v3, PostgreSQL License; Free, copyleft, open source;
94; Hierarchical architecture pattern; Pascal, Scala; Foundation, Semantic UI; PRINCE2, Lean, PRiSM; Qualcomm, Marvell; Quantum algorithms for cryptography, quantum random number generation; VR in therapy, AR in navigation; IBM Event Streams, Apache Kafka, Google Cloud Pub/Sub; Bluetooth 5, Zigbee, LoRaWAN; Blockchain optimistic rollups, blockchain zk-Rollups, blockchain validium; Distributed file systems, global file systems, network-attached storage; GNU Affero General Public License v3, GNU General Public License v3, Eclipse Public License; Free, copyleft, open source;
95; Peer-to-peer architecture pattern; Groovy, Racket; Materialize, Bulma; Agile, SAFe, XP; Toshiba, Samsung; Quantum walk algorithms, quantum simulators; VR in engineering, AR in engineering; Google Cloud Pub/Sub, AWS Kinesis, Azure Event Hubs; Thread, Z-Wave, Zigbee; Blockchain interoperability, blockchain relays, blockchain sidechains; Object-based storage, file-based storage, block-based storage; PostgreSQL License, GNU General Public License v3, MIT License; Free, copyleft, open source;
96; Lambda architecture pattern; D, Lisp; Tailwind CSS, Ant Design; Crystal, Lean, Kanban; NXP, Infineon; Quantum machine learning, quantum optimization; VR in marketing, AR in sales; Azure Event Hubs, Google Cloud Pub/Sub, AWS Kinesis; Bluetooth 5, Zigbee, Thread; Blockchain timestamping, blockchain notary services, blockchain data availability; Distributed database, NoSQL, NewSQL; Apache License 2.0, GNU General Public License v3, PostgreSQL License; Free, copyleft, open source.</s>;
97;  Space-based architecture pattern; Haskell, Rust; WAI, Framework7; Critical Chain, Crystal, PRiSM; Intel, Micron; Quantum annealing, quantum error correction; VR in education, AR in art; AWS Kinesis, Azure Event Hubs, Google Cloud Pub/Sub; LoRaWAN, Zigbee, Bluetooth 5; Blockchain cross-chain communication, blockchain sidechains, blockchain pegging; Cloud-native storage, cloud storage gateways, cloud block store; Mozilla Public License 2.0, GNU General Public License v3, Eclipse Public License; Free, copyleft, open source;
98; Microservices architecture pattern; Ruby, Kotlin; Ionic, Vuetify; Scrum, Waterfall, XP; Micron, Qualcomm; Quantum key distribution, quantum metrology; VR in social media, AR in live events; Google Cloud Pub/Sub, AWS Kinesis, Azure Event Hubs; Zigbee, Thread, Bluetooth 5; Blockchain off-chain computation, blockchain state channels, blockchain plasma; Distributed caching, in-memory data grids, cache coherence protocols; Common Development and Distribution License, GNU General Public License v3, Eclipse Public License; Free, copyleft, open source;
99; Event-driven architecture pattern; Prolog, Swift; Shoelace, Onsen UI; Spiral, PRINCE2, ASD; NVIDIA, IBM; Quantum teleportation, quantum entanglement; VR in film, AR in architecture; Azure Event Hubs, AWS Kinesis, Google Cloud Pub/Sub; Bluetooth 5, Z-Wave, Zigbee; Blockchain payment channels, blockchain payment networks, blockchain payment hubs; Content delivery networks, object storage services, block storage services; Apple Public Source License 2.0, GNU General Public License v3, Eclipse Public License; Free, copyleft, open source;
100; Layered (n-tier) architecture pattern; Clojure, Go; Quasar, Quasar Framework; PMBOK, RUP, Crystal; Texas Instruments, Altera; Quantum cryptography, quantum supremacy; VR in sports, AR in gaming; Google Cloud Pub/Sub, AWS Kinesis, Azure Event Hubs; Zigbee, Thread, Bluetooth 5; Blockchain consortium blockchains, blockchain federated blockchains, blockchain hybrid blockchains; Block storage, file storage, object storage; GNU Affero General Public License v3, GNU General Public License v3, Eclipse Public License; Free, copyleft, open source;
101; Service-oriented architecture pattern; Erlang, OCaml; PrimeVue, quasar; FDD, RUP, PRINCE2; Xilinx, Xilinx; Quantum supremacy, quantum supremacy experiments; VR in training, AR in assembly; AWS Kinesis, Google Cloud Pub/Sub, Azure Event Hubs; Bluetooth 5, Zigbee, Thread; Blockchain smart contracts, blockchain zero-knowledge proofs, blockchain secure multi-party computation; Distributed hash tables, peer-to-peer storage, distributed content systems; GNU General Public License v3, GNU Affero General Public License v3, Eclipse Public License; Free, copyleft, open source;
102; Space-based architecture pattern with data locality; F#, R; Kendo UI, Svelte; Lean, Agile, Crystal; Western Digital, Seagate; Quantum supremacy, quantum annealing algorithm; VR in healthcare, AR in retail; Google Cloud Pub/Sub, Azure Event Hubs, AWS Kinesis; LoRaWAN, Bluetooth 5, Zigbee; Blockchain sharding, blockchain plasma, blockchain proof of stake; Cloud-native database, distributed relational database, global database; PostgreSQL License, GNU General Public License v3, Eclipse Public License; Free, copyleft, open source;
103; Space-based architecture pattern with data partitioning; Lua, Elixir; Suave, Element; Scrum, Kanban, Lean; AMD, NVIDIA; Quantum supremacy, quantum supremacy simulations; VR in art, AR in museums; Azure Event Hubs, Google Cloud Pub/Sub, AWS Kinesis; Zigbee, Bluetooth 5, Thread; Blockchain payment channels, blockchain payment networks, blockchain off-chain computation; Distributed storage, network-attached storage, distributed file systems; Common Development and Distribution License, GNU General Public License v3, Eclipse Public License; Free, copyleft, open source;
104; Lambda architecture pattern with data duplication; Perl, Julia; Keystone JS, Ionic 4; RUP, Crystal, FDD; Toshiba, Western Digital; Quantum supremacy, quantum supremacy experiments; VR in real estate, AR in manufacturing; AWS Kinesis, Google Cloud Pub/Sub, Azure Event Hubs; Bluetooth 5, Zigbee, Thread; Blockchain cross-chain communication, blockchain relays, blockchain sidechains; Distributed caching, cache coherence protocols, in-memory data grids; GNU Affero General Public License v3, GNU General Public License v3, Eclipse Public License; Free, copyleft, open source;
105; Cell-based architecture pattern; R, Elm; Flutter, Sencha; PRINCE2, Agile, Lean; Micron, Texas Instruments; Quantum supremacy, quantum annealing; VR in finance, AR in finance; Azure Event Hubs, AWS Kinesis, Google Cloud Pub/Sub; LoRaWAN, Zigbee, Bluetooth 5; Blockchain off-chain computation, blockchain state channels, blockchain payment channels; Distributed hash tables, distributed content systems, peer-to-peer storage; PostgreSQL License, GNU General Public License v3, Eclipse Public License; Free, copyleft, open source;
106; Space-based architecture pattern with real-time processing; Python, Racket; Semantic UI, Ionic; FDD, PRINCE2, Crystal; Intel, NVIDIA; Quantum supremacy, quantum annealing; VR in automotive, AR in automotive; Google Cloud Pub/Sub, AWS Kinesis, Azure Event Hubs; Zigbee, Thread, Bluetooth 5; Blockchain timestamping, blockchain notary services, blockchain data availability; Distributed database, NoSQL, NewSQL; GNU Affero General Public License v3, GNU General Public License v3, Eclipse Public License; Free, copyleft, open source;</s>
