;"""City Names""";"""Countries containing the city""";"""Metropolitan Area (km²)""";"""World Cities Status""";"""Total Population""";"""Urban Population""";"""Greater Metro Density""";"""Language Spoken by Majority""";"""Average Salary""";"""Coordinates (Latitude, Longitude)""";"""Timezone Offset from UTC""";"""Underground System?""";"""Landmarks & Tourist Attractions""";"""Educational Institutions""";"""Political Structures""";"""Religious Buildings and Sites""";"""(Infamous or Notable Events)""";"""Current International Relations""";"""Transportation Hub?""";"""Airports near City""";"""Trains going to major cities outside country if applicable""";"""Buses serving nearby towns""";"""Shopping Centers and Markets""";"""$$$ Average Cost Of Living $$$"""
34;"""Mexico City""";"""Mexico""";"""1,485""";"""Alpha-""";"""21,892,278""";"""21,132,183""";"""5,721""";"""Spanish""";"""9,198""";"""19.4326, -99.1332""";"""6""";"""Yes""";"""Zócalo, Palacio de Bellas Artes, Templo Mayor""";"""National Autonomous University of Mexico, Instituto Politécnico Nacional""";"""Federal presidential representative democratic republic""";"""Metropolitan Cathedral, Basilica of Guadalupe""";"""1985 Mexico City earthquake, 1994 North American Free Trade Agreement, 2006 Mexican immigration protest, 2009 flu pandemic, 2014 Iguala mass kidnapping, 2016 Puebla earthquake, 2017 Mexico City earthquake, 2018 Mexican general election, 2018–2019 Mexican gasoline crisis""";"""Close relations with United States, Canada, European Union member states, China, Japan""";"""Yes""";"""Mexico City International Airport""";"""Trains to Guadalajara, Monterrey, Puebla, Querétaro, León""";"""Regular buses to nearby towns""";"""Paseo de la Reforma, Zona Rosa""";"""$$-$$$"""
35;"""Osaka""";"""Japan""";"""222.3""";"""Alpha-""";"""19,281,000""";"""17,227,796""";"""9,137""";"""Japanese""";"""29,760""";"""34.6937, 135.5023""";"""9""";"""Yes""";"""Osaka Castle, Universal Studios Japan, Osaka Aquarium""";"""Osaka University, Kansai University""";"""Parliamentary constitutional monarchy""";"""Shitennō-ji, Sumiyoshi Taisha""";"""1923 Great Kantō earthquake, 1995 Hanshin earthquake, 1994 North American Free Trade Agreement, 2018 Japanese general election, 2019 Osaka mayoral election, 2019 Japanese Imperial transition""";"""Close relations with United States, European Union member states, China, South Korea, Russia""";"""Yes""";"""Kansai International Airport, Osaka International Airport""";"""Trains to Tokyo, Nagoya, Kyoto, Kobe, Fukuoka""";"""Regular buses to nearby towns""";"""Dōtonbori, Shinsekai""";"""$$-$$$"""
36;"""Cairo""";"""Egypt""";"""2,140""";"""Beta+""";"""20,437,112""";"""19,823,331""";"""8,531""";"""Arabic""";"""6,201""";"""30.0444, 31.2357""";"""2""";"""Yes""";"""Great Pyramid of Giza, Egyptian Museum, Mosque of Muhammad Ali""";"""Cairo University, American University in Cairo""";"""Presidential republic""";"""Al-Azhar Mosque, Saint Mark's Coptic Orthodox Cathedral""";"""2011 Egyptian Revolution, 2011–2012 Egyptian parliamentary election, 2012 Egyptian presidential election, 2013 Egyptian coup d'état, 2013–2014 Egyptian constitutional referendum, 2014 Egyptian presidential election, 2015 Egyptian Parliamentary election, 2019 Egyptian constitutional referendum, 2019 Egyptian parliamentary election""";"""Close relations with United States, European Union member states, China, Russia, Arab League""";"""Yes""";"""Cairo International Airport""";"""Trains to Alexandria, Luxor, Aswan, Hurghada, Port Said""";"""Regular buses to nearby towns""";"""Khan el-Khalili, Tahrir Square""";"""$$-$$$"""
37;"""Los Angeles""";"""United States""";"""1,214.4""";"""Alpha-""";"""18,788,260""";"""17,821,359""";"""2,232""";"""English""";"""62,522""";"""34.0522, -118.2437""";"""8""";"""Yes""";"""Griffith Observatory, Hollywood Walk of Fame, Getty Center""";"""University of California, Los Angeles, University of Southern California""";"""Federal presidential representative democratic republic""";"""J. Paul Getty Museum, Cathedral of Our Lady of the Angels""";"""1965 Watts riots, 1992 Los Angeles riots, 1994 Northridge earthquake, 1999 Xerox murders, 2019 Los Angeles earthquake""";"""Close relations with Canada, Mexico, European Union member states, China, Japan, South Korea""";"""Yes""";"""Los Angeles International Airport, LA/Ontario International Airport, John Wayne Airport, Long Beach Airport""";"""Trains to San Diego, San Francisco, Las Vegas, Phoenix, Seattle""";"""Regular buses to nearby towns""";"""Rodeo Drive, The Grove, Hollywood & Highland""";"""$$-$$$"""
38;"""Tehran""";"""Iran""";"""730""";"""Alpha-""";"""15,221,909""";"""14,722,823""";"""2,116""";"""Persian""";"""15,031""";"""35.6892, 51.3890""";"""3""";"""Yes""";"""Azadi Tower, Milad Tower, Tehran Bazaar""";"""University of Tehran, Shahid Beheshti University""";"""Islamic republic""";"""Imam Khomeini Mosque, Shah Abdul Azim Shrine""";"""1978 Iranian Revolution, 1979 Iran hostage crisis, 2009 Iranian presidential election protests, 2011 Iranian protests, 2017–2018 Iranian protests, 2019–2020 Iranian protests""";"""Close relations with Syria, Iraq, Russia, China, European Union member states""";"""Yes""";"""Imam Khomeini International Airport""";"""Trains to Mashhad, Isfahan, Tabriz, Karaj, Qom""";"""Regular buses to nearby towns""";"""Tajrish Bazaar, Enghelab Street""";"""$$-$$$"""
39;"""Shanghai""";"""China""";"""6,340.5""";"""Alpha+""";"""26,317,104""";"""25,568,613""";"""2,055""";"""Mandarin""";"""10,905""";"""31.2304, 121.4737""";"""8""";"""Yes""";"""The Bund, Shanghai Tower, Yu Garden""";"""Fudan University, Shanghai Jiao Tong University""";"""Socialist one-party system""";"""Jing'an Temple, Longhua Temple, St. Ignatius Cathedral""";"""2008 Shanghai Expo, 2010 Shanghai World's Fair, 2022 Shanghai Cooperation Organisation summit""";"""Close relations with United States, European Union member states, Russia, Japan, South Korea, Africa""";"""Yes""";"""Shanghai Pudong International Airport, Shanghai Hongqiao International Airport""";"""Trains to Beijing, Hangzhou, Nanjing, Suzhou, Wuxi, Hefei, Ningbo, Fuzhou, Xiamen""";"""Regular buses to nearby towns""";"""Nanjing Road, The Bund, People's Square""";"""$$-$$$""</s>"
40;" ""Sydney""";"""Australia""";"""1,687.8""";"""Alpha-""";"""5,312,163""";"""4,757,332""";"""3,088""";"""English""";"""64,777""";"""-33.8679, 151.2071""";"""10""";"""Yes""";"""Sydney Opera House, Harbour Bridge, Bondi Beach""";"""University of Sydney, University of New South Wales""";"""Federal parliamentary constitutional monarchy""";"""Sydney Town Hall, St. Mary's Cathedral""";"""2000 Sydney Olympics, 2013-2014 Australian parliamentary eligibility crisis, 2019-2020 Australian bushfire season""";"""Close relations with New Zealand, United States, United Kingdom, Canada, China, Japan""";"""Yes""";"""Sydney Airport, Kingsford Smith Airport""";"""Trains to Melbourne, Brisbane, Canberra, Adelaide""";"""Regular buses to nearby towns""";"""Pitt Street Mall, George Street, Circular Quay""";"""$$-$$$"""
41;"""Mumbai""";"""India""";"""603.4""";"""Alpha""";"""20,712,875""";"""20,712,875""";"""7,661""";"""Marathi, Hindi""";"""6,418""";"""19.0760, 72.8777""";"""5""";"""Yes""";"""Gateway of India, Taj Mahal Palace, Elephanta Caves""";"""University of Mumbai, Indian Institute of Technology Bombay""";"""Federal parliamentary democratic republic""";"""Haji Ali Mosque, Mount Mary Church, Siddhivinayak Temple""";"""2006 Mumbai train bombings, 2008 Mumbai attacks, 2011 Mumbai bombings""";"""Close relations with United States, United Kingdom, Russia, China, European Union member states, Africa""";"""Yes""";"""Chhatrapati Shivaji Maharaj International Airport""";"""Trains to Delhi, Kolkata, Chennai, Bangalore, Hyderabad, Pune, Ahmedabad""";"""Regular buses to nearby towns""";"""Colaba Causeway, Linking Road, High Street Phoenix""";"""$$-$$$"""
42;"""Osaka""";"""Japan""";"""223.0""";"""Alpha-""";"""19,281,000""";"""19,237,000""";"""15,337""";"""Japanese""";"""38,661""";"""34.6937, 135.5022""";"""9""";"""Yes""";"""Osaka Castle, Universal Studios Japan, Dōtonbori""";"""Osaka University, Kansai University""";"""Unitary parliamentary constitutional monarchy""";"""Shitennō-ji, Sumiyoshi Taisha, Osaka Shrine""";"""2018 Osaka earthquake, 2018 Kansai earthquake, 2019 Osaka G20 summit""";"""Close relations with United States, China, South Korea, European Union member states""";"""Yes""";"""Kansai International Airport, Osaka International Airport""";"""Trains to Tokyo, Nagoya, Kyoto, Kobe, Hiroshima, Fukuoka""";"""Regular buses to nearby towns""";"""Shinsaibashi, Amerikamura, Umeda""";"""$$-$$$"""
43;"""Istanbul""";"""Turkey""";"""5,343.0""";"""Alpha""";"""15,519,267""";"""15,012,473""";"""3,311""";"""Turkish""";"""10,633""";"""41.0082, 28.9784""";"""3""";"""Yes""";"""Hagia Sophia, Topkapi Palace, Blue Mosque""";"""Istanbul University, Boğaziçi University""";"""Unitary presidential constitutional republic""";"""Sultan Ahmed Mosque, Süleymaniye Mosque, Chora Church""";"""2015 Istanbul suicide bombings, 2016 Istanbul bombing, 2016 airport attack, 2017 Istanbul nightclub shooting""";"""Close relations with United States, European Union member states, Russia, China""";"""Yes""";"""Istanbul Ataturk Airport, Sabiha Gokcen International Airport""";"""Trains to Ankara, Izmir, Bursa, Adana, Gaziantep, Diyarbakır""";"""Regular buses to nearby towns""";"""Grand Bazaar, Spice Bazaar, Istiklal Avenue""";"""$$-$$$"""
44;"""São Paulo""";"""Brazil""";"""1,521.1""";"""Alpha""";"""22,043,028""";"""21,717,922""";"""3,254""";"""Portuguese""";"""12,840""";"""-23.5505, -46.6333""";"""3""";"""Yes""";"""Pátio do Colégio, São Paulo Cathedral, Ibirapuera Park""";"""University of São Paulo, São Paulo State University""";"""Federal presidential representative democratic republic""";"""São Paulo Metropolitan Cathedral, St. Benedict Monastery""";"""2013 São Paulo floods and landslides, 2014 FIFA World Cup, 2016 Summer Olympics, 2018 Brazil prison riots""";"""Close relations with Argentina, United States, China, European Union member states, Africa""";"""Yes""";"""Guarulhos International Airport, Viracopos International Airport, Congonhas Airport""";"""Trains to Rio de Janeiro, Belo Horizonte, Curitiba, Porto Alegre""";"""Regular buses to nearby towns""";"""Rua 25 de Março, Paulista Avenue, Liberdade""";"""$$-$$$"""
45;"""Moscow""";"""Russia""";"""2,511.0""";"""Alpha""";"""17,125,503""";"""16,932,000""";"""7,021""";"""Russian""";"""29,691""";"""55.7558, 37.6176""";"""3""";"""Yes""";"""Red Square, Kremlin, Bolshoi Theatre""";"""Lomonosov Moscow State University, Moscow State University""";"""Federal semi-presidential semi-parliamentary constitutional republic""";"""Moscow Cathedral of Christ the Saviour, Saint Basil's Cathedral, Moscow Mosque""";"""2002 Moscow theater hostage crisis, 2010 Moscow Metro bombings, 2017 St. Petersburg metro bombing, 2017 Moscow–Saint Petersburg highway crash, 2020 Moscow explosion""";"""Close relations with China, United States, European Union member states, India, Japan""";"""Yes""";"""Sheremetyevo International Airport, Domodedovo International Airport, Vnukovo International Airport, Zhukovsky International Airport""";"""Trains to Saint Petersburg, Nizhny Novgorod, Kazan, Yekaterinburg, Novosibirsk, Vladivostok, Sochi""";"""Regular buses to nearby towns""";"""Tverskaya Street, GUM, Arbat Street""";"""$$-$$$"""
46;"""Beijing""";"""China""";"""16,807.8""";"""Alpha+""";"""21,516,000""";"""20,276,000""";"""1,331""";"""Mandarin""";"""16,770""";"""39.9042, 116.4074""";"""8""";"""Yes""";"""Forbidden City, Great Wall, Temple of Heaven""";"""Peking University, Tsinghua University""";"""Socialist one-party system""";"""Beijing National Stadium, Bell and Drum Towers, Fragrant Hills""";"""2008 Beijing Olympics, 2015 Asia-Pacific Economic Cooperation, 2016 G-20 Hangzhou summit, 2022 Beijing Winter Olympics""";"""Close relations with United States, European Union member states, Russia, Japan, South Korea, Africa""";"""Yes""";"""Beijing Capital International Airport, Beijing Daxing International Airport""";"""Trains to Shanghai, Guangzhou, Shenzhen, Tianjin, Chongqing, Chengdu, Xi'an, Wuhan, Hangzhou""";"""Regular buses to nearby towns""";"""Wangfujing, Qianmen Street, The Place""";"""$$-$$$"""
47;"""Cairo""";"""Egypt""";"""2,140.0""";"""Alpha""";"""20,500,000""";"""19,600,000""";"""9,500""";"""Arabic""";"""11,343""";"""30.0444, 31.2357""";"""2""";"""Yes""";"""Pyramids of Giza, Egyptian Museum, Coptic Cairo""";"""Cairo University, Ain Shams University""";"""Semi-presidential representative democratic republic""";"""Al-Azhar Mosque, Mosque of Muhammad Ali, Cairo Citadel""";"""2011 Egyptian revolution, 2012-2014 Egyptian Crisis, 2013 Rabaa massacre, 2019 Cairo hotel fire""";"""Close relations with United States, European Union member states, Russia, China, Arab League states""";"""Yes""";"""Cairo International Airport""";"""Trains to Alexandria, Luxor, Aswan""";"""Regular buses to nearby towns""";"""Khan el-Khalili, Tahrir Square, Muhammad Ali Street""";"""$$-$$$"""
48;"""Bogotá""";"""Colombia""";"""1,587.2""";"""Beta-""";"""8,742,277""";"""8,037,574""";"""3,654""";"""Spanish""";"""7,234""";"""4.6939, -74.0758""";"""5""";"""Yes""";"""Monserrate, Bolívar Square, La Candelaria""";"""Universidad Nacional de Colombia, Pontificia Universidad Javeriana""";"""Presidential representative democratic republic""";"""Botero Museum, Colón Theater, San Francisco Church""";"""2016 Bogotá car bombing, 2017 Centro Andino bombing""";"""Close relations with United States, European Union member states, China, Japan, South Korea, Africa""";"""Yes""";"""El Dorado International Airport""";"""Trains to Medellín, Cali, Barranquilla, Cartagena""";"""Regular buses to nearby towns""";"""Andino Commercial Center, Unicentro, Atlantis Plaza Mall""";"""$$-$$$"""
49;"""Paris""";"""France""";"""10,540.0""";"""Alpha+""";"""12,157,673""";"""10,858,221""";"""20,730""";"""French""";"""46,166""";"""48.8566, 2.3522""";"""1""";"""Yes""";"""Eiffel Tower, Louvre Museum, Notre-Dame Cathedral""";"""Sorbonne University, Pierre and Marie Curie University""";"""Semi-presidential representative democratic republic""";"""Sainte-Chapelle, Sacré-Cœur, Palace of Versailles""";"""2015 Paris attacks, 2016 Notre-Dame fire""";"""Close relations with United States, European Union member states, China, Russia, Japan, South Korea""";"""Yes""";"""Charles de Gaulle Airport, Orly Airport""";"""Trains to Lyon, Marseille, Toulouse, Nice, Strasbourg, Bordeaux""";"""Regular buses to nearby towns""";"""Champs-Élysées, Montmartre, Les Halles""";"""$$-$$$""</s>"
50;" ""Sydney""";"""Australia""";"""12,367.7""";"""Alpha-""";"""5,312,163""";"""4,524,304""";"""3,638""";"""English""";"""62,023""";"""-33.8679, 151.2071""";"""10""";"""Yes""";"""Sydney Opera House, Harbour Bridge, Bondi Beach""";"""University of Sydney, University of New South Wales""";"""Federal parliamentary constitutional monarchy""";"""St. Mary's Cathedral, Sydney Town Hall, Parliament of New South Wales""";"""2000 Summer Olympics, 2013–14 Australian parliamentary eligibility crisis""";"""Close relations with New Zealand, United States, United Kingdom, Canada, Japan""";"""Yes""";"""Sydney Airport""";"""Trains to Melbourne, Brisbane, Adelaide, Canberra""";"""Regular buses to nearby towns""";"""Pitt Street Mall, Queen Victoria Building, Westfield Sydney""";"""$$-$$$"""
51;"""Mumbai""";"""India""";"""603.4""";"""Alpha""";"""20,712,875""";"""20,155,385""";"""33,345""";"""Marathi, Hindi""";"""7,897""";"""19.0760, 72.8777""";"""5.5""";"""Yes""";"""Gateway of India, Taj Mahal Palace, Elephanta Caves""";"""University of Mumbai, Indian Institute of Technology Bombay""";"""Federal parliamentary democratic republic""";"""Haji Ali Dargah, Siddhivinayak Temple, Mount Mary Church""";"""2008 Mumbai attacks, 2011 Mumbai bombings""";"""Close relations with Bangladesh, Bhutan, Maldives, Nepal, Pakistan, Sri Lanka, United States, Japan, European Union member states""";"""Yes""";"""Chhatrapati Shivaji Maharaj International Airport""";"""Trains to Delhi, Chennai, Kolkata, Bangalore, Hyderabad, Ahmedabad""";"""Regular buses to nearby towns""";"""Churchgate, Bandra, Colaba""";"""$$-$$$"""
52;"""Tokyo""";"""Japan""";"""2,188.0""";"""Alpha+""";"""37,400,068""";"""31,157,649""";"""6,152""";"""Japanese""";"""38,461""";"""35.6895, 139.6917""";"""9""";"""Yes""";"""Tokyo Skytree, Tokyo Tower, Meiji Shrine""";"""University of Tokyo, Keio University""";"""Parliamentary democratic constitutional monarchy""";"""Senso-ji, Tokyo Imperial Palace, Zojoji""";"""2011 Tōhoku earthquake and tsunami, Aum Shinrikyo Tokyo subway sarin attack""";"""Close relations with United States, South Korea, China, European Union member states""";"""Yes""";"""Tokyo International Airport (Haneda)""";"""Trains to Osaka, Nagoya, Sapporo, Fukuoka, Sendai""";"""Regular buses to nearby towns""";"""Ginza, Shibuya, Shinjuku""";"""$$-$$$"""
53;"""São Paulo""";"""Brazil""";"""1,523.2""";"""Alpha""";"""21,846,507""";"""19,652,282""";"""7,750""";"""Portuguese""";"""14,608""";"""-23.5505, -46.6333""";"""3""";"""Yes""";"""Copan Building, Ibirapuera Park, Paulista Avenue""";"""University of São Paulo, São Paulo State University""";"""Federal presidential representative democratic republic""";"""São Paulo Cathedral, Pátio do Colégio, Sé Church""";"""1993 Carandiru massacre, 2016–2018 Brazilian political crisis""";"""Close relations with Argentina, United States, China, European Union member states""";"""Yes""";"""São Paulo–Guarulhos International Airport""";"""Trains to Rio de Janeiro, Belo Horizonte, Brasília, Curitiba, Porto Alegre, Recife""";"""Regular buses to nearby towns""";"""Rua 25 de Março, Morumbi, Brooklin""";"""$$-$$$"""
54;"""Seoul""";"""South Korea""";"""605.2""";"""Alpha""";"""25,620,241""";"""23,575,152""";"""17,255""";"""Korean""";"""30,336""";"""37.5703, 126.9778""";"""9""";"""Yes""";"""Gyeongbokgung Palace, N Seoul Tower, Lotte World""";"""Seoul National University, Korea University""";"""Presidential representative democratic republic""";"""Jogyesa, Myeongdong Cathedral, Bongeunsa""";"""1980 Gwangju Uprising, 1997 Asian financial crisis, Sinking of MV Sewol""";"""Close relations with United States, China, Japan, European Union member states""";"""Yes""";"""Incheon International Airport""";"""Trains to Busan, Daegu, Daejeon, Gwangju, Ulsan, Jeju""";"""Regular buses to nearby towns""";"""Myeong-dong, Gangnam, Hongdae""";"""$$-$$$"""
55;"""Istanbul""";"""Turkey""";"""5,343.0""";"""Alpha""";"""15,519,267""";"""14,483,598""";"""2,897""";"""Turkish""";"""10,424""";"""41.0053, 28.9765""";"""3""";"""Yes""";"""Hagia Sophia, Blue Mosque, Topkapi Palace""";"""Istanbul University, Boğaziçi University""";"""Parliamentary representative democratic republic""";"""Suleymaniye Mosque, Fatih Mosque, Chora Church""";"""2013 Gezi Park protests, 2016 coup d'état attempt""";"""Close relations with Albania, Azerbaijan, Bosnia and Herzegovina, Bulgaria, Croatia, Georgia, Hungary, Kosovo, Macedonia, Moldova, Montenegro, Poland, Romania, Serbia, Slovakia, Slovenia, Ukraine";" European Union member states, United States, Russia, China, Japan, South Korea""";"""Yes""";"""Istanbul Airport""";"""Trains to Ankara, Izmir, Bursa, Adana, Gaziantep, Diyarbakır""";"""Regular buses to nearby towns""";"""Grand Bazaar, Istiklal Avenue, Taksim Square"" ""$$-$$$"""
56;"""Moscow""";"""Russia""";"""2,511.0""";"""Alpha""";"""17,204,213""";"""16,149,719""";"""6,938""";"""Russian""";"""20,719""";"""55.7558, 37.6173""";"""3""";"""Yes""";"""Red Square, Kremlin, Bolshoi Theatre""";"""Lomonosov Moscow State University, Moscow State University""";"""Federal semi-presidential semi-parliamentary constitutional republic""";"""Cathedral of Christ the Saviour, Kazan Cathedral, Novodevichy Convent""";"""1999 Russian apartment bombings, 2010 Moscow Metro bombings, 2013 Moscow skyscraper fire, 2017 Saint Petersburg metro bombing""";"""Close relations with Belarus, Kazakhstan, Kyrgyzstan, Tajikistan";" India, China, Japan, Mongolia, Vietnam, South Korea, European Union member states, United States""";"""Yes""";"""Moscow Domodedovo Airport, Moscow Sheremetyevo Airport, Moscow Vnukovo Airport""";"""Trains to Saint Petersburg, Novosibirsk, Ekaterinburg, Nizhny Novgorod, Kazan, Samara, Rostov-on-Don, Sochi""";"""Regular buses to nearby towns""";"""Tverskaya Street, Gorky Park, Arbat Street"" ""$$-$$$"""
57;"""Beijing""";"""China""";"""16,410.5""";"""Alpha""";"""21,542,000""";"""18,992,000""";"""2,676""";"""Mandarin""";"""15,744""";"""39.9042, 116.3880""";"""8""";"""Yes""";"""Forbidden City, Great Wall of China, Temple of Heaven""";"""Peking University, Tsinghua University""";"""People's republic with a socialist political system under the leadership of the Communist Party of China""";"""Bell Tower, Drum Tower, Lama Temple""";"""2008 Summer Olympics, 2022 Winter Olympics""";"""Close relations with Albania, Armenia, Azerbaijan, Belarus, Bosnia and Herzegovina, Croatia, Czech Republic, Georgia, Hungary, Kazakhstan, Kyrgyzstan, Macedonia, Mongolia, Montenegro, Poland, Romania, Russia, Serbia, Slovakia, Slovenia, Tajikistan, Turkmenistan, Ukraine, Uzbekistan";" European Union member states, United States, Japan, South Korea, India, Pakistan, Iran""";"""Yes""";"""Beijing Capital International Airport, Beijing Daxing International Airport""";"""Trains to Shanghai, Guangzhou, Chongqing, Tianjin, Chengdu, Xi'an, Nanjing, Wuhan, Hangzhou""";"""Regular buses to nearby towns""";"""Wangfujing, Tiananmen Square, Sanlitun"" ""$$-$$$"""
58;"""Osaka""";"""Japan""";"""222.3""";"""Beta""";"""19,281,000""";"""17,123,096""";"""8,602""";"""Japanese""";"""26,306""";"""34.6863, 135.5101""";"""9""";"""Yes""";"""Osaka Castle, Universal Studios Japan, Dōtonbori""";"""Osaka University, Kansai University""";"""Parliamentary democratic constitutional monarchy""";"""Shitennō-ji, Sumiyoshi Taisha, Osaka Aquarium""";"""2018 Osaka tornado, 2011 Tōhoku earthquake and tsunami""";"""Close relations with United States, South Korea, China, European Union member states""";"""Yes""";"""Kansai International Airport""";"""Trains to Tokyo, Nagoya, Kyoto, Kobe""";"""Regular buses to nearby towns""";"""Shinsaibashi, Umeda, Namba""";"""$$-$$$"""
59;"""Chennai""";"""India""";"""426.7""";"""Gamma""";"""10,159,393""";"""9,010,228""";"""6,500""";"""Tamil""";"""7,431""";"""13.0827, 80.2707""";"""5.5""";"""Yes""";"""Marina Beach, Kapaleeshwarar Temple, Madras Crocodile Bank Trust and Centre for Herpetology""";"""Anna University, University of Madras""";"""Federal presidential representative democratic republic""";"""St. Mary's Church, San Thome Cathedral, Big Mosque""";"""2004 Indian Ocean earthquake and tsunami""";"""Close relations with Bangladesh, Bhutan, Maldives, Nepal, Pakistan, Sri Lanka, United States, Japan, European Union member states""";"""Yes""";"""Chennai International Airport""";"""Trains to Mumbai, Delhi, Kolkata, Bengaluru, Hyderabad, Cochin, Trivandrum""";"""Regular buses to nearby towns""";"""Park Sheraton & Towers, Grand Chola, The Westin Chennai""";"""$$-$$$""</s>"
