;"""School Description""";" ""Style""";" ""Period""";" ""Location""";" ""Department Head""";" ""Faculty Qualifications""";" ""Accreditation Status""";" ""Student Opportunities""";" ""Graduate Employment Rates""";" ""Curriculum Structure"""
96;"""Seoul National University Department of Architecture"; Modern, Korean; 20th Century, 21st Century; Seoul, South Korea; Prof. Kim Sung-duk dean and professor; KAIA, NAAB, and MEXT accreditation; Research centers, design studios, and international collaborations; 89% employed within six months;" Provides a rigorous architecture education that combines Korean architectural traditions with contemporary design, technology, and sustainability.""";
97;"""University of Sydney School of Architecture, Design and Planning"; Modern, Contemporary; 20th Century, 21st Century; Sydney, Australia; Prof. John Redmond dean and professor; AIA, RAIA, and TEQSA accreditation; Research centers, design studios, and global partnerships; 96% employed within six months;" Delivers an exceptional architecture education that focuses on design excellence, innovation, and social responsibility within a context of technological, environmental, and cultural complexity.""";
98;"""University of Greenwich School of Architecture, Design and Construction"; Modern, British; 20th Century, 21st Century; London, UK; Prof. Penelope Haralambidou head of school and professor; RIBA, ARB, and PRTC accreditation; Research centers, design studios, and national collaborations; 90% employed within six months;" Offers a diverse and engaging architecture education that emphasizes creative design, sustainable practice, and technical innovation.""";
99;"""The Bartlett School of Architecture, UCL"; Modern, Critical; 20th Century, 21st Century; London, UK; Prof. Bob Sheil director and professor; RIBA, ARB, and QAA accreditation; Research centers, design studios, and international partnerships; 98% employed within six months;" Delivers a world-leading education in architecture, with a focus on critical thinking, experimental design, and innovation within a context of societal, environmental, and technological change.""</s>";
100;" ""Columbia University Graduate School of Architecture, Planning and Preservation"; Modern, International; 20th Century, 21st Century; New York, USA; Prof. Mary McGeeinterim dean and professor; NAAB, AIA, and MArch accreditation; Research centers, design studios, and global collaborations; 95% employed within six months;" Offers a comprehensive education in architecture, with a focus on urbanism, sustainability, and technology within a global context.""";
101;"""ETH Zurich Department of Architecture"; Modern, Swiss; 20th Century, 21st Century; Zurich, Switzerland; Prof. Andrea Deplazes director and professor; NAAB, ETH, and DI-BK accreditation; Research centers, design studios, and international partnerships; 97% employed within six months;" Delivers a world-class education in architecture, with a focus on integrative design, digital fabrication, and environmental responsibility.""";
102;"""Harvard University Graduate School of Design"; Modern, American; 20th Century, 21st Century; Cambridge, USA; Prof. Sarah Whiting dean and professor; NEASC, NAAB, and MArch accreditation; Research centers, design studios, and global collaborations; 93% employed within six months;" Provides a rigorous education in architecture, with a focus on research, pedagogy, and practice within a context of contemporary challenges.""";
103;"""University of California, Berkeley College of Environmental Design"; Modern, Californian; 20th Century, 21st Century; Berkeley, USA; Prof. Renee Chow dean and professor; NAAB, WASC, and MArch accreditation; Research centers, design studios, and national collaborations; 94% employed within six months;" Offers a diverse education in architecture, with a focus on social equity, environmental stewardship, and technological innovation.""";
104;"""National University of Singapore School of Design and Environment"; Modern, Asian; 20th Century, 21st Century; Singapore, Singapore; Prof. Thomas Schroepfer head of architecture and urbanism and professor; CEA, NAAB, and SPA accreditation; Research centers, design studios, and regional partnerships; 92% employed within six months;" Delivers a cutting-edge education in architecture, with a focus on tropical design, digital media, and urban sustainability.""";
105;"""Politecnico di Milano School of Architecture"; Modern, Italian; 20th Century, 21st Century; Milan, Italy; Prof. Adalberto Del Bo dean and professor; MA, NAAB, and RIBA accreditation; Research centers, design studios, and international partnerships; 96% employed within six months;" Provides a dynamic education in architecture, with a focus on architectural culture, technology, and innovation within a European context.""";
106;"""Tsinghua University School of Architecture"; Modern, Chinese; 20th Century, 21st Century; Beijing, China; Prof. Wu Libo dean and professor; CEA, NAAB, and MArch accreditation; Research centers, design studios, and national collaborations; 91% employed within six months;" Offers an innovative education in architecture, with a focus on urbanization, sustainability, and digital fabrication within a Chinese context.""";
107;"""The University of Texas at Austin School of Architecture"; Modern, American; 20th Century, 21st Century; Austin, USA; Prof. Michelle Addington dean and professor; SACS, NAAB, and MArch accreditation; Research centers, design studios, and national collaborations; 90% employed within six months;" Delivers a top-tier education in architecture, with a focus on environmental and cultural stewardship, materials research, and community engagement.""";
108;"""University of Oxford School of Architecture"; Modern, British; 20th Century, 21st Century; Oxford, UK; Prof. Peg Rawes head of school and professor; RIBA, QAA, and MArch accreditation; Research centers, design studios, and global collaborations; 97% employed within six months;" Provides an elite education in architecture, with a focus on history, theory, and contemporary practice within a global context.""";
109;"""University of Hong Kong Faculty of Architecture"; Modern, Asian; 20th Century, 21st Century; Hong Kong, China; Prof. Christopher webster dean and professor; HKCAAVQ, NAAB, and MArch accreditation; Research centers, design studios, and regional partnerships; 95% employed within six months;" Delivers an outstanding education in architecture, with a focus on urbanism, sustainability, and technology within a Chinese and Asian context.""</s>";
