;`Ar Workcode;Created Location;Preserved Museum;Restoration Details;Artist;Date Created;Medium;Width;Height;Depth;Period;Style;Subject Matter;Notes`
74;"""075J99""";"""Moscow, Russia""";"""State Hermitage Museum""";"""Conservation in 2019.""";"""Vasily Kandinsky""";"""1913""";"""Oil on canvas""";"""140 cm""";"""200 cm""";"""""";Abstract Art;"""Composition VII""";"""Kandinsky's Composition VII showcases his mastery of abstract art, using vibrant colors, bold shapes, and expressive lines to evoke powerful emotions and explore the spiritual dimensions of art.""";
75;"""076K00""";"""Amsterdam, Netherlands""";"""Rijksmuseum""";"""Restoration in 2021.""";"""Johannes Vermeer""";"""1665""";"""Oil on canvas""";"""45 cm""";"""41 cm""";"""""";Dutch Golden Age;"""Girl with a Pearl Earring""";"""Vermeer's enigmatic masterpiece, Girl with a Pearl Earring, exhibits the exquisite craftsmanship and intimate detail of the Dutch Golden Age, captivating viewers with its exquisite rendering and mesmerizing subject.""";
76;"""077L11""";"""Vienna, Austria""";"""Kunsthistorisches Museum""";"""Conservation in 2018.""";"""Gustav Klimt""";"""1907""";"""Gold and oil on canvas""";"""180 cm""";"""180 cm""";"""""";Art Nouveau;"""The Kiss""";"""Klimt's iconic work, The Kiss, embodies the elegance and beauty of the Art Nouveau movement, using rich gold leaf and intricate patterns to create a sensuous and captivating exploration of love and sensuality.""";
77;"""078M22""";"""London, UK""";"""Tate Modern""";"""Restoration in 2019.""";"""Yayoi Kusama""";"""1965""";"""Acrylic on canvas""";"""198 cm""";"""198 cm""";"""""";Pop Art;"""Infinity Nets""";"""Kusama's mesmerizing Infinity Nets masterpiece exemplifies the Pop Art movement, using repetitive patterns and vivid colors to draw viewers into a hypnotic, immersive exploration of the power of art.""";
78;"""079N33""";"""St. Petersburg, Russia""";"""State Russian Museum""";"""Conservation in 2020.""";"""Ilya Repin""";"""1885""";"""Oil on canvas""";"""137 cm""";"""163 cm""";"""""";Realism;"""Ivan the Terrible and His Son Ivan""";"""Repin's harrowing portrayal of Ivan the Terrible and His Son Ivan, illustrates the emotional intensity and psychological depth of the Realist movement, highlighting the power of dramatic narrative in art.""";
79;"""080P44""";"""Beijing, China""";"""Palace Museum""";"""Restoration in 2021.""";"""Qi Baishi""";"""1936""";"""Ink and color on paper""";"""85 cm""";"""100 cm""";"""""";Chinese painting;"""Eagle Standing on Pine Tree""";"""Qi Baishi's masterful Eagle Standing on Pine Tree painting, with its intricate detail and harmonious composition, demonstrates his unparalleled skill and mastery of traditional Chinese art techniques.""";
80;"""081R55""";"""Cairo, Egypt""";"""Egyptian Museum""";"""Conservation in 2019.""";"""Tutankhamun""";"""1336-1327 BCE""";"""Gold, lapis lazuli, and other semiprecious stones""";"""54 cm""";"""44 cm""";"""""";Ancient Egyptian Art;"""Death Mask""";"""Tutankhamun's death mask, crafted from precious metals and gemstones, embodies the opulence and grandeur of ancient Egyptian art, showcasing the remarkable skill and craftsmanship of its creators.""</s>";
81;" ""082T66""";"""Florence, Italy""";"""Uffizi Gallery""";"""Restoration in 2</s>";;;;;;;;;;
82;" ""083U77""";"""Amsterdam, Netherlands""";"""Rijksmuseum""";"""Conservation in 2018.""";"""Rembrandt van Rijn""";"""1642""";"""Oil on canvas""";"""141 cm""";"""199 cm""";"""""";Dutch Golden Age;"""The Night Watch""";"""Rembrandt's masterpiece, The Night Watch, features an impressive level of detail and dramatic use of light, demonstrating the artist's innovative approach and mastery of the oil painting technique.""";
83;"""084V88""";"""Paris, France""";"""Musée d'Orsay""";"""Restoration in 2020.""";"""Claude Monet""";"""1877""";"""Oil on canvas""";"""60 cm""";"""80 cm""";"""""";Impressionism;"""Women in the Garden""";"""Monet's Women in the Garden vividly captures the ephemeral nature of light and atmosphere, reflecting the artist's deep connection with the natural world and his innovative approach to the art of painting.""";
84;"""085W99""";"""New York, USA""";"""Metropolitan Museum of Art""";"""Conservation in 2017.""";"""Jackson Pollock""";"""1943""";"""Enamel paint on canvas""";"""243 cm""";"""122 cm""";"""""";Abstract Expressionism;"""Blue Poles""";"""Jackson Pollock's Blue Poles represents a radical departure from traditional painting methods, featuring a dense network of drips and splatters that reflect the artist's innovative approach and mastery of the abstract expressionist style.""";
85;"""086X00""";"""Mexico City, Mexico""";"""Palacio de Bellas Artes""";"""Restoration in 2016.""";"""Diego Rivera""";"""1934""";"""Fresco""";"""5.6 m""";"""3.8 m""";"""""";Muralism;"""Man, Controller of the Universe""";"""Diego Rivera's Man, Controller of the Universe is a powerful example of Mexican muralism, featuring vivid imagery and intricate detail that reflect the artist's deep commitment to social and political issues.""";
86;"""087Y11""";"""Athens, Greece""";"""National Archaeological Museum""";"""Conservation in 2015.""";"""Unknown Artist""";"""550 BCE""";"""Marble""";"""60 cm""";"""40 cm""";"""""";Ancient Greek Art;"""Kouros of Tenea""";"""The Kouros of Tenea is a striking example of ancient Greek sculpture, featuring a naturalistic representation of the human form and reflecting the culture's deep appreciation for beauty and harmony.""";
87;"""088Z22""";"""Madrid, Spain""";"""Museo del Prado""";"""Restoration in 2014.""";"""Francisco Goya""";"""1819-1823""";"""Oil on canvas""";"""143 cm""";"""115 cm""";"""""";Romanticism;"""The Black Paintings""";"""Goya's Black Paintings reflect the artist's dark and brooding vision, featuring haunting imagery and a radical departure from traditional painting methods.""";
88;"""089A33""";"""St. Petersburg, Russia""";"""Hermitage Museum""";"""Conservation in 2013.""";"""Leonardo da Vinci""";"""1498""";"""Oil on poplar""";"""53 cm""";"""77 cm""";"""""";Renaissance;"""The Last Supper""";"""Leonardo da Vinci's Last Supper is a powerful and enduring masterpiece, reflecting the artist's innovative approach to composition, perspective, and the human form.""";
89;"""080B44""";"""Tokyo, Japan""";"""Tokyo National Museum""";"""Restoration in 2012.""";"""Hokusai""";"""1831""";"""Woodblock print""";"""25 cm""";"""37 cm""";"""""";Ukiyo-e;"""The Great Wave""";"""Hokusai's Great Wave is a masterful representation of natural power and beauty, reflecting the artist's deep connection with the natural world and his innovative approach to woodblock printing.""";
90;"""080C55""";"""London, UK""";"""British Museum""";"""Conservation in 2011.""";"""Terracotta Army""";"""210 BCE""";"""Terracotta""";"""180 cm""";"""150 cm""";"""""";Chinese Art;"""Terracotta Warriors""";"""The Terracotta Warriors are a stunning example of ancient Chinese art and craftsmanship, featuring intricately detailed and lifelike figures that reflect the culture's deep appreciation for art and history.""";
91;"""080D66""";"""Berlin, Germany""";"""Neues Museum""";"""Restoration in 2010.""";"""Thutmose""";"""1350 BCE""";"""Limestone and pigment""";"""110 cm""";"""80 cm""";"""""";Ancient Egyptian Art;"""Bust of Nefertiti""";"""The bust of Nefertiti is a masterful representation of ancient Egyptian art and culture, featuring intricate detail and lifelike features that reflect the artist's deep understanding of the human form and the importance of symbolism in Egyptian art.""</s>";
