;Biological entity name; Role or function within system; Genetic information (type); Cellular location(s)/compartmentalization; Protein tertiary structure; Post-translational modifications; Expression patterns across tissues / life stages; Evolutionary history; Interactions with other entities; Mutations and their effects; Protein-protein interaction networks; Pathway annotations**
80; Collagen; Extracellular matrix structure and cell adhesion; RNA, transcribed into nuclear genome; Extracellular space; Triple helical structure; Modifications include hydroxylation, glycosylation, and disulfide bonding; Expressed in various tissues, especially connective tissue; Orthologs in many animals; Interact with other collagens, integrins, and growth factors; Mutations associated with connective tissue disorders, skin diseases, and bone abnormalities; ECM-receptor interaction pathway; Focal adhesion pathway
81; Hemoglobin; Oxygen transport in blood; RNA, transcribed into nuclear genome; Erythrocytes (red blood cells); Tetrameric structure with four subunits; Modifications include post-translational modifications for oxygen binding; Expressed primarily in erythroid cells; Orthologs in many animals; Interact with oxygen, carbon dioxide, and 2,3-bisphosphoglycerate; Mutations associated with anemia, jaundice, and respiratory disorders; Hypoxia-inducible factor (HIF) pathway; Oxidative phosphorylation pathway
82; Lactase; Digestion of lactose in milk; RNA, transcribed into nuclear genome; Brush border of small intestine epithelial cells; Membrane-bound enzyme; Modifications include glycosylation for stability; Expressed primarily in lactating mammals; Orthologs in some animals; Interact with lactose, H+ ions, and other membrane proteins; Mutations associated with lactose intolerance; Carbohydrate digestion and absorption pathway; Lactation pathway
83; Insulin; Regulation of glucose metabolism; RNA, transcribed into nuclear genome; Secretory vesicles of pancreatic β-cells; Compact structure with two chains connected by disulfide bonds; Modifications include sulfation and C-terminal amidation; Expressed primarily in pancreatic β-cells; Orthologs in many animals; Interact with insulin receptor and IGF-1 receptor; Mutations associated with diabetes mellitus; Insulin signaling pathway; Glucose metabolism pathway
84; Transferrin; Iron transport in blood; RNA, transcribed into nuclear genome; Plasma; Bilobed structure with Fe3+-binding sites; Modifications include glycosylation for stability; Expressed primarily in liver; Orthologs in many animals; Interact with iron, transferrin receptor, and ferritin; Mutations associated with iron overload disorders; Transferrin endocytosis and recycling pathway; Iron homeostasis pathway
85; Rhodopsin; Light detection in visual phototransduction; RNA, transcribed into nuclear genome; Rod cells (eye); Seven-transmembrane structure; Modifications include retinal binding for light absorption; Expressed primarily in retina; Orthologs in many animals; Interact with retinal, G-protein transducin, and phosphodiesterase; Mutations associated with retinal degeneration; Visual phototransduction pathway; G-protein coupled receptor signaling pathway
86; Aldolase; Glycolysis and gluconeogenesis; RNA, transcribed into nuclear genome; Cytoplasm; Tetrameric structure with active sites; Modifications include phosphorylation for regulation; Expressed in various tissues, especially anaerobic cells; Orthologs in many organisms; Interact with fructose-1,6-bisphosphate, phosphate, and other enzymes; Mutations associated with metabolic disorders; Glycolysis/gluconeogenesis pathway; Carbohydrate metabolism pathway
87; Cytochrome c; Electron transport in mitochondria; RNA, transcribed into mitochondrial genome; Mitochondria; Heme-binding protein; Modifications include oxidation-reduction for electron transfer; Expressed primarily in eukaryotic cells; Orthologs in many organisms; Interact with other mitochondrial electron transport chain components; Mutations associated with neuromuscular disorders and aging; Oxidative phosphorylation pathway; Cellular respiration pathway
88; Toll-like receptor 4; Pattern recognition receptor in innate immunity; RNA, transcribed into nuclear genome; Cell surface; Transmembrane receptor with leucine-rich repeats; Modifications include glycosylation for stability and trafficking; Expressed primarily in immune cells; Orthologs in many animals; Interact with LPS, MD-2, CD14, and adapter proteins; Mutations associated with susceptibility to bacterial infections; Toll-like receptor signaling pathway; NF-κB signaling pathway</s>
89;  Tubulin alpha-1a; Structural support and intracellular transport in cytoskeleton; RNA, transcribed into nuclear genome; Cytoplasm; Heterodimer with beta-tubulin; Modifications include tyrosination and detyrosination; Expressed in all eukaryotic cells; Orthologs in many eukaryotes; Interact with microtubule-associated proteins; Mutations associated with neurological disorders; Microtubule-based processes pathway; Cell cycle pathway
90; Ribosomal protein L30; Component of the large ribosomal subunit; RNA, transcribed into nuclear genome; Cytoplasm; Alpha-helical structure; Modifications include numerous post-translational modifications for stability; Expressed in all cells for protein synthesis; Orthologs in many organisms; Interact with other ribosomal proteins and rRNA; Mutations associated with Diamond-Blackfan anemia; Ribosome biogenesis pathway; Translation pathway
91; Caspase-3; Executioner protease during apoptosis; RNA, transcribed into nuclear genome; Cytosol, nucleus during apoptosis; Alpha-helical and beta-sheet structure; Modifications include cleavage activation; Expressed in various tissues and developmental stages; Orthologs in many animals; Interact with other caspases and apoptotic regulators; Mutations associated with nervous system disorders; Apoptosis pathway; Cell death pathway
92; Transferrin; Iron transport and homeostasis; RNA, transcribed into nuclear genome; Plasma; Bilobed protein structure; Modifications include glycosylation for stability and function; Expressed primarily in liver; Orthologs in many vertebrates; Interact with transferrin receptor, iron, and acidic environments; Mutations associated with iron overload disorders; Iron homeostasis pathway; Transferrin transport pathway
93; Fibrinogen; Blood clotting and hemostasis; RNA, transcribed into nuclear genome; Plasma; Dimeric structure with coiled-coil, β-sheet, and α-helical regions; Modifications include cleavage for activation and fibrin polymerization; Expressed primarily in liver; Orthologs in many animals; Interact with thrombin, platelets, and fibrinolytic enzymes; Mutations associated with bleeding and clotting disorders; Coagulation cascade pathway; Hemostasis pathway
94; Estrogen receptor alpha; Hormone receptor for estrogen-mediated gene regulation; RNA, transcribed into nuclear genome; Nucleus; Structurally composed of several domains; Modifications include phosphorylation and dimerization; Expressed primarily in reproductive tissues and some other tissues; Orthologs in many vertebrates; Interact with estrogen, coregulators, and genomic DNA; Mutations associated with breast cancer and other reproductive disorders; Estrogen signaling pathway; Gene regulation pathway
95; Apolipoprotein B-100; Lipid transport in blood; RNA, transcribed into nuclear genome; Plasma; Lipoprotein particle with amphipathic helices; Modifications include glycosylation and lipidation; Expressed primarily in liver and intestine; Orthologs in many animals; Interact with lipids, lipoproteins, and cell-surface receptors; Mutations associated with hyperlipidemia and cardiovascular disease; Lipid metabolism pathway; Lipoprotein transport pathway
96; Collagen alpha-1(I); Structural component of extracellular matrix; RNA, transcribed into nuclear genome; Extracellular matrix; Triple-helical structure; Modifications include hydroxylation, glycosylation, and crosslinking; Expressed primarily in connective tissues; Orthologs in many animals; Interact with other collagens and extracellular matrix proteins; Mutations associated with connective tissue disorders; Extracellular matrix organization pathway; Connective tissue pathway
97; Neuropeptide Y; Neurotransmitter and hormone involved in stress response; RNA, transcribed into nuclear genome; Neurons; Alpha-helix and beta-sheet structure; Modifications include cleavage and C-terminal amidation; Expressed primarily in nervous system and some endocrine cells; Orthologs in many vertebrates; Interact with neuropeptide Y receptors; Mutations associated with anxiety and feeding behavior disorders; Neuropeptide signaling pathway; Neurotransmission pathway
98; Acetyl-CoA carboxylase; Catalyzes the committed step in fatty acid synthesis; RNA, transcribed into nuclear genome; Cytoplasm and mitochondria; Multimeric complex; Modifications include phosphorylation for regulation; Expressed primarily in liver, adipose tissue, and lactating mammary gland; Orthologs in many organisms; Interact with biotin and fatty acid synthase; Mutations associated with metabolic disorders; Fatty acid biosynthesis pathway; Lipid metabolism pathway</s>
99;  Tubulin alpha-1a; Structural component of microtubules; RNA, transcribed into nuclear genome; Cytosol, associated with microtubules; Alpha-helical structure; Modifications include tyrosination, acetylation, and detyrosination; Expressed in all eukaryotic cells; Orthologs in many eukaryotes; Interact with tubulin beta chains and microtubule-associated proteins; Mutations associated with neurological disorders and cilia dysfunction; Microtubule-based processes pathway; Cell division pathway
100; Myosin-II heavy chain; Motor protein involved in muscle contraction and cell motility; RNA, transcribed into nuclear genome; Myofibrils in muscle cells, cytoplasm in non-muscle cells; Tertiary structure varies by isoform; Modifications include phosphorylation, sumoylation, and ubiquitination; Expressed primarily in striated and smooth muscle tissues, also in other cell types; Orthologs in many animals; Interact with actin and other myosin chains; Mutations associated with cardiac and skeletal muscle diseases; Muscle contraction pathway; Cell motility pathway
101; Hemoglobin alpha; Oxygen transport protein in red blood cells; RNA, transcribed into nuclear genome; Erythrocytes; Quaternary structure of four subunits; Modifications include carbamylation; Expressed primarily in erythroid cells; Orthologs in many animals; Interact with other hemoglobin chains, 2,3-bisphosphoglycerate, and organic phosphates; Mutations associated with anemia, jaundice, and other blood disorders; Oxygen transport pathway; Gas transport pathway
102; Ribosomal protein L3; Component of the large ribosomal subunit; RNA, transcribed into nuclear genome; Cytoplasm; Diverse structures depending on the organism; Modifications include phosphorylation and ribosylation; Expressed in all cells, essential for protein synthesis; Orthologs in many organisms; Interact with other ribosomal proteins and rRNA; Mutations associated with abnormal growth, development, and disease; Ribosome biogenesis pathway; Translation pathway
103; Glyceraldehyde 3-phosphate dehydrogenase; Key enzyme in glycolysis; RNA, transcribed into nuclear genome; Cytoplasm; Tertiary structure with multiple domains; Modifications include phosphorylation, acetylation, and glycosylation; Expressed in most cells, ubiquitous distribution; Orthologs in many organisms; Interact with other glycolytic enzymes and metabolic proteins; Mutations associated with muscle and neurological disorders; Glycolysis/gluconeogenesis pathway; Metabolism pathway
104; Histone H3; Nucleosome component involved in chromatin structure and gene regulation; RNA, transcribed into nuclear genome; Nucleus; Tertiary structure with alpha-helices; Modifications include methylation, acetylation, ubiquitination, and phosphorylation; Expressed in all eukaryotic cells; Orthologs in many eukaryotes; Interact with other histones, DNA, and regulatory proteins; Mutations associated with developmental abnormalities and cancer; Chromatin remodeling pathway; Epigenetic regulation pathway
105; Cyclin-dependent kinase 4; Regulatory subunit of the CDK4/6 complex; RNA, transcribed into nuclear genome; Nucleus; Tertiary structure with multiple domains; Modifications include phosphorylation, ubiquitination, and degradation; Expressed in many cell types, cell cycle-dependent; Orthologs in many eukaryotes; Interacts with cyclins, p16, p21, and other regulatory proteins; Mutations associated with cancer and developmental defects; Cell cycle pathway; Checkpoint pathway
106; Pyruvate dehydrogenase E1 component alpha subunit; Enzyme catalyzing the conversion of pyruvate to acetyl-CoA; RNA, transcribed into nuclear genome; Mitochondrial matrix; Multimeric enzyme complex; Modifications include phosphorylation, acetylation, and succinylation; Expressed in most cells; Orthologs in many organisms; Interacts with other PDH complex subunits and regulatory proteins; Mutations associated with metabolic disorders; Citric acid cycle pathway; Energy metabolism pathway
107; Phosphofructokinase-1; Enzyme involved in the regulation of glycolysis; RNA, transcribed into nuclear genome; Cytoplasm; Tertiary structure with multiple domains; Modifications include phosphorylation, allosteric effectors, and inhibitors; Expressed in most cells; Orthologs in many organisms; Interacts with other glycolytic enzymes and regulatory proteins; Mutations associated with metabolic diseases; Glycolysis/gluconeogenesis pathway; Metabolism pathway
108; Transcription factor SP1; DNA-binding protein regulating gene expression; RNA, transcribed into nuclear genome; Nucleus; Multiple domains, zinc-finger DNA-binding motifs; Modifications include phosphorylation, acetylation, and sumoylation; Expressed in all cells; Orthologs in many animals; Interacts with co-activators, co-repressors, and DNA; Mutations associated with cancer, neurological diseases, and inflammatory disorders; Transcription pathway; Gene regulation pathway</s>
