;"""Country Code""";"""Country Name""";"""Continent""";"""Population""";"""Currency""";"""Capital""";"""Latitude""";"""Longitude""";"""GDP (per capita)""";"""Language(s)""";"""Religion(s)""";"""Independence Day""";"""Internet Users""";"""Literacy Rate""";"""Calling Code"""
96;"""POL""";"""Poland""";"""Europe""";"""38,386,093""";"""Polish zloty""";"""Warsaw""";"""52.23""";"""21.01""";"""14,462.546""";"""Polish""";"""11th November 1918 (Independence Regained)""";"""25,592,783""";"""99.8%""";"""+48""";
97;"""CZE""";"""Czech Republic""";"""Europe""";"""10,696,202""";"""Czech koruna""";"""Prague""";"""50.08""";"""14.42""";"""20,894.04""";"""Czech, Slovak""";"""1st January 1993 (Dissolution of Czechoslovakia)""";"""7,608,921""";"""99%""";"""+42""";
98;"""SVK""";"""Slovakia""";"""Europe""";"""5,451,542""";"""Slovak koruna""";"""Bratislava""";"""48.15""";"""17.11""";"""15,438.615""";"""Slovak""";"""1st January 1993 (Dissolution of Czechoslovakia)""";"""4,331,369""";"""99%""";"""+42""";
99;"""ESP""";"""Spain""";"""Europe""";"""47,413,792""";"""Euro""";"""Madrid""";"""40.42""";"""-3.7""";"""24,547.396""";"""Spanish""";"""12th December 1978 (New Constitution)""";"""41,867,274""";"""98%""";"""+34""</s>";
100;" ""SWE""";"""Sweden""";"""Europe""";"""10,099,265""";"""Swedish krona""";"""Stockholm""";"""59.33""";"""18.07""";"""49,924.541""";"""Swedish""";"""6th June 1809 (Election of Charles XIII)""";"""9,820,000""";"""99%""";"""+46""";
101;"""\n""DEU""";"""Germany""";"""Europe""";"""83,166,711""";"""Euro""";"""Berlin""";"""52.52""";"""13.41""";"""46,190.613""";"""German""";"""3rd October 1990 (Reunification)""";"""73,324,811""";"""99%""";"""+49""";
102;"""\nGBR""";"""United Kingdom""";"""Europe""";"""66,650,000""";"""Pound sterling""";"""London""";"""51.5""";"""-0.13""";"""39,924.108""";"""English""";"""1st January 1801 (Union of Great Britain and Ireland)""";"""63,255,887""";"""99%""";"""+44""";
103;"""\nFRA""";"""France""";"""Europe""";"""67,062,000""";"""Euro""";"""Paris""";"""46.23""";"""2.21""";"""38,459.443""";"""French""";"""22nd September 1958 (Fifth Republic)""";"""57,714,618""";"""99%""";"""+33""";
104;"""\nITA""";"""Italy""";"""Europe""";"""59,432,422""";"""Euro""";"""Rome""";"""41.9""";"""12.49""";"""30,727.38""";"""Italian""";"""17th March 1861 (Kingdom of Italy Proclaimed)""";"""54,766,842""";"""99%""";"""+39""";
105;"""\nPOL""";"""Poland""";"""Europe""";"""38,497,181""";"""Polish złoty""";"""Warsaw""";"""52.23""";"""21.01""";"""15,250.956""";"""Polish""";"""11th November 1918 (Regaining Independence)""";"""36,437,244""";"""99%""";"""+48""";
106;"""\nUKR""";"""Ukraine""";"""Europe""";"""44,033,874""";"""Ukrainian hryvnia""";"""Kyiv""";"""50.45""";"""30.52""";"""8,140.851""";"""Ukrainian""";"""24th August 1991 (Independence from USSR)""";"""26,503,709""";"""99.7%""";"""+38""";
107;"""\nRUS""";"""Russia""";"""Europe / Asia""";"""145,934,462""";"""Russian ruble""";"""Moscow""";"""55.75""";"""37.62""";"""10,972.046""";"""Russian""";"""12th June 1990 (Declaration of Sovereignty)""";"""93,304,768""";"""99.6%""";"""+7""";
108;" ""\nCHN""";"""China""";"""Asia""";"""1,439,323,776""";"""Renminbi""";"""Beijing""";"""39.91""";"""116.39""";"""8,123.105""";"""Standard Chinese, Mongolian, Tibetan, Uyghur, Zhuang, many other languages""";"""1st October 1949 (Establishment of the People's Republic of China)""";"""854,061,789""";"""96.4%""";"""+86""";
109;" ""\nIND""";"""India""";"""Asia""";"""1,380,004,385""";"""Indian rupee""";"""New Delhi""";"""28.61""";"""77.21""";"""1,580.325""";"""Hindi, English, Bengali, Marathi, Telugu, Tamil, Urdu, Gujarati, malayalam, Kannada, Oriya, Punjabi, Assamese, Maithili, other languages""";"""15th August 1947 (Independence from British rule)""";"""666,060,303""";"""74.4%""";"""+91""</s>";
