;"""Religious Group"; Core Beliefs; Foundational Texts & Teachings; Divine Entities or Concepts of Worshipped & Their Attributes; Key Historical Figures; Geographical Spread & Historical Range; Demographics Distribution; Socioeconomic Status; Challenges Faced; Important Holidays; Representative Symbolism;" Major Subgroups & Estimated Adherents"""
56;" ""Religious Group: Zoroastrianism"; Core Beliefs: Ethics, Monotheism, Free Will; Foundational Texts: Avesta; Divine Entities: Ahura Mazda; Key Figures: Zoroaster, King Cyrus; Geographical Spread: Iran, India; Demographics: 120,000 adherents; Socioeconomic Status: Varied; Challenges Faced: Declining population, Assimilation; Important Holidays: Nowruz; Representative Symbolism: Faravahar;" Major Subgroups: Parsi, Iranis"""
57;" ""Religious Group: Baha'i Faith"; Core Beliefs: Unity, Religious Unity, Progressive Revelation; Foundational Texts: Kitab-i-Iqan, Hidden Words; Divine Entities: Baha'u'llah; Key Figures: Baha'u'llah, Abdu'l-Baha; Geographical Spread: Worldwide; Demographics: 7 million adherents; Socioeconomic Status: Varied; Challenges Faced: Persecution, Restrictions; Important Holidays: Naw-Ruz, Ridvan; Representative Symbolism: Nine-pointed Star;" Major Subgroups: Baha'i Administration, Baha'i Community"""
58;" ""Religious Group: Cao Dai"; Core Beliefs: Worship of Deities, Reincarnation, Divine Beings; Foundational Texts: Kinh Thiên Đạo Võ Thuật; Divine Entities: Cao Đài Trời Ôi; Key Figures: Ngô Văn Chiêu, Phạm Công Tắc; Geographical Spread: Vietnam, Worldwide; Demographics: 4 million adherents; Socioeconomic Status: Varied; Challenges Faced: Government restrictions, Membership decline; Important Holidays: Cao Dai New Year; Representative Symbolism: All-Seeing Eye;" Major Subgroups: Cao Dai Sacerdotal Council, Cao Dai Sanctuaries"""
59;" ""Religious Group: Tenrikyo Church Europe"; Core Beliefs: God the Parent, Tenri-O-no-Mikoto, Hinokishin; Foundational Texts: Ofudesaki, Mikagura-uta; Divine Entities: God the Parent, Tsukihi; Key Figures: Nakayama Miki, Iburi Izo; Geographical Spread: Europe; Demographics: 20,000 adherents; Socioeconomic Status: Varied; Challenges Faced: Integration, Membership decline; Important Holidays: Anniversary of the Founding, New Year's Day; Representative Symbolism: Red Sun;" Major Subgroups: Kanrodai, Church Headquarters""</s>"
60;"  ""Religious Group: Neo-Paganism"; Core Beliefs: Nature worship, Polytheism, Reincarnation; Foundational Texts: Varied, Including Works by Carl Jung and Gerald Gardner; Divine Entities: Varied, Including Pantheons from Various Cultures; Key Figures: Gerald Gardner, Starhawk; Geographical Spread: Worldwide; Demographics: Unknown, Likely Small; Socioeconomic Status: Varied; Challenges Faced: Stigma, Misunderstanding; Important Holidays: Eight Seasonal Festivals; Representative Symbolism: Triple Moon;" Major Subgroups: Wicca, Druidry"""
61;" ""Religious Group: Rastafari"; Core Beliefs: Love, Peace, Unity, Respect for All Living Things; Foundational Texts: The Kebra Nagast, The Bible; Divine Entities: Jah, Haile Selassie I; Key Figures: Marcus Garvey, Haile Selassie I; Geographical Spread: Jamaica, Worldwide; Demographics: Approx. 1 million adherents; Socioeconomic Status: Varied, Often Disadvantaged; Challenges Faced: Discrimination, Criminalization; Important Holidays: Birthday of Haile Selassie I, Coronation of Haile Selassie I; Representative Symbolism: Lion of Judah;" Major Subgroups: Nyabinghi, Bobo Shanti"""
62;" ""Religious Group: Unitarian Universalism"; Core Beliefs: Seven Principles, Including the Inherent Worth and Dignity of Every Person; Foundational Texts: Various, Including Works by Ralph Waldo Emerson and James Luther Adams; Divine Entities: Worship of Many Different Deities or No Deity; Key Figures: Ralph Waldo Emerson, Susan B. Anthony; Geographical Spread: Worldwide; Demographics: Approx. 200,000 adherents; Socioeconomic Status: Varied; Challenges Faced: Decline in Membership; Important Holidays: Ingathering, Flower Communion; Representative Symbolism: Flaming Chalice;" Major Subgroups: Humanism, Earth-Centered"""
63;" ""Religious Group: Confucianism"; Core Beliefs: Morality, Ethics, Filial Piety; Foundational Texts: The Analects, The Mencius; Divine Entities: Ancestors and Nature Spirits; Key Figures: Confucius, Mencius; Geographical Spread: East Asia, Worldwide; Demographics: Unknown, Likely Hundreds of Millions; Socioeconomic Status: Varied; Challenges Faced: Modernity, Secularism; Important Holidays: Confucius' Birthday; Representative Symbolism: Yin-Yang;" Major Subgroups: Neo-Confucianism, New Confucianism"""
64;" ""Religious Group: Jainism"; Core Beliefs: Non-Violence, Asceticism, Karma; Foundational Texts: Agamas, Purvas; Divine Entities: Arihants, Siddhas, Acharyas, Upadhyayas; Key Figures: Mahavira, Parsva; Geographical Spread: India, Worldwide; Demographics: Approx. 6 million adherents; Socioeconomic Status: Varied; Challenges Faced: Marginalization, Modernization; Important Holidays: Mahavir Jayanti; Representative Symbolism: Wheel of Dharma;" Major Subgroups: Digambara, Swetambara"""
65;" ""Religious Group: Shinto"; Core Beliefs: Purity, Ancestor Veneration, Kami (Spirits); Foundational Texts: Kojiki, Nihon Shoki; Divine Entities: Kami (Spirits); Key Figures: Amaterasu, Susanoo; Geographical Spread: Japan, Worldwide; Demographics: Approx. 3 million adherents; Socioeconomic Status: Varied; Challenges Faced: Secularism, Nationalism; Important Holidays: New Year's Day, Obon; Representative Symbolism: Torii;" Major Subgroups: State Shinto, Shrine Shinto"""
66;" ""Religious Group: Sikhism"; Core Beliefs: Monotheism, Equality, Service to Others; Foundational Texts: Guru Granth Sahib; Divine Entities: Ik Onkar (One God); Key Figures: Guru Nanak, Guru Gobind Singh; Geographical Spread: India, Worldwide; Demographics: Approx. 30 million adherents; Socioeconomic Status: Varied; Challenges Faced: Discrimination, Misunderstanding; Important Holidays: Vaisakhi, Gurpurbs; Representative Symbolism: Khanda;" Major Subgroups: Sahajdhari, Khalsa"""
67;" ""Religious Group: Zoroastrianism"; Core Beliefs: Monotheism, Good Deeds, Fire Veneration; Foundational Texts: Avesta; Divine Entities: Ahura Mazda (God); Key Figures: Zoroaster, Cyrus the Great; Geographical Spread: Iran, India, Worldwide; Demographics: Approx. 200,000 adherents; Socioeconomic Status: Varied; Challenges Faced: Decline in Population, Cultural Preservation; Important Holidays: Nowruz, Sadeh; Representative Symbolism: Faravahar;" Major Subgroups: Parsis, Iranis"""
68;" ""Religious Group: Brahma Kumaris"; Core Beliefs: Soul, Self-Realization, Meditation; Foundational Texts: Murlis, Avyakt Vanis; Divine Entities: Shiva Baba (God); Key Figures: Dada Lekhraj, Dadi Janki; Geographical Spread: Worldwide; Demographics: Approx. 1 million adherents; Socioeconomic Status: Varied; Challenges Faced: Perception as a Sect, Misunderstanding; Important Holidays: Raksha Bandhan, Murli Anniversary; Representative Symbolism: Blue Dome;" Major Subgroups: Yagya, BK Family"""
69;" ""Religious Group: Ravidassia"; Core Beliefs: Equality, Devotion, Liberation; Foundational Texts: Amritbani Guru Ravidass Ji; Divine Entities: Danday swami Ravidass Ji; Key Figures: Ravi Das, Ram Singh; Geographical Spread: India, Canada, United States, United Kingdom; Demographics: Approx. 10 million adherents; Socioeconomic Status: Varied; Challenges Faced: Discrimination, Marginalization; Important Holidays: Birth Anniversary of Ravi Das; Representative Symbolism: Nishan Sahib;" Major Subgroups: Ravidas Mandir, Sangat""</s>"
70;"  ""Religious Group: Cao Dai"; Core Beliefs: Worship of Deities, Reincarnation, Morality; Foundational Texts: Kinh Thiên Đạo Vận Hoa, Tân Lược Thiên Đạo; Divine Entities: Dao Cao Dai (God); Key Figures: Ngô Văn Chiêu, Phạm Công Tắc; Geographical Spread: Vietnam, Europe, North America; Demographics: Approx. 4-6 million adherents; Socioeconomic Status: Varied; Challenges Faced: Recognition, Integration; Important Holidays: New Year Festival, Anniversary of the Religion's Founding; Representative Symbolism: Divine Eye;" Major Subgroups: Cao Đài Tây Ninh, Cao Đài Hội Thành"""
71;" ""Religious Group: Neo-Paganism"; Core Beliefs: Polytheism, Nature Worship, Reincarnation; Foundational Texts: Varied Sources, Including Ancient Texts; Divine Entities: Diverse Pantheons; Key Figures: Gerald Gardner, Starhawk; Geographical Spread: Europe, North America, Australia; Demographics: Approx. 1 million adherents; Socioeconomic Status: Varied; Challenges Faced: Misunderstanding, Social Stigma; Important Holidays: Eight Sabbats, Including Samhain, Yule, Ostara, Beltane, Litha, Lughnasadh, Mabon, and Yule; Representative Symbolism: Triple Moon;" Major Subgroups: Wicca, Druidry, Heathenry"""
72;" ""Religious Group: Confucianism"; Core Beliefs: Ethics, Morality, filial Piety; Foundational Texts: Analects, Mencius, Great Learning, Doctrine of the Mean; Divine Entities: Heaven, Ancestors; Key Figures: Confucius, Mencius, Xunzi, Zengzi; Geographical Spread: China, Korea, Japan, Vietnam; Demographics: Approx. 6 million adherents; Socioeconomic Status: Varied; Challenges Faced: Modern Challenges, Integration; Important Holidays: Chinese New Year, Confucius' Birthday; Representative Symbolism: Yin Yang;" Major Subgroups: Confucian Neo-Confucianism, New Confucianism"""
73;" ""Religious Group: Tenrikyo"; Core Beliefs: God as Parent, Salvation Through Hard Work, Prayer; Foundational Texts: Ofudesaki, Osashizu; Divine Entities: God, Tenri-O-no-Mikoto; Key Figures: Nakayama Miki, Iburi Izo; Geographical Spread: Japan, Brazil, Europe, North America; Demographics: Approx. 2 million adherents; Socioeconomic Status: Varied; Challenges Faced: Decline in Membership; Important Holidays: Annual Service, Foundress' Birthday; Representative Symbolism: Red and White Flags;" Major Subgroups: Mikagura-yamakua, Kanrodai"""
74;" ""Religious Group: Taoism"; Core Beliefs: Harmony With Nature, Non-Action, Naturalness; Foundational Texts: Tao Te Ching, Chuang Tzu; Divine Entities: Diverse Taoist Deities; Key Figures: Lao Tzu, Chuang Tzu; Geographical Spread: China, Taiwan, Hong Kong, Macao; Demographics: Approx. 200 million adherents; Socioeconomic Status: Varied; Challenges Faced: Modern Challenges, Integration; Important Holidays: Chinese New Year, Lantern Festival; Representative Symbolism: Yin Yang;" Major Subgroups: Philosophical Taoism, Religious Taoism"""
75;" ""Religious Group: Unitarian Universalism"; Core Beliefs: Seven Principles, Including Respect for the Interdependent Web of All Existence; Foundational Texts: Various Sources; Divine Entities: Diverse Beliefs, Including Atheism, Agnosticism, Deism; Key Figures: Susan B. Anthony, Theodore Parker; Geographical Spread: North America, Europe, Asia; Demographics: Approx. 200,000 adherents; Socioeconomic Status: Varied; Challenges Faced: Maintaining Unity, Recognition; Important Holidays: Winter Solstice, Flower Communion; Representative Symbolism: Flaming Chalice;" Major Subgroups: Christian UUs, Buddhist UUs, Pagan UUs"""
76;" ""Religious Group: Shinto"; Core Beliefs: Polytheism, Nature Worship, Divine Presence; Foundational Texts: Kojiki, Nihon Shoki; Divine Entities: Kami (Deities); Key Figures: Amaterasu, Susanoo; Geographical Spread: Japan; Demographics: Approx. 80% of Japanese Population; Socioeconomic Status: Varied; Challenges Faced: Modern Challenges, Shifts in Beliefs; Important Holidays: New Year, Obon; Representative Symbolism: Torii;" Major Subgroups: Inari Shrine, Tenjin Shrine"""
77;" ""Religious Group: Sikhism"; Core Beliefs: Monotheism, Inequality, Selfless Service; Foundational Texts: Guru Granth Sahib; Divine Entities: Ik Onkar (God); Key Figures: Guru Nanak, Guru Gobind Singh; Geographical Spread: India, North America, United Kingdom; Demographics: Approx. 30 million adherents; Socioeconomic Status: Varied; Challenges Faced: Stereotypes, Misunderstanding; Important Holidays: Vaisakhi, Diwali; Representative Symbolism: Khanda;" Major Subgroups: Sahajdhari, Khalsa"""
78;" ""Religious Group: Jainism"; Core Beliefs: Non-Violence, Asceticism, Reincarnation; Foundational Texts: Agamas; Divine Entities: Arihants, Siddhas, Acharyas, Upadhyayas; Key Figures: Mahavira, Parsva; Geographical Spread: India, North America, Europe; Demographics: Approx. 4-5 million adherents; Socioeconomic Status: Varied; Challenges Faced: Maintaining Relevance, Preservation; Important Holidays: Paryushana, Das Lakshana; Representative Symbolism: Ahimsa;" Major Subgroups: Digambara, Shwetambara"""
79;" ""Religious Group: Rastafarianism"; Core Beliefs: Peace, Equality, Love, Unity; Foundational Texts: Kebra Nagast, Bible; Divine Entities: Jah (God); Key Figures: Haile Selassie, Marcus Garvey; Geographical Spread: Jamaica, Caribbean, Africa, Worldwide; Demographics: Approx. 1 million adherents; Socioeconomic Status: Varied; Challenges Faced: Discrimination, Misunderstanding; Important Holidays: Ethiopian New Year, Birthday of Haile Selassie; Representative Symbolism: Lion of Judah;" Major Subgroups: Nyabinghi, Bobo Shanti, Twelve Tribes of Israel""</s>"
80;"  ""Religious Group: Zoroastrianism"; Core Beliefs: Monotheism, Good Deeds, Free Will; Foundational Texts: Avesta, Zend-Avesta; Divine Entities: Ahura Mazda; Key Figures: Zoroaster, King Cyrus; Geographical Spread: Iran, India, Worldwide; Demographics: Approx. 200,000 adherents; Socioeconomic Status: Varied; Challenges Faced: Dwindling Population, Preservation; Important Holidays: Nowruz, Sadeh; Representative Symbolism: Faravahar;" Major Subgroups: Parsis, Irani Zoroastrians"""
81;" ""Religious Group: Cao Dai"; Core Beliefs: Monotheism, Reincarnation, Morality; Foundational Texts: Kinh Thiên Đield, Thánh Ngộ; Divine Entities: Cao Đài (God); Key Figures: Ngô Văn Chiêu, Phạm Công Tắc; Geographical Spread: Vietnam, North America, Europe; Demographics: Approx. 4-5 million adherents; Socioeconomic Status: Varied; Challenges Faced: Discrimination, Integration; Important Holidays: New Year Festival, Anniversary of the Religion; Representative Symbolism: Divine Eye;" Major Subgroups: Caodaism branches (Canonical, Tay Ninh, Hoa Hao, Giáo Hội Phật Giáo)"""
82;" ""Religious Group: Confucianism"; Core Beliefs: Ethics, Morality, Social Harmony; Foundational Texts: Analects, Mencius, Great Learning; Divine Entities: N/A; Key Figures: Confucius, Mencius; Geographical Spread: China, Korea, Japan; Demographics: N/A adherents; Socioeconomic Status: Historical influence on East Asian societies; Challenges Faced: Modern Relevance, Cultural Assimilation; Important Holidays: Confucius' Birthday; Representative Symbolism: Yin Yang;" Major Subgroups: Neo-Confucianism, New Text Confucianism, Contemporary Confucianism"""
83;" ""Religious Group: Baha'i Faith"; Core Beliefs: Unity, Monotheism, Progressive Revelation; Foundational Texts: Kitáb-i-Aqdas, Writings of Baha'u'llah, Abdul-Baha, Shoghi Effendi; Divine Entities: Baha (God); Key Figures: Baha'u'llah, Abdul-Baha; Geographical Spread: Worldwide; Demographics: Approx. 7 million adherents; Socioeconomic Status: Varied; Challenges Faced: Persecution, Misunderstanding; Important Holidays: Ridván, Naw Rúz; Representative Symbolism: Nine-Pointed Star;" Major Subgroups: Spiritual Assemblies, Administrative Order"""
84;" ""Religious Group: Shintoism"; Core Beliefs: Animism, Polytheism, Ritual Purity; Foundational Texts: Kojiki, Nihon Shoki; Divine Entities: Kami; Key Figures: Amaterasu, Izanagi, Izanami; Geographical Spread: Japan; Demographics: Approx. 80% of Japan's population; Socioeconomic Status: Integral to Japanese Culture; Challenges Faced: Separation of State and Religion, Misunderstanding; Important Holidays: Shogatsu, Obon; Representative Symbolism: Torii;" Major Subgroups: State Shinto, Shrine Shinto, Sect Shinto"""
85;" ""Religious Group: Unitarian Universalism"; Core Beliefs: Reason, Tolerance, Ethics; Foundational Texts: Principles, Purposes; Divine Entities: N/A; Key Figures: Ralph Waldo Emerson, Theodore Parker; Geographical Spread: North America, Europe; Demographics: Approx. 200,000 adherents; Socioeconomic Status: Varied; Challenges Faced: Defining Beliefs, Membership Decline; Important Holidays: Holiday of Chalice Lighting, Flower Ceremony; Representative Symbolism: Chalice;" Major Subgroups: UUism branches (Christian UU, Jewish UU, Buddhist UU)"""
86;" ""Religious Group: Tenrikyo"; Core Beliefs: Monotheism, Purification, Eternal Growth; Foundational Texts: Ofudesaki, Mikagura-Udaijin, Osashizu; Divine Entities: Tenri-O-no-Mikoto (God); Key Figures: Miki Nakayama; Geographical Spread: Japan, Worldwide; Demographics: Approx. 2 million adherents; Socioeconomic Status: Varied; Challenges Faced: Integration, Assimilation; Important Holidays: Oyasama's Birthday, Anniversary of the Founding; Representative Symbolism: Red Sun;" Major Subgroups: N/A"""
87;" ""Religious Group: Neo-Paganism"; Core Beliefs: Polytheism, Nature, Ritual; Foundational Texts: Various; Divine Entities: Multiple Deities; Key Figures: Gerald Gardner, Robert Graves; Geographical Spread: North America, Europe, Worldwide; Demographics: Approx. 500,000 adherents; Socioeconomic Status: Varied; Challenges Faced: Misunderstanding, Assimilation; Important Holidays: Eight Sabbats; Representative Symbolism: Triple Moon, Pentagram;" Major Subgroups: Wicca, Druidism, Goddess Spirituality"""
88;" ""Religious Group: Scientology"; Core Beliefs: Spiritual Upgrading, Reincarnation, Scientology Ethics; Foundational Texts: Dianetics, Science of Survival, Hubbard's Writings; Divine Entities: Spirits, Thetans; Key Figures: L. Ron Hubbard; Geographical Spread: Worldwide; Demographics: Approx. 100,000 adherents; Socioeconomic Status: Varied; Challenges Faced: Legal Challenges, Misunderstanding; Important Holidays: Scientology Anniversary Events; Representative Symbolism: Letter S;" Major Subgroups: N/A"""
89;" ""Religious Group: Raelism"; Core Beliefs: Atheism, Humanity's Extraterrestrial Origin, Scientific Evidences; Foundational Texts: The Book Which Tells the Truth, Geniocracy; Divine Entities: Elohim (Extraterrestrials); Key Figures: Claude Vorilhon (Rael); Geographical Spread: Worldwide; Demographics: Approx. 90,000 adherents; Socioeconomic Status: Varied; Challenges Faced: Social Stigma, Misunderstanding; Important Holidays: Rael's Birthday, Swastika Rehabilitation Day; Representative Symbolism: Swastika (Rehabilitated);" Major Subgroups: N/A""</s>"
90;"  ""Religious Group: Cao Dai"; Core Beliefs: Monotheism, Reincarnation, Morality; Foundational Texts: Kinh Pyramid; Divine Entities: Supreme Being, Saints; Key Figures: Ngo Van Chieu, Pham Cong Tac; Geographical Spread: Vietnam, North America, Europe; Demographics: Approx. 4-6 million adherents; Socioeconomic Status: Varied; Challenges Faced: Discrimination, Assimilation; Important Holidays: New Year Festival, Anniversary of Deaths of Founders; Representative Symbolism: Divine Eye;" Major Subgroups: Caodai Holy See, Caodai Overseas Missionaries"""
91;" ""Religious Group: Zoroastrianism"; Core Beliefs: Monotheism, Dualism of Good & Evil, Fire; Foundational Texts: Avesta, Zend-Avesta; Divine Entities: Ahura Mazda, Angra Mainyu; Key Figures: Zoroaster, King Cyrus; Geographical Spread: Iran, India, Worldwide; Demographics: Approx. 200,000 adherents; Socioeconomic Status: Varied; Challenges Faced: Declining Population, Misunderstanding; Important Holidays: Nowruz, Sadeh; Representative Symbolism: Faravahar;" Major Subgroups: Parsis, Irani Zoroastrians, Zoroastrian Priests (Herbad, Mobed, Dastur)"""
92;" ""Religious Group: Unitarian Universalism"; Core Beliefs: Seven Principles, Inclusivity, Individual Search for Truth; Foundational Texts: Various; Divine Entities: Diverse; Key Figures: John Murray, Hosea Ballou; Geographical Spread: North America, Europe; Demographics: Approx. 200,000 adherents; Socioeconomic Status: Varied; Challenges Faced: Identity Crisis, Secularism; Important Holidays: Christmas, Easter, Water Communion; Representative Symbolism: Flaming Chalice;" Major Subgroups: Unitarian Universalist Association, Canadian Unitarian Council"""
93;" ""Religious Group: Eckankar"; Core Beliefs: Reincarnation, Spiritual Growth, Divine Spark in All; Foundational Texts: Shariyat-Ki-Sugmad, Eckankar Daily Studies; Divine Entities: God, The Mahanta; Key Figures: Paul Twitchell, Harold Klemp; Geographical Spread: Worldwide; Demographics: Approx. 50,000 adherents; Socioeconomic Status: Varied; Challenges Faced: Misunderstanding, Accusations of Plagiarism; Important Holidays: Days of Light & Sound; Representative Symbolism: Sword of Truth;" Major Subgroups: Eckankar Congregations, ECK Centers"""
94;" ""Religious Group: Confucianism"; Core Beliefs: Ethics, Morality, Filial Piety; Foundational Texts: Analects, Mencius; Divine Entities: Ancestral Spirits; Key Figures: Confucius, Mencius; Geographical Spread: China, Korea, Japan; Demographics: Approx. 6 million adherents; Socioeconomic Status: Varied; Challenges Faced: Communism Suppression, Secularism; Important Holidays: Confucius' Birthday; Representative Symbolism: Yin Yang;" Major Subgroups: Neo-Confucianism, New Confucianism"""
95;" ""Religious Group: Tenrikyo"; Core Beliefs: Unity of God, Humanity, and the Universe; Foundational Texts: Ofudesaki, Mikagura-Uta; Divine Entities: Tenri-O-no-Mikoto; Key Figures: Miki Nakayama; Geographical Spread: Japan; Demographics: Approx. 2 million adherents; Socioeconomic Status: Varied; Challenges Faced: Shrinking Congregation, Aging Members; Important Holidays: Tenrikyo Anniversary; Representative Symbolism: Red Sun Disc;" Major Subgroups: N/A"""
96;" ""Religious Group: Baha'i Faith"; Core Beliefs: Unity of God, Humanity, Religions; Foundational Texts: Kitab-i-Aqdas, Hidden Words; Divine Entities: Baha'u'llah; Key Figures: Baha'u'llah, Abdu'l-Baha; Geographical Spread: Worldwide; Demographics: Approx. 7 million adherents; Socioeconomic Status: Varied; Challenges Faced: Persecution, Discrimination; Important Holidays: Naw-Ruz, Ridvan; Representative Symbolism: Nine-Pointed Star;" Major Subgroups: Local Spiritual Assemblies"""
97;" ""Religious Group: Shinto"; Core Beliefs: Ancestor Veneration, Polytheism, Nature Spirits; Foundational Texts: Kojiki, Nihongi; Divine Entities: Kami; Key Figures: Amaterasu (Sun Goddess); Geographical Spread: Japan; Demographics: Approx. 80-120 million adherents; Socioeconomic Status: Varied; Challenges Faced: Nationalism, Secularism; Important Holidays: New Year's Celebration, Obon; Representative Symbolism: Torii Gate;" Major Subgroups: Shrine Shinto, Sect Shinto"""
98;" ""Religious Group: Jainism"; Core Beliefs: Nonviolence, Asceticism, Karma; Foundational Texts: Agamas, Purvas; Divine Entities: Arihants, Siddhas, Acharyas; Key Figures: Mahavira, Parsva; Geographical Spread: India, Worldwide; Demographics: Approx. 4-6 million adherents; Socioeconomic Status: Varied; Challenges Faced: Persecution, Assimilation; Important Holidays: Paryushana; Representative Symbolism: Jain Emblem;" Major Subgroups: Digambara, Svetambara"""
99;" ""Religious Group: Sikhism"; Core Beliefs: Monotheism, Equality, Service; Foundational Texts: Guru Granth Sahib; Divine Entities: Ik Onkar (One God); Key Figures: Guru Nanak, Guru Gobind Singh; Geographical Spread: India, Worldwide; Demographics: Approx. 26-30 million adherents; Socioeconomic Status: Varied; Challenges Faced: Discrimination, Islamophobia; Important Holidays: Vaisakhi, Gurpurbs; Representative Symbolism: Khanda, Ik Onkar;" Major Subgroups: N/A""</s>"
100;"  ""Religious Group: Neo-Paganism"; Core Beliefs: Polytheism, Nature Worship, Reincarnation; Foundational Texts: Varied, Including Modern Literature; Divine Entities: Goddesses, Gods, Nature Spirits; Key Figures: Starhawk, Dianic Wiccans; Geographical Spread: Global, With Concentrations in North America and Europe; Demographics: Unknown, Due to Diverse and Decentralized Nature; Socioeconomic Status: Varied; Challenges Faced: Misunderstanding, Stigma; Important Holidays: Eight Seasonal Festivals; Representative Symbolism: Triple Moon, Pentacle;" Major Subgroups: Wicca, Druidry, Asatru"""
101;" ""Religious Group: Rastafarianism"; Core Beliefs: Black Liberation, Oneness of God and Humanity, Ethiopianism; Foundational Texts: Kebra Negast, Bible; Divine Entities: Jah (God); Key Figures: Haile Selassie, Marcus Garvey; Geographical Spread: Jamaica, Caribbean, Africa, Worldwide; Demographics: Approx. 1 million adherents; Socioeconomic Status: Varied; Challenges Faced: Discrimination, Criminalization; Important Holidays: January 7 (Ethiopian Christmas), April 21 (Haile Selassie's Birthday); Representative Symbolism: Lion of Judah, Ethiopian Flag;" Major Subgroups: Nyabinghi, Bobo Shanti, Twelve Tribes of Israel"""
102;" ""Religious Group: Confucianism"; Core Beliefs: Ethics, Social Harmony, Personal Morality; Foundational Texts: Analects, Mencius; Divine Entities: N/A; Key Figures: Confucius, Mencius; Geographical Spread: China, Korea, Japan, Vietnam; Demographics: Approx. 6-10 million adherents; Socioeconomic Status: Varied; Challenges Faced: Communism, Modernization; Important Holidays: Confucius' Birthday, Chinese New Year; Representative Symbolism: Yin Yang, Elder;" Major Subgroups: Neo-Confucianism, New Text Confucianism"""
103;" ""Religious Group: Baha'i Faith"; Core Beliefs: Unity of God, Unity of Religions, Unity of Humanity; Foundational Texts: Kitab-i-Aqdas, Writings of Baha'u'llah, Abdul-Baha, Shoghi Effendi; Divine Entities: Baha'u'llah (Prophet-Founder); Key Figures: Baha'u'llah, Abdul-Baha; Geographical Spread: Worldwide; Demographics: Approx. 7 million adherents; Socioeconomic Status: Varied; Challenges Faced: Persecution, Discrimination; Important Holidays: Naw-Ruz (New Year), Ridvan (Annual Festival); Representative Symbolism: Nine-Pointed Star, Ringstone Symbol;" Major Subgroups: N/A"""
104;" ""Religious Group: Zoroastrianism"; Core Beliefs: Monotheism, Dualism, Ethical Responsibility; Foundational Texts: Avesta, Gathas; Divine Entities: Ahura Mazda (Wise Lord); Key Figures: Zoroaster, Anakh Vohu Manah; Geographical Spread: India (Parsis), Iran, Worldwide; Demographics: Approx. 200,000 adherents; Socioeconomic Status: Varied; Challenges Faced: Dwindling Population, Cultural Preservation; Important Holidays: Nowruz (New Year), Sadeh; Representative Symbolism: Faravahar, Fire;" Major Subgroups: Parsis, Iranis"""
105;" ""Religious Group: Tenrikyo"; Core Beliefs: God as Parent, Salvation, Social Responsibility; Foundational Texts: Ofudesaki, Mikagura-Urami-no-Okite; Divine Entities: Tenri-O-no-Mikoto (God the Parent); Key Figures: Miki Nakayama; Geographical Spread: Japan, Worldwide; Demographics: Approx. 2 million adherents; Socioeconomic Status: Varied; Challenges Faced: Secularization, Aging Membership; Important Holidays: January 26 (Anniversary of Founding), April 18 (Oyasama's Birthday); Representative Symbolism: Sacred Dance, Red and White;" Major Subgroups: N/A"""
106;" ""Religious Group: Unitarian Universalism"; Core Beliefs: Freedom, Reason, Ethics, Love; Foundational Texts: Various Sources Including Sacred Texts from Multiple Religions; Divine Entities: N/A (Noncreedal and Inclusive); Key Figures: Ralph Waldo Emerson, Susan B. Anthony; Geographical Spread: Worldwide, Predominantly in North America; Demographics: Approx. 200,000 adherents; Socioeconomic Status: Varied; Challenges Faced: Decline in Membership, Lack of Consensus on Beliefs; Important Holidays: Christmas, Easter, Winter Solstice; Representative Symbolism: Flaming Chalice;" Major Subgroups: N/A"""
107;" ""Religious Group: Cao Dai"; Core Beliefs: Monotheism, Reincarnation, Morality; Foundational Texts: Cao Dai's Tract, Divine Message; Divine Entities: Cao Dai (Supreme Being); Key Figures: Ngo Van Chieu, Pham Cong Tac; Geographical Spread: Vietnam, Worldwide; Demographics: Approx. 5 million adherents; Socioeconomic Status: Varied; Challenges Faced: Persecution, Diaspora; Important Holidays: January 8 (New Year), August 19 (Anniversary of Founding); Representative Symbolism: Divine Eye, Symbolic Flag;" Major Subgroups: N/A"""
108;" ""Religious Group: Yazidism"; Core Beliefs: Monotheism, Creation, Free Will; Foundational Texts: Kitab al-Jilwa, Mishefa Res; Divine Entities: Yezid (God), Tawusi Melek (Angel of Light); Key Figures: Sheikh Adi ibn Musafir, Fakhr ad-Din; Geographical Spread: Iraq, Iran, Syria, Turkey, Worldwide; Demographics: Approx. 700,000 adherents; Socioeconomic Status: Varied; Challenges Faced: Persecution, Discrimination; Important Holidays: April 23 (Feast of Sheikh Adi), July 15 (Seydi Beshine); Representative Symbolism: Peacock, Sun;" Major Subgroups: White Yazidis, Black Yazidis, Shiexan, Qatanî"""
109;" ""Religious Group: Iglesia ni Cristo"; Core Beliefs: Christianity, Trinity, Divine Mission of Christ; Foundational Texts: Bible, Pasugo (Church Publications); Divine Entities: God, Jesus Christ; Key Figures: Felix Y. Manalo; Geographical Spread: Philippines, Worldwide; Demographics: Approx. 2.5-3 million adherents; Socioeconomic Status: Varied; Challenges Faced: Legal Issues, Sectarian Conflicts; Important Holidays: March 25 (Founding Anniversary), July 27 (Felix Y. Manalo Day); Representative Symbolism: Ten Commandments, Sun;" Major Subgroups: N/A""</s>"
