;Phylogeny;Conservation Status;Habitat Preferences;Climate Factors;Food Source;Mating System;Predators;Parasites;Symbiotic Relationships;Diseases;Epidemiology;Population Genetics;Phylogeography;Community Ecology
61;Phylogeny: Annelida (Oligochaeta); Conservation Status: Least Concern; Habitat Preferences: Freshwater, Marine, and Terrestrial; Climate Factors: Varied; Food Source: Detritus and Suspension feeder; Mating System: Sexual; Predators: Fish, Birds, and Mammals; Parasites: Nematodes and Platyhelminthes; Symbiotic Relationships: None; Diseases: None; Epidemiology: N/A; Population Genetics: High Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems, play a significant role in soil ecosystems.
62;Phylogeny: Arthropoda (Crustacea); Conservation Status: Varied; Habitat Preferences: Freshwater, Marine, and Terrestrial; Climate Factors: Varied; Food Source: Herbivore, Carnivore, and Omnivore; Mating System: Sexual; Predators: Fish, Birds, and Mammals; Parasites: Nematodes, Cestodes, and Trematodes; Symbiotic Relationships: None; Diseases: None; Epidemiology: N/A; Population Genetics: Very High Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems, play a significant role in marine and freshwater ecosystems.
63;Phylogeny: Mollusca (Gastropoda); Conservation Status: Varied; Habitat Preferences: Freshwater, Marine, and Terrestrial; Climate Factors: Varied; Food Source: Herbivore and Carnivore; Mating System: Sexual; Predators: Fish, Birds, and Mammals; Parasites: Nematodes, Trematodes, and Cestodes; Symbiotic Relationships: None; Diseases: Rat Lungworm Disease (Angiostrongyliasis); Epidemiology: Can cause diseases in humans and animals; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
64;Phylogeny: Echinodermata (Asteroidea); Conservation Status: Least Concern; Habitat Preferences: Marine; Climate Factors: Varied; Food Source: Suspension feeder and Carnivore; Mating System: Sexual; Predators: Fish, Crabs, and Sea Stars; Parasites: None; Symbiotic Relationships: None; Diseases: None; Epidemiology: N/A; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various marine ecosystems.
65;Phylogeny: Hemichordata (Enteropneusta); Conservation Status: Least Concern; Habitat Preferences: Marine; Climate Factors: Varied; Food Source: Detritus and Suspension feeder; Mating System: Varied; Predators: Fish and Crustaceans; Parasites: None; Symbiotic Relationships: None; Diseases: None; Epidemiology: N/A; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various marine ecosystems.
66;Phylogeny: Chordata (Urochordata); Conservation Status: Least Concern; Habitat Preferences: Marine; Climate Factors: Varied; Food Source: Planktonic organisms and Suspension feeder; Mating System: Sexual; Predators: Fish, Crustaceans, and Marine Mammals; Parasites: None; Symbiotic Relationships: None; Diseases: None; Epidemiology: N/A; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various marine ecosystems.
67;Phylogeny: Chordata (Cephalochordata); Conservation Status: Least Concern; Habitat Preferences: Marine; Climate Factors: Varied; Food Source: Suspension feeder and Carrier organism for symbiotic algae; Mating System: Sexual; Predators: Fish and Marine Mammals; Parasites: None; Symbiotic Relationships: Symbiotic algae; Diseases: None; Epidemiology: N/A; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various marine ecosystems.
68;Phylogeny: Chordata (Aves - Passeriformes); Conservation Status: Varied; Habitat Preferences: Terrestrial, Freshwater, and Marine; Climate Factors: Varied; Food Source: Herbivore, Carnivore, and Omnivore; Mating System: Sexual; Predators: Mammals and Reptiles; Parasites: Protozoa, Nematodes, and Trematodes; Symbiotic Relationships: Endosymbiotic bacteria; Diseases: Avian Flu, Malaria, and Lyme Disease; Epidemiology: Can cause diseases in humans and animals; Population Genetics: Moderate to High Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
69;Phylogeny: Chordata (Mammalia - Primates); Conservation Status: Varied; Habitat Preferences: Terrestrial, Freshwater, and Arboreal; Climate Factors: Varied; Food Source: Herbivore, Carnivore, and Omnivore; Mating System: Sexual; Predators: Carnivores; Parasites: Protozoa, Nematodes, and Trematodes; Symbiotic Relationships: None; Diseases: HIV, Ebola, and Measles; Epidemiology: Can cause diseases in humans and animals; Population Genetics: Moderate to High Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.</s>
70; Phylogeny: Arthropoda (Insecta - Lepidoptera); Conservation Status: Varied; Habitat Preferences: Terrestrial, Freshwater; Climate Factors: Varied; Food Source: Herbivore, Nectarivore; Mating System: Sexual; Predators: Birds, Reptiles, Amphibians; Parasites: Viruses, Bacteria, Fungi; Symbiotic Relationships: Pollination; Diseases: Zika, West Nile, Yellow Fever; Epidemiology: Can cause diseases in humans and animals; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
71;Phylogeny: Chordata (Actinopterygii - Salmoniformes); Conservation Status: Varied; Habitat Preferences: Freshwater, Marine; Climate Factors: Varied; Food Source: Carnivore; Mating System: Sexual; Predators: Fish, Birds, Mammals; Parasites: Protozoa, Nematodes, Trematodes; Symbiotic Relationships: None; Diseases: Whirling Disease, Infectious Salmon Anemia; Epidemiology: Can cause diseases in farmed and wild fish populations; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various aquatic ecosystems.
72;Phylogeny: Echinodermata (Asteroidea - Forcipulatida); Conservation Status: Least Concern; Habitat Preferences: Marine; Climate Factors: Varied; Food Source: Carnivore; Mating System: Sexual; Predators: Fish, Mammals, Birds; Parasites: None; Symbiotic Relationships: None; Diseases: None; Epidemiology: N/A; Population Genetics: High Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various marine ecosystems.
73;Phylogeny: Mollusca (Bivalvia - Pectinidae); Conservation Status: Varied; Habitat Preferences: Marine, Freshwater; Climate Factors: Varied; Food Source: Suspension feeder; Mating System: Sexual; Predators: Fish, Mammals, Birds; Parasites: None; Symbiotic Relationships: None; Diseases: None; Epidemiology: N/A; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various aquatic ecosystems.
74;Phylogeny: Annelida (Polychaeta - Nereididae); Conservation Status: Least Concern; Habitat Preferences: Marine; Climate Factors: Varied; Food Source: Carnivore; Mating System: Sexual; Predators: Fish, Mammals, Birds; Parasites: None; Symbiotic Relationships: None; Diseases: None; Epidemiology: N/A; Population Genetics: High Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various marine ecosystems.
75;Phylogeny: Chordata (Reptilia - Testudines); Conservation Status: Varied; Habitat Preferences: Terrestrial, Freshwater, Marine; Climate Factors: Tropical to Temperate; Food Source: Herbivore, Carnivore, Omnivore; Mating System: Sexual; Predators: Mammals, Reptiles, Birds; Parasites: Protozoa, Nematodes, Trematodes; Symbiotic Relationships: None; Diseases: Ranavirus, Herpesvirus; Epidemiology: Can cause diseases in wild and captive populations; Population Genetics: Moderate to High Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
76;Phylogeny: Platyhelminthes (Turbellaria - Tricladida); Conservation Status: Least Concern; Habitat Preferences: Freshwater, Terrestrial; Climate Factors: Varied; Food Source: Predator; Mating System: Sexual; Predators: Fish, Mammals, Birds; Parasites: None; Symbiotic Relationships: None; Diseases: None; Epidemiology: N/A; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
77;Phylogeny: Porifera (Demospongiae); Conservation Status: Least Concern; Habitat Preferences: Marine; Climate Factors: Varied; Food Source: Filter feeder; Mating System: Sexual and Asexual; Predators: Fish, Mammals, Birds; Parasites: Fungi, Bacteria, Protozoa; Symbiotic Relationships: Symbiont bacteria; Diseases: None; Epidemiology: N/A; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various marine ecosystems.
78;Phylogeny: Stramenopiles (Ochrophyta - Bacillariophyceae); Conservation Status: Varied; Habitat Preferences: Freshwater, Marine; Climate Factors: Varied; Food Source: Phototrophic; Mating System: Isogamous, Anisogamous, or Oogamous; Predators: None; Parasites: Fungi, Protozoa; Symbiotic Relationships: Epiphyte; Diseases: None; Epidemiology: N/A; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of freshwater and marine ecosystems.
79;Phylogeny: Cnidaria (Scyphozoa - Semaeostomeae); Conservation Status: Least Concern; Habitat Preferences: Marine; Climate Factors: Varied; Food Source: Carnivore; Mating System: Sexual; Predators: Fish, Mammals, Birds; Parasites: Ciliate protozoans; Symbiotic Relationships: Symbiotic algae; Diseases: None; Epidemiology: N/A; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various marine ecosystems.</s>
80; Phylogeny: Mollusca (Bivalvia - Pteriomorphia); Conservation Status: Varied; Habitat Preferences: Marine, Freshwater, Terrestrial; Climate Factors: Varied; Food Source: Filter feeder; Mating System: Sexual; Predators: Fish, Mammals, Birds; Parasites: Fungi, Protozoa, Metazoa; Symbiotic Relationships: None; Diseases: None; Epidemiology: N/A; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various aquatic and terrestrial ecosystems.
81;Phylogeny: Arthropoda (Insecta - Lepidoptera); Conservation Status: Varied; Habitat Preferences: Terrestrial; Climate Factors: Varied; Food Source: Herbivore, Carnivore, Omnivore; Mating System: Sexual; Predators: Fish, Birds, Reptiles, Amphibians, Mammals, Other Insects; Parasites: Fungi, Protozoa, Nematoda; Symbiotic Relationships: Pollination; Diseases: None; Epidemiology: N/A; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various terrestrial ecosystems.
82;Phylogeny: Chordata (Aves - Passeriformes); Conservation Status: Varied; Habitat Preferences: Terrestrial, Freshwater, Marine; Climate Factors: Varied; Food Source: Omnivore; Mating System: Sexual; Predators: Mammals, Reptiles, Birds, Humans; Parasites: Fungi, Protozoa, Helminths; Symbiotic Relationships: Seed dispersal; Diseases: Avian influenza, Avian malaria; Epidemiology: Avian influenza can be transmitted to humans; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various terrestrial, freshwater, and marine ecosystems.
83;Phylogeny: Echinodermata (Asteroidea - Valvatida); Conservation Status: Least Concern; Habitat Preferences: Marine; Climate Factors: Varied; Food Source: Carnivore; Mating System: Sexual; Predators: Fish, Mammals, Birds; Parasites: Fungi, Protozoa, Helminths; Symbiotic Relationships: None; Diseases: None; Epidemiology: N/A; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various marine ecosystems.
84;Phylogeny: Annelida (Polychaeta - Eunicida); Conservation Status: Least Concern; Habitat Preferences: Marine, Freshwater; Climate Factors: Varied; Food Source: Carnivore, Omnivore, Deposit feeder; Mating System: Sexual; Predators: Fish, Mammals, Birds, Other Invertebrates; Parasites: Fungi, Protozoa, Helminths; Symbiotic Relationships: None; Diseases: None; Epidemiology: N/A; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various marine and freshwater ecosystems.
85;Phylogeny: Pisces (Salmoniformes - Salmonidae); Conservation Status: Varied; Habitat Preferences: Freshwater, Marine; Climate Factors: Varied; Food Source: Carnivore; Mating System: Sexual; Predators: Fish, Mammals, Birds; Parasites: Fungi, Protozoa, Helminths, Crustaceans; Symbiotic Relationships: Cleaner fish; Diseases: Whirling disease; Epidemiology: Can be transmitted to humans through consumption of contaminated food; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various aquatic ecosystems.
86;Phylogeny: Plantae (Spermatophyta - Magnoliophyta); Conservation Status: Varied; Habitat Preferences: Terrestrial; Climate Factors: Varied; Food Source: Autotroph, Herbivore, Carnivore; Mating System: Sexual; Predators: Herbivores; Parasites: Fungi, Bacteria, Viruses; Symbiotic Relationships: Mycorrhizal fungi, Rhizobia bacteria; Diseases: Various plant diseases; Epidemiology: Can be transmitted through soil, water, and air; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various terrestrial ecosystems.
87;Phylogeny: Fungi (Basidiomycota - Agaricomycetes); Conservation Status: Varied; Habitat Preferences: Terrestrial, Freshwater; Climate Factors: Varied; Food Source: Saprobic, Mycorrhizal; Mating System: Sexual; Predators: None; Parasites: None; Symbiotic Relationships: Mycorrhizal fungi, Lichenized fungi; Diseases: Various fungal diseases; Epidemiology: Can be transmitted through soil, water, and air; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various terrestrial and freshwater ecosystems.
88;Phylogeny: Protozoa (Rhizaria - Foraminifera); Conservation Status: Varied; Habitat Preferences: Marine, Freshwater; Climate Factors: Varied; Food Source: Heterotroph; Mating System: Sexual; Predators: Fungi, Protozoa, Helminths, Crustaceans, Fish; Parasites: Fungi, Bacteria, Protozoa, Algae; Symbiotic Relationships: Symbiont bacteria; Diseases: None; Epidemiology: N/A; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various aquatic ecosystems.
89;Phylogeny: Bacteria (Cyanobacteria - Chroococcales); Conservation Status: Not Applicable; Habitat Preferences: Terrestrial, Freshwater, Marine; Climate Factors: Varied; Food Source: Autotroph, Heterotroph; Mating System: Sexual; Predators: Protozoa, Bacteria, Fungi; Parasites: Phage viruses, Bacteriophages; Symbiotic Relationships: Symbiotic nitrogen fixation; Diseases: None; Epidemiology: N/A; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various terrestrial, freshwater, and marine ecosystems.</s>
90; Phylogeny: Plants (Magnoliophyta - Rosidae); Conservation Status: Varied; Habitat Preferences: Terrestrial; Climate Factors: Warm temperate to tropical; Food Source: Autotroph; Mating System: Sexual; Predators: Insects, Mammals; Parasites: Fungi, Viruses; Symbiotic Relationships: Mycorrhizal fungi, Nitrogen-fixing bacteria; Diseases: Various plant diseases; Epidemiology: Can be transmitted through seed, soil, and air; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important primary producers in various terrestrial ecosystems.
91;Phylogeny: Fish (Actinopterygii - Clupeiformes); Conservation Status: Varied; Habitat Preferences: Freshwater, Marine; Climate Factors: Varied; Food Source: Carnivore, Herbivore, Omnivore; Mating System: Sexual; Predators: Birds, Mammals, Reptiles, Other Fish; Parasites: Fungi, Protozoa, Worms; Symbiotic Relationships: Cleaner fish; Diseases: Various fish diseases; Epidemiology: Can be transmitted through water; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various aquatic ecosystems.
92;Phylogeny: Amphibians (Lissamphibia - Anura); Conservation Status: Varied; Habitat Preferences: Terrestrial, Freshwater; Climate Factors: Varied; Food Source: Carnivore; Mating System: Sexual; Predators: Birds, Mammals, Reptiles, Other Amphibians; Parasites: Fungi, Protozoa, Worms; Symbiotic Relationships: None; Diseases: Chytrid fungal disease; Epidemiology: Can be transmitted through skin contact, water, and soil; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various terrestrial and freshwater ecosystems.
93;Phylogeny: Reptiles (Reptilia - Squamata); Conservation Status: Varied; Habitat Preferences: Terrestrial, Freshwater, Marine; Climate Factors: Varied; Food Source: Carnivore, Herbivore, Omnivore; Mating System: Sexual; Predators: Mammals, Birds, Other Reptiles; Parasites: Fungi, Protozoa, Worms; Symbiotic Relationships: None; Diseases: Various reptile diseases; Epidemiology: Can be transmitted through skin contact, water, and air; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various terrestrial, freshwater, and marine ecosystems.
94;Phylogeny: Birds (Aves - Neoaves); Conservation Status: Varied; Habitat Preferences: Terrestrial, Freshwater, Marine; Climate Factors: Varied; Food Source: Carnivore, Herbivore, Omnivore; Mating System: Sexual; Predators: Mammals, Birds, Reptiles; Parasites: Fungi, Protozoa, Worms; Symbiotic Relationships: Cleaner birds; Diseases: Various bird diseases; Epidemiology: Can be transmitted through skin contact, water, and air; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various terrestrial, freshwater, and marine ecosystems.
95;Phylogeny: Mammals (Mammalia - Placentalia); Conservation Status: Varied; Habitat Preferences: Terrestrial, Freshwater, Marine; Climate Factors: Varied; Food Source: Carnivore, Herbivore, Omnivore; Mating System: Sexual; Predators: Mammals, Birds, Reptiles; Parasites: Fungi, Protozoa, Worms; Symbiotic Relationships: Cleaner mammals (None known); Diseases: Various mammal diseases; Epidemiology: Can be transmitted through skin contact, water, and air; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various terrestrial, freshwater, and marine ecosystems.
96;Phylogeny: Fungi (Basidiomycota - Agaricales); Conservation Status: Varied; Habitat Preferences: Terrestrial, Freshwater, Marine; Climate Factors: Varied; Food Source: Saprobic, Mycorrhizal; Mating System: Sexual; Predators: Fungivorous insects, Mammals, Other Fungi; Parasites: None; Symbiotic Relationships: Mycorrhizal fungi, Lichenized fungi; Diseases: Various fungal diseases; Epidemiology: Can be transmitted through soil, water, and air; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various terrestrial, freshwater, and marine ecosystems.
97;Phylogeny: Protozoa (Ciliophora); Conservation Status: Not Applicable; Habitat Preferences: Freshwater, Marine, Terrestrial; Climate Factors: Varied; Food Source: Heterotroph; Mating System: Sexual; Predators: Fungi, Protozoa, Helminths, Crustaceans, Fish; Parasites: Bacteria, Protozoa, Fungi; Symbiotic Relationships: Symbiont bacteria; Diseases: None; Epidemiology: N/A; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various aquatic ecosystems.
98;Phylogeny: Bacteria (Proteobacteria - Burkholderiales); Conservation Status: Not Applicable; Habitat Preferences: Terrestrial, Freshwater, Marine, Varied; Climate Factors: Varied; Food Source: Autotroph, Heterotroph; Mating System: Sexual; Predators: Protozoa, Bacteria, Fungi; Parasites: Phage viruses, Bacteriophages, Other Bacteria; Symbiotic Relationships: N/A; Diseases: None; Epidemiology: N/A; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems.
99;Phylogeny: Archaea (Euryarchaeota - Thermococcales); Conservation Status: Not Applicable; Habitat Preferences: Terrestrial, Freshwater, Marine, Varied; Climate Factors: Varied; Food Source: Heterotroph, Chemolithotroph; Mating System: Sexual; Predators: Bacteria; Parasites: Viruses, Phages, Other Archaea; Symbiotic Relationships: N/A; Diseases: None; Epidemiology: N/A; Population Genetics: Low Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important members of various ecosystems, especially extreme environments.</s>
100; Phylogeny: Fungi (Ascomycota - Saccharomycetales); Conservation Status: Not Applicable; Habitat Preferences: Terrestrial, Freshwater, Marine, Varied; Climate Factors: Varied; Food Source: Saprophytic, Parasitic; Mating System: Sexual; Predators: Soil invertebrates, Other Fungi; Parasites: Viruses, Phages, Other Fungi; Symbiotic Relationships: Mycorrhizal associations, Lichen formation; Diseases: None; Epidemiology: N/A; Population Genetics: Moderate Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important decomposers and mutualists in various ecosystems.
101;Phylogeny: Plants (Magnoliophyta - Monocotyledons); Conservation Status: Varies by species; Habitat Preferences: Terrestrial, Varied; Climate Factors: Varies by species; Food Source: Autotroph; Mating System: Sexual; Predators: Herbivores; Parasites: Viruses, Phages, Fungi, Bacteria; Symbiotic Relationships: Mycorrhizal associations, Pollination by animals; Diseases: Various plant diseases; Epidemiology: Varies by disease; Population Genetics: Moderate to High Genetic Diversity; Phylogeography: Widespread distribution; Community Ecology: Important primary producers in various ecosystems.
102;Phylogeny: Animals (Chordata - Mammalia); Conservation Status: Varies by species; Habitat Preferences: Terrestrial, Freshwater, Marine, Varied; Climate Factors: Varies by species; Food Source: Omnivore, Herbivore, Carnivore; Mating System: Sexual; Predators: Other animals; Parasites: Viruses, Bacteria, Protozoa, Helminths, Arthropods; Symbiotic Relationships: Commensalism, Mutualism; Diseases: Various animal diseases; Epidemiology: Varies by disease; Population Genetics: Moderate to High Genetic Diversity; Phylogeography: Varies by species; Community Ecology: Important consumers and contributors to various ecosystems.
103;Phylogeny: Birds (Aves - Passeriformes); Conservation Status: Varies by species; Habitat Preferences: Terrestrial, Freshwater, Marine, Varied; Climate Factors: Varies by species; Food Source: Omnivore, Herbivore, Carnivore; Mating System: Sexual; Predators: Other animals; Parasites: Viruses, Bacteria, Protozoa, Helminths, Arthropods; Symbiotic Relationships: Commensalism, Mutualism; Diseases: Various bird diseases; Epidemiology: Varies by disease; Population Genetics: Moderate to High Genetic Diversity; Phylogeography: Varies by species; Community Ecology: Important consumers and contributors to various ecosystems.
104;Phylogeny: Amphibians (Amphibia - Anura); Conservation Status: Varies by species; Habitat Preferences: Terrestrial, Freshwater; Climate Factors: Varies by species; Food Source: Carnivore; Mating System: Sexual; Predators: Other animals; Parasites: Viruses, Bacteria, Protozoa, Helminths, Arthropods; Symbiotic Relationships: Commensalism; Diseases: Various amphibian diseases; Epidemiology: Varies by disease; Population Genetics: Moderate to High Genetic Diversity; Phylogeography: Varies by species; Community Ecology: Important consumers and contributors to various ecosystems.
105;Phylogeny: Reptiles (Reptilia - Squamata); Conservation Status: Varies by species; Habitat Preferences: Terrestrial, Freshwater, Marine, Varied; Climate Factors: Varies by species; Food Source: Carnivore, Herbivore, Insectivore; Mating System: Sexual; Predators: Other animals; Parasites: Viruses, Bacteria, Protozoa, Helminths, Arthropods; Symbiotic Relationships: Commensalism, Mutualism; Diseases: Various reptile diseases; Epidemiology: Varies by disease; Population Genetics: Moderate to High Genetic Diversity; Phylogeography: Varies by species; Community Ecology: Important consumers and contributors to various ecosystems.
106;Phylogeny: Insects (Insecta - Coleoptera); Conservation Status: Varies by species; Habitat Preferences: Terrestrial, Freshwater; Climate Factors: Varies by species; Food Source: Herbivore, Carnivore, Omnivore, Saprophytic; Mating System: Sexual; Predators: Other animals; Parasites: Viruses, Bacteria, Protozoa, Helminths, Arthropods; Symbiotic Relationships: Commensalism, Mutualism; Diseases: Various insect diseases; Epidemiology: Varies by disease; Population Genetics: High Genetic Diversity; Phylogeography: Varies by species; Community Ecology: Important consumers, pollinators, and contributors to various ecosystems.
107;Phylogeny: Fish (Osteichthyes - Actinopterygii); Conservation Status: Varies by species; Habitat Preferences: Marine, Freshwater; Climate Factors: Varies by species; Food Source: Carnivore, Herbivore, Omnivore; Mating System: Sexual; Predators: Other animals; Parasites: Viruses, Bacteria, Protozoa, Helminths, Arthropods; Symbiotic Relationships: Commensalism; Diseases: Various fish diseases; Epidemiology: Varies by disease; Population Genetics: Moderate to High Genetic Diversity; Phylogeography: Varies by species; Community Ecology: Important consumers and contributors to various aquatic ecosystems.
108;Phylogeny: Mollusks (Mollusca - Bivalvia); Conservation Status: Varies by species; Habitat Preferences: Marine, Freshwater, Terrestrial; Climate Factors: Varies by species; Food Source: Herbivore, Filter feeder, Deposit feeder; Mating System: Sexual; Predators: Other animals; Parasites: Viruses, Bacteria, Protozoa, Helminths, Arthropods; Symbiotic Relationships: Commensalism; Diseases: Various mollusk diseases; Epidemiology: Varies by disease; Population Genetics: Moderate to High Genetic Diversity; Phylogeography: Varies by species; Community Ecology: Important filter feeders and contributors to various aquatic ecosystems.
109;Phylogeny: Echinoderms (Echinodermata - Asteroidea); Conservation Status: Varies by species; Habitat Preferences: Marine; Climate Factors: Varies by species; Food Source: Carnivore, Suspension feeder, Deposit feeder; Mating System: Sexual; Predators: Other animals; Parasites: Viruses, Bacteria, Protozoa, Helminths, Arthropods; Symbiotic Relationships: Commensalism; Diseases: Various echinoderm diseases; Epidemiology: Varies by disease; Population Genetics: Moderate to High Genetic Diversity; Phylogeography: Varies by species; Community Ecology: Important consumers and contributors to various marine ecosystems.</s>
