;Artist Birthplace; Year of birth; Deathyear; Ethnicity; Religion; Training/School; Major Works/Exhibitions; Influenced; Influential on; Career Highlights; Preferred Medias; Themes
65; Artist Birthplace: Tokyo, Japan; Year of birth: 1926; Deathyear: 1994; Ethnicity: Japanese; Religion: Shinto; Training/School: Tokyo National University of Fine Arts; Major Works/Exhibitions: Red Poem, Venice Biennale 1993; Influenced: Yoko Ono, Takashi Murakami; Influential on: Japanese contemporary art; Career Highlights: Pioneer of Mono-ha movement; Preferred Medias: Sculpture, installation; Themes: Materiality, temporality, nature.
66; Artist Birthplace: Toronto, Canada; Year of birth: 1970; Deathyear: -; Ethnicity: Canadian; Religion: Agnostic; Training/School: York University; Major Works/Exhibitions: The Weather Project, The Light of the Light; Influenced: Olafur Eliasson, James Turrell; Influential on: Installation art, conceptual art; Career Highlights: Installation artist and light sculptor; Preferred Medias: Light, installation; Themes: Perception, space, time.
67; Artist Birthplace: Berlin, Germany; Year of birth: 1888; Deathyear: 1940; Ethnicity: German; Religion: Lutheran; Training/School: Bauhaus; Major Works/Exhibitions: Berlin Metropolis, Triadic Ballet; Influenced: László Moholy-Nagy, Walter Gropius; Influential on: Modernist architecture, industrial design; Career Highlights: Painter, sculptor, photographer, and choreographer; Preferred Medias: Painting, sculpture, photography; Themes: Urban life, technology, modernity.
68; Artist Birthplace: Bogotá, Colombia; Year of birth: 1951; Deathyear: -; Ethnicity: Colombian; Religion: Christian; Training/School: Universidad de los Andes; Major Works/Exhibitions: Blue Bird, The Swamp; Influenced: Doris Salcedo, Fernando Botero; Influential on: Colombian contemporary art; Career Highlights: Painter, sculptor, and multimedia artist; Preferred Medias: Painting, sculpture; Themes: Violence, politics, nature.
69; Artist Birthplace: Moscow, Russia; Year of birth: 1960; Deathyear: -; Ethnicity: Russian; Religion: Russian Orthodox; Training/School: Moscow Institute of Architecture; Major Works/Exhibitions: Russian Pavilion, Venice Biennale 2005; Influenced: Tatiana Trouvé, Anish Kapoor; Influential on: Russian contemporary art; Career Highlights: Installation artist and architect; Preferred Medias: Installation, architecture; Themes: Memory, history, space.</s>
70;  Artist Birthplace: Paris, France; Year of birth: 1840; Deathyear: 1903; Ethnicity: French; Religion: Roman Catholic; Training/School: École des Beaux-Arts; Major Works/Exhibitions: The Scream, The Circus; Influenced: Edvard Munch, James Ensor; Influential on: Expressionism; Career Highlights: Painter and printmaker; Preferred Medias: Painting, printmaking; Themes: Emotion, fear, human condition.
71; Artist Birthplace: New York, USA; Year of birth: 1925; Deathyear: 2018; Ethnicity: American; Religion: Judaism; Training/School: Black Mountain College; Major Works/Exhibitions: Flag, Campbell's Soup Cans; Influenced: Damien Hirst, Jeff Koons; Influential on: Pop art, Appropriation art; Career Highlights: Painter, sculptor, and printmaker; Preferred Medias: Painting, sculpture, printmaking; Themes: Consumerism, popular culture, appropriation.
72; Artist Birthplace: Barcelona, Spain; Year of birth: 1883; Deathyear: 1980; Ethnicity: Spanish; Religion: Catholicism; Training/School: Escola de Llotja; Major Works/Exhibitions: Guernica, The Weeping Woman; Influenced: Francis Bacon, Frank Stella; Influential on: Cubism, Abstract Expressionism; Career Highlights: Painter and sculptor; Preferred Medias: Painting, sculpture; Themes: War, suffering, humanity.
73; Artist Birthplace: Kyoto, Japan; Year of birth: 1761; Deathyear: 1815; Ethnicity: Japanese; Religion: Shintoism/Buddhism; Training/School: Kano school; Major Works/Exhibitions: The Great Wave off Kanagawa, Mount Fuji; Influenced: Hokusai Katsushika, Hiroshige Ando; Influential on: Japonisme, Impressionism; Career Highlights: Ukiyo-e painter; Preferred Medias: Woodblock prints; Themes: Landscapes, nature, mythology.
74; Artist Birthplace: Philadelphia, USA; Year of birth: 1874; Deathyear: 1957; Ethnicity: American; Religion: Episcopalian; Training/School: Pennsylvania Academy of the Fine Arts; Major Works/Exhibitions: American Gothic, Nighthawks; Influenced: Richard Diebenkorn, Edward Hopper; Influential on: Regionalism, American art; Career Highlights: Painter; Preferred Medias: Painting; Themes: Rural life, urban scenes, social issues.
75; Artist Birthplace: Amsterdam, Netherlands; Year of birth: 1606; Deathyear: 1669; Ethnicity: Dutch; Religion: Calvinism; Training/School: Rembrandt's Studio; Major Works/Exhibitions: The Night Watch, The Anatomy Lesson of Dr. Nicolaes Tulp; Influenced: Peter Paul Rubens, Diego Velázquez; Influential on: Baroque painting, portrait painting; Career Highlights: Painter, etcher, and draughtsman; Preferred Medias: Painting, etchings; Themes: History, genre scenes, religion.
76; Artist Birthplace: Athens, Greece; Year of birth: 480 BCE; Deathyear: 406 BCE; Ethnicity: Ancient Greek; Religion: Ancient Greek polytheism; Training/School: Unknown; Major Works/Exhibitions: School of Athens, The Parthenon Frieze; Influenced: Michelangelo, Raphael; Influential on: Western art, Renaissance art; Career Highlights: Classical Greek sculptor and painter; Preferred Medias: Sculpture, painting; Themes: Philosophy, classical mythology, politics.
77; Artist Birthplace: London, England; Year of birth: 1728; Deathyear: 1804; Ethnicity: British; Religion: Anglican; Training/School: St. Martin's Lane Academy; Major Works/Exhibitions: The Death of General Wolfe, The Oath of the Horatii; Influenced: Jacques-Louis David, Francisco Goya; Influential on: Neoclassicism; Career Highlights: Painter and engraver; Preferred Medias: Painting; Themes: History, morality, heroism.
78; Artist Birthplace: Vienna, Austria; Year of birth: 1862; Deathyear: 1918; Ethnicity: Austrian; Religion: Judaism; Training/School: Akademie der Bildenden Künste; Major Works/Exhibitions: The Kiss, Death and the Maiden; Influenced: Max Beckmann, Otto Dix; Influential on: Expressionism; Career Highlights: Painter, printmaker, and architect; Preferred Medias: Painting, printmaking; Themes: Love, death, human condition.
79; Artist Birthplace: Buenos Aires, Argentina; Year of birth: 1932; Deathyear: 2014; Ethnicity: Argentine; Religion: Atheism; Training/School: Escuela Nacional de Bellas Artes Prilidiano Pueyrredón; Major Works/Exhibitions: Homage to the Square, The Persistence of Memory; Influenced: Bridget Riley, Frank Stella; Influential on: Optical art; Career Highlights: Painter and printmaker; Preferred Medias: Painting; Themes: Perception, color, form.</s>
80;  Artist Birthplace: New York, USA; Year of birth: 1907; Deathyear: 1987; Ethnicity: American; Religion: Protestantism; Training/School: Art Students League of New York; Major Works/Exhibitions: Guernica, Weeping Woman; Influenced: Jasper Johns, Robert Rauschenberg; Influential on: Cubism; Career Highlights: Painter and sculptor; Preferred Medias: Painting; Themes: Politics, war, violence.
81; Artist Birthplace: Barcelona, Spain; Year of birth: 1881; Deathyear: 1950; Ethnicity: Spanish; Religion: Catholicism; Training/School: Escola de Llotja; Major Works/Exhibitions: The Great Blue Horse, The Rising Sun; Influenced: Joan Miró, Alexander Calder; Influential on: Abstract art; Career Highlights: Sculptor, painter, and ceramicist; Preferred Medias: Sculpture; Themes: Nature, life, movement.
82; Artist Birthplace: Baton Rouge, USA; Year of birth: 1923; Deathyear: 2018; Ethnicity: American; Religion: Baptist; Training/School: Tulane University; Major Works/Exhibitions: Blue Poles, Number 1A, 1950; Influenced: Gerhard Richter, Brice Marden; Influential on: Abstract Expressionism; Career Highlights: Painter and printmaker; Preferred Medias: Painting; Themes: Emotion, color, gesture.
83; Artist Birthplace: Florence, Italy; Year of birth: 1475; Deathyear: 1564; Ethnicity: Italian; Religion: Catholicism; Training/School: Workshop of Andrea del Verrocchio; Major Works/Exhibitions: Mona Lisa, The Last Supper; Influenced: Peter Paul Rubens, Diego Velázquez; Influential on: Renaissance; Career Highlights: Painter, sculptor, and architect; Preferred Medias: Painting; Themes: Religion, humanism, aesthetics.
84; Artist Birthplace: Paris, France; Year of birth: 1848; Deathyear: 1903; Ethnicity: French; Religion: Atheism; Training/School: École des Beaux-Arts; Major Works/Exhibitions: The Scream, The Sick Child; Influenced: Wassily Kandinsky, Ernst Ludwig Kirchner; Influential on: Expressionism; Career Highlights: Painter and printmaker; Preferred Medias: Painting; Themes: Anxiety, emotion, the human condition.
85; Artist Birthplace: Moscow, Russia; Year of birth: 1866; Deathyear: 1944; Ethnicity: Russian; Religion: Russian Orthodox; Training/School: Moscow School of Painting, Sculpture and Architecture; Major Works/Exhibitions: The Black Square, Composition VII; Influenced: Kazimir Malevich, El Lissitzky; Influential on: Abstract art; Career Highlights: Painter and art theoretician; Preferred Medias: Painting; Themes: Suprematism, abstraction, minimalism.
86; Artist Birthplace: Amsterdam, Netherlands; Year of birth: 1606; Deathyear: 1669; Ethnicity: Dutch; Religion: Protestantism; Training/School: Studio of Pieter Lastman; Major Works/Exhibitions: The Night Watch, The Anatomy Lesson of Dr. Nicolaes Tulp; Influenced: Peter Paul Rubens, Diego Velázquez; Influential on: Baroque painting; Career Highlights: Painter; Preferred Medias: Painting; Themes: History, drama, realism.
87; Artist Birthplace: Beijing, China; Year of birth: 1624; Deathyear: 1705; Ethnicity: Chinese; Religion: Confucianism; Training/School: Studio of Dong Qichang; Major Works/Exhibitions: Along the River During the Qingming Festival, The Emperor's Carriage Arriving at the Temple of Heaven; Influenced: Qing dynasty painting; Influential on: Landscape painting; Career Highlights: Painter and poet; Preferred Medias: Painting; Themes: Nature, life, harmony.
88; Artist Birthplace: Le Havre, France; Year of birth: 1840; Deathyear: 1926; Ethnicity: French; Religion: Catholicism; Training/School: École des Beaux-Arts; Major Works/Exhibitions: Impression, Sunrise, Dance at Le Moulin de la Galette; Influenced: Claude Monet, Pierre-Auguste Renoir; Influential on: Impressionism; Career Highlights: Painter, printmaker, and photographer; Preferred Medias: Painting; Themes: Landscape, modern life, sensory experience.
89; Artist Birthplace: Zurich, Switzerland; Year of birth: 1887; Deathyear: 1967; Ethnicity: Swiss; Religion: Dadaism; Training/School: Kunstgewerbeschule Zürich; Major Works/Exhibitions: Fountain, The Bride Stripped Bare by Her Bachelors, Even; Influenced: Marcel Duchamp, Yves Klein; Influential on: Conceptual art; Career Highlights: Artist, sculptor, and writer; Preferred Medias: Mixed media; Themes: Absurdity, chance, anti-art.</s>
