;"""Math Concept""";"""Definition""";"""Properties""";"""Operations""";"""Symbolism""";"""Examples""";"""Historical Context""";"""Key Figures""";"""Current Uses""";"""Future Implications""";"""Misconceptions""";"""Challenges""";"""Applications""";"""Extensions"""
52;"""Abstract Algebra""";"""The study of algebraic structures and their properties.""";"""Groups, rings, fields.""";"""Homomorphisms, isomorphisms, automorphisms.""";"""Symbolized through operations and identities.""";"""Generalizing arithmetic and linear algebra.""";"""Developed primarily in the 19th and 20th centuries.""";"""Évariste Galois, Emmy Noether.""";"""Number theory, geometry, logic.""";"""Algebraic geometry, coding theory, cryptography.""";"""Misconception that abstract algebra is too theoretical.""";"""Difficulty in seeing connections between algebraic structures.""";"""Representation theory, category theory, universal algebra.""";"""Model theory, computational algebra, combinatorial algebra."" "
53;"""Probability Theory""";"""The study of uncertain events and random phenomena.""";"""Probability spaces, random variables.""";"""Expected values, conditional probability.""";"""Symbolized through probability distributions and density functions.""";"""Modeling risk, uncertainty, and variability.""";"""Bernoulli, Laplace, Bayes.""";"""Andrey Kolmogorov, Abraham de Moivre.""";"""Statistics, data science, finance.""";"""Stochastic processes, simulation, financial modeling.""";"""Misconception that probability is only about gambling.""";"""Difficulty in understanding conditional probability.""";"""Measure-theoretic probability, stochastic calculus, Bayesian inference.""";"""Financial mathematics, queueing theory, reliability theory."" "
54;"""Complex Analysis""";"""The study of complex functions and their properties.""";"""Complex planes, holomorphic functions.""";"""Contour integration, residue theorem.""";"""Symbolized through complex exponential and trigonometric functions.""";"""Analytic continuation, Riemann zeta function.""";"""Cauchy, Riemann, Weierstrass.""";"""Augustin-Louis Cauchy, Bernhard Riemann.""";"""Physics, engineering, signal processing.""";"""Electrical engineering, fluid dynamics, quantum mechanics.""";"""Misconception that complex analysis is too abstract.""";"""Difficulty in visualizing complex functions.""";"""Conformal mapping, Riemann surfaces, distribution theory.""";"""Partial differential equations, fluid dynamics, scattering theory."" "
55;"""Topology""";"""The study of space and properties that remain unchanged under continuous deformations.""";"""Manifolds, homeomorphisms, Betti numbers.""";"""Fundamental group, singular homology.""";"""Symbolized through topological spaces and maps.""";"""Classifying surfaces, knots.""";"""Leonhard Euler, Henri Poincaré.""";"""Johann Benedict Listing, Oswald Veblen.""";"""Geometry, analysis, physics.""";"""Differential geometry, dynamical systems, general relativity.""";"""Misconception that topology is too abstract.""";"""Difficulty in understanding topological invariants.""";"""Algebraic topology, geometric topology, low-dimensional topology.""";"""Differential topology, dynamical systems, singularity theory."" "
56;"""Number Theory""";"""The study of properties and relationships of numbers.""";"""Prime numbers, congruences.""";"""Diophantine equations, algebraic numbers.""";"""Symbolized through number fields and rings.""";"""Fermat's Last Theorem, Goldbach Conjecture.""";"""Diophantus, Euclid, Gauss.""";"""Carl Friedrich Gauss, Pierre de Fermat.""";"""Algebra, analysis, combinatorics.""";"""Cryptography, coding theory, combinatorial number theory.""";"""Misconception that number theory is 'recreational' mathematics.""";"""Difficulty in understanding prime number distribution.""";"""Analytic number theory, algebraic number theory, computational number theory.""";"""Cryptographic protocols, coding theory, Diophantine geometry."" "
57;"""Differential Equations""";"""The study of functions and their rates of change.""";"""Ordinary differential equations, partial differential equations.""";"""Existence and uniqueness theorems.""";"""Symbolized through differential operators on functions.""";"""Modeling physical phenomena, such as heat transfer, wave propagation.""";"""Isaac Newton, Leonhard Euler.""";"""Joseph-Louis Lagrange, Carl Gustav Jacobi.""";"""Physics, engineering, economics.""";"""Mechanics, fluid dynamics, electrical networks.""";"""Misconception that differential equations are too technical.""";"""Difficulty in solving nonlinear equations.""";"""Picard–Lindelöf theorem, Sturm–Liouville theory, Green's functions.""";"""Variational calculus, control theory, mathematical biology."" "
58;"""Logic""";"""The study of reasoning and argumentation.""";"""Propositional logic, predicate logic.""";"""Truth tables, natural deduction.""";"""Symbolized through logical connectives and quantifiers.""";"""Formalizing mathematical proofs.""";"""Aristotle, Euclid, Boole.""";"""Gottlob Frege, Bertrand Russell.""";"""Philosophy, computer science, artificial intelligence.""";"""Set theory, model theory, recursion theory.""";"""Misconception that logic is elementary or trivial.""";"""Difficulty in understanding quantifiers.""";"""Modal logic, model theory, proof theory.""";"""Formal semantics, automated theorem proving, knowledge representation."" "
59;"""Category Theory""";"""The study of abstract structure and relationships between mathematical objects.""";"""Objects, morphisms, functors.""";"""Natural transformations, adjunctions.""";"""Symbolized through diagrams and commutative diagrams.""";"""Unifying and generalizing mathematical notions.""";"""Samuel Eilenberg, Saunders Mac Lane.""";"""Jean Bénabou, William Lawvere.""";"""Algebra, geometry, logic.""";"""Topos theory, algebraic geometry, computer science.""";"""Misconception that category theory is too abstract.""";"""Difficulty in visualizing categories.""";"""Higher category theory, homotopy type theory, topos theory.""";"""Quantum mechanics, computer science, linguistics.""</s>"
60;" ""Group Theory";The study of algebraic structures with an operation that combines elements.;Groups, subgroups, abelian groups.;Group actions, homomorphisms, isomorphisms.;Symbolized through group multiplication tables and presentation.;Understanding symmetry in mathematics and physics.;Evariste Galois, William Burnside.;Walter Feit, John Thompson.;Abstract algebra, geometry, physics.;Lattice theory, representation theory, algebraic topology.;Misconception that group theory is disconnected from 'real' mathematics.;Difficulty in understanding group actions.;Representation theory, algebraic geometry, geometric group theory.;"Non-commutative geometry, von Neumann algebras, coding theory."" "
61;"""Calculus";The study of change and motion, built on concepts of limits, derivatives, and integrals.;Single-variable, multivariable, vector calculus.;Fundamental theorem of calculus, mean value theorem.;Symbolized through various notations like Leibniz's ddx, Newton's dot notation.;Foundation of mathematical analysis and higher mathematics.;Isaac Newton, Gottfried Wilhelm Leibniz.;Augustin-Louis Cauchy, Bernhard Riemann.;Physics, engineering, economics.;Optimization, differential equations, differential geometry.;Misconception that calculus is outdated or has limited applications.;Difficulty in visualizing higher dimensional spaces.;Differential topology, symplectic geometry, fluid dynamics.;"Fractal geometry, chaos theory, computer graphics."" "
62;"""Combinatorics";The study of discrete structures and their properties, including counting, arrangement, and optimization.;Permutations, combinations, partitions.;Recurrence relations, generating functions.;Symbolized through combinatorial identities and bijections.;Connection between algebra and geometry.;Leonhard Euler, Blaise Pascal.;George Andrews, Richard Stanley.;Discrete mathematics, computer science, statistics.;Graph theory, coding theory, design theory.;Misconception that combinatorics is 'messy' or has little structure.;Difficulty in visualizing large structures.;"Ramsey theory, extremal combinatorics, probabilistic combinatorics.""";
63;"""Number Theory";The study of properties and relationships of numbers, especially integers.;Prime numbers, congruences, Diophantine equations.;Quadratic residues, continued fractions.;Symbolized through various number-theoretic functions.;Connection to algebraic structures, algebraic geometry, and analysis.;Carl Friedrich Gauss, Leonhard Euler.;Pierre de Fermat, Ernst Kummer.;Analytic number theory, algebraic number theory, arithmetic geometry.;Cryptography, coding theory, Diophantine approximation.;Misconception that number theory is 'elementary' or has limited applications.;Difficulty in solving Diophantine equations.;"Modular forms, elliptic curves, L-functions.""";
64;"""Topology";The study of properties that are preserved under continuous deformations like stretching, bending, but not tearing or gluing.;Points, sets, spaces, manifolds.;Homeomorphisms, homotopies, and embeddings.;Symbolized through topological invariants and categorical diagrams.;Link between geometry, analysis, and algebra.;Henri Poincaré, Leopold Kronecker.;René Thom, John Milnor.;Differential topology, algebraic topology, geometric topology.;Knot theory, dynamical systems, low-dimensional topology.;Misconception that topology is too abstract or has few connections to other fields.;Difficulty in understanding topological invariants.;"Microlocal analysis, symplectic topology, geometric group theory.""";
65;"""Graph Theory";The study of graphs, which are collections of vertices connected by edges.;Trees, connectivity, colorings.;Planarity, matchings, flows.;Symbolized through vertex and edge adjacency matrices.;Modeling real-world networks.;Leonhard Euler, Richard Tutte.;Paul Erdős, Vera Sós.;Computer science, operations research, sociology.;Social network analysis, network flows, extremal graph theory.;Misconception that graph theory is a niche area without broad applications.;Difficulty in analyzing large and complex networks.;"Spectral graph theory, random graphs, graph limits.""";
66;"""Measure Theory";The study of measures, which assign a size or quantity to sets in a space.;Measurable sets, measurable functions.;Integration, differentiation.;Symbolized through measure spaces and sigma-algebras.;Foundation for modern probability theory and real analysis.;Henri Lebesgue, Émile Borel.;Andrey Kolmogorov, Paul Halmos.;Probability theory, functional analysis, harmonic analysis.;Statistical physics, stochastic processes, signal processing.;Misconception that measure theory is too technical or narrow.;Difficulty in understanding sigma-algebras.;"Lebesgue spaces, Fourier analysis, ergodic theory.""";
67;"""Probability Theory";The study of random phenomena, modeled using probability spaces and random variables.;Stochastic processes, random walks.;Convergence, central limit theorem.;Symbolized through probability distributions, density functions.;Connection to statistical inference.;Abraham de Moivre, Pierre-Simon Laplace.;Andrey Kolmogorov, William Feller.;Mathematical statistics, data science, finance.;Time series analysis, stochastic geometry, random matrices.;Misconception that probability theory is just 'mathematical gambling'.;Difficulty in understanding conditional probability.;"Martingales, stochastic calculus, extreme value theory.""";
68;"""Algebraic Geometry";The study of algebraic varieties, geometric objects defined by polynomial equations, and their properties.;Varieties, schemes, sheaves.;Intersection theory, cohomology.;Symbolized through commutative diagrams and Grothendieck's sheaf theory.;Link between algebra, geometry, and topology.;David Hilbert, Felix Klein.;Oscar Zariski, Jean-Pierre Serre.;Complex geometry, algebraic topology, number theory.;Singularity theory, enumerative geometry, derived categories.;Misconception that algebraic geometry is too abstract or has few connections to other fields.;Difficulty in understanding schemes.;"Moduli spaces, Hodge theory, mirror symmetry.""";
69;"""Differential Geometry";The study of geometric structures on smooth manifolds and their properties.;Curvature, connections, holonomy.;Differential operators, index theory.;Symbolized through tensor calculus and exterior calculus.;Link between topology, geometry, and analysis.;Carl Friedrich Gauss, Bernhard Riemann.;Elie Cartan, Shiing-Shen Chern.;General relativity, gauge theory, geometric analysis.;Differential topology, complex geometry, global analysis.;Misconception that differential geometry is too technical or has few connections to other fields.;Difficulty in understanding curvature.;"Gauge theory, symplectic geometry, Teichmüller theory.""</s>";
70;" ""Logic";The systematic study of valid reasoning and inference.;Propositional logic, first-order logic, set theory.;Truth tables, natural deduction.;Symbolized through logical connectives and quantifiers.;Foundation for mathematics, computer science, and philosophy.;Aristotle, George Boole.;Bertrand Russell, Kurt Gödel.;Formal semantics, mathematical logic, cognitive science.;Model theory, proof theory, recursion theory.;Misconception that logic is just common sense.;Difficulty in understanding quantifier scope.;"Model checking, automated theorem proving, logical paradoxes.""";
71;"""Number Theory";The study of properties and relationships of numbers, especially integers.;Primes, congruences, Diophantine equations.;Algebraic, analytic, and geometric number theory.;Symbolized through algebraic structures and functional equations.;Link between algebra, analysis, and geometry.;Euclid, Carl Friedrich Gauss.;Leonhard Euler, Pierre de Fermat.;Cryptography, coding theory, algorithm design.;Arithmetic geometry, automorphic forms, analytic number theory.;Misconception that number theory is only about multiplication tables.;Difficulty in understanding advanced techniques.;"Modular forms, zeta functions, algebraic geometry.""";
72;"""Graph Theory";The study of properties and relationships of graphs, mathematical structures used to model pairwise relations between objects.;Connectivity, colorings, matchings.;Trees, planarity, duality.;Symbolized through vertices, edges, and adjacency.;Link between combinatorics, geometry, and topology.;Leonhard Euler, Denes König.;Paul Erdős, Frank Ramsey.;Social network analysis, circuit design, optimization.;Random graphs, extremal graph theory, spectral graph theory.;Misconception that graph theory is only about drawing pictures of points and lines.;Difficulty in understanding graph colorings.;"Network flow, matchings, graph decompositions.""";
73;"""Topology";The study of properties and relationships of spaces that are preserved under continuous deformations.;Homology, homotopy, cohomology.;Manifolds, bundles, cobordisms.;Symbolized through point-set topology and category theory.;Link between geometry, algebra, and analysis.;Leonhard Euler, Henri Poincaré.;René Thom, Mikhail Gromov.;Differential topology, algebraic topology, low-dimensional topology.;Knot theory, surface topology, geometric group theory.;Misconception that topology is only about tearing and gluing paper.;Difficulty in understanding higher-dimensional spaces.;"Homotopy theory, Morse theory, sheaf theory.""";
74;"""Combinatorics";The study of counting, arranging, and constructing discrete mathematical objects.;Enumeration, partitioning, optimization.;Graphs, posets, lattices.;Symbolized through combinatorial identities and generating functions.;Link between algebra, geometry, and probability.;Leonhard Euler, Blaise Pascal.;Percy MacMahon, Gian-Carlo Rota.;Design theory, coding theory, cryptography.;Matroid theory, extremal set theory, probabilistic combinatorics.;Misconception that combinatorics is just arithmetic with fancy words.;Difficulty in understanding bijections.;"Ramsey theory, combinatorial game theory, combinatorial geometry.""";
75;"""Dynamic Systems";The study of the behavior of systems that change over time.;Differential equations, maps, flows.;Stability, bifurcation, chaos.;Symbolized through phase portraits and Poincaré maps.;Link between analysis, topology, and geometry.;Isaac Newton, Henri Poincaré.;Stephen Smale, Jürgen Moser.;Nonlinear dynamics, ergodic theory, dynamical systems on manifolds.;Control theory, optimization, numerical methods.;Misconception that dynamic systems are only about physics.;Difficulty in understanding chaotic behavior.;"Fractals, infinite-dimensional dynamics, stochastic processes.""";
76;"""Game Theory";The study of strategic decision-making in situations where the outcome depends on the actions of multiple agents.;Two-player games, Nash equilibrium, evolutionarily stable strategies.;Cooperative games, social choice, implementation.;Symbolized through extensive and normal forms.;Link between economics, political science, and psychology.;John von Neumann, Oskar Morgenstern.;John Nash, Lloyd Shapley.;Auction theory, social networks, algorithmic game theory.;Mechanism design, information economics, behavioral game theory.;Misconception that game theory is only about winning.;Difficulty in understanding mixed strategies.;"Correlated equilibrium, repeated games, stochastic games.""";
77;"""Functional Analysis";The study of infinite-dimensional vector spaces and their transformations using functionals.;Banach spaces, Hilbert spaces, operator algebras.;Fourier analysis, spectral theory, harmonic analysis.;Symbolized through topological vector spaces and duality.;Link between analysis, topology, and algebra.;David Hilbert, Stefan Banach.;John von Neumann, Paul Halmos.;Operator theory, quantum mechanics, partial differential equations.;Distributions, measure theory, functional equations.;Misconception that functional analysis is too abstract or inapplicable.;Difficulty in understanding weak topologies.;"Spectral theory, interpolation theory, nonlinear functional analysis.""";
78;"""Operator Theory";The study of linear operators and their properties on infinite-dimensional spaces.;Self-adjoint, normal, unitary operators.;Compact, Fredholm, index theory.;Symbolized through functional calculus and spectral theory.;Link between analysis, topology, and algebra.;John von Neumann, Frigyes Riesz.;Marcel Riesz, Michael Freedman.;Spectral geometry, scattering theory, microlocal analysis.;Noncommutative geometry, K-theory, nonlinear operator theory.;Misconception that operator theory is too technical or inaccessible.;Difficulty in understanding unbounded operators.;"Nonself-adjoint operators, operator ideals, numerical range.""";
79;"""Measure Theory";The study of the properties and relationships of sets with respect to their measurable subsets.;Measure spaces, integration, convergence.;Lebesgue measure, product measures, Hausdorff measures.;Symbolized through measure algebras and outer measures.;Link between analysis, topology, and probability.;Émile Borel, Henri Lebesgue.;Paul Halmos, Andrey Kolmogorov.;Real analysis, stochastic processes, Fourier analysis.;Dimension theory, ergodic theory, geometric measure theory.;Misconception that measure theory is only about calculus.;Difficulty in understanding sigma-algebras.;"Abstract measure theory, descriptive set theory, Banach space geometry.""</s>";
80;" ""Differential Equations";The study of equations involving an unknown function and its derivatives.;Ordinary differential equations, partial differential equations.;Linear, nonlinear, autonomous, non-autonomous.;Symbolized through mathematical notation and Picard's existence theorem.;Link between calculus, algebra, and geometry.;Isaac Newton, Leonhard Euler.;Carl Gustav Jacobi, Henri Poincaré.;Control theory, dynamical systems, mathematical physics.;Numerical analysis, bifurcation theory, stability theory.;Misconception that differential equations are too complex or inapplicable.;Difficulty in understanding existence and uniqueness.;"Singular perturbation, stochastic differential equations.""";
81;"""Algebraic Geometry";The study of geometric objects defined by polynomial equations.;Varieties, schemes, sheaves.;Projective spaces, algebraic curves, Grassmannians.;Symbolized through commutative algebra and category theory.;Link between algebra, geometry, and topology.;Evariste Galois, David Hilbert.;Jean-Pierre Serre, Alexander Grothendieck.;Computational algebraic geometry, algebraic statistics, coding theory.;Moduli spaces, Hodge theory, mirror symmetry.;Misconception that algebraic geometry is too abstract or inapplicable.;Difficulty in understanding schemes.;"Birational geometry, tropical geometry, derived categories.""";
82;"""Number Theory";The study of properties and relationships of numbers, especially integers.;Prime numbers, congruences, Diophantine equations.;Algebraic numbers, transcendental numbers, p-adic numbers.;Symbolized through arithmetic functions and quadratic residues.;Link between algebra, analysis, and geometry.;Carl Friedrich Gauss, Leonard Euler.;G.H. Hardy, Bernhard Riemann.;Cryptography, algorithmic number theory, Diophantine geometry.;Analytic number theory, transcendental number theory, automorphic forms.;Misconception that number theory is only about whole numbers.;Difficulty in understanding the distribution of primes.;"Iwasawa theory, Langlands program, arithmetic statistics.""";
83;"""Graph Theory";The study of structures composed of vertices connected by edges.;Trees, cycles, planar graphs.;Connectivity, colorings, matching.;Symbolized through adjacency matrices and incidence matrices.;Link between combinatorics, geometry, and computer science.;Leonhard Euler, Denes Kőnig.;Paul Erdős, Richard Tutte.;Network analysis, circuit theory, scheduling.;Random graphs, combinatorial optimization, topological graph theory.;Misconception that graph theory is only about drawing pictures.;Difficulty in understanding graph colorings.;" extremal graph theory, algebraic graph theory, spectral graph theory.""";
84;"""Probability Theory";The study of the behavior of random phenomena and uncertainty.;Random variables, stochastic processes, Markov chains.;Convergence, independence, martingales.;Symbolized through probability measures and expectation values.;Link between analysis, geometry, and statistics.;Andrey Kolmogorov, Abraham de Moivre.;William Feller, Patrick Billingsley.;Statistical physics, financial mathematics, queueing theory.;Stochastic calculus, extreme value theory, random graphs.;Misconception that probability is only about gambling.;Difficulty in understanding conditional probability.;"Markov random fields, stochastic differential equations.""";
85;"""Combinatorics";The study of counting, arranging, and manipulating discrete objects.;Permutations, combinations, partitions.;Generating functions, recurrence relations, Catalan numbers.;Symbolized through combinatorial symbols and bijections.;Link between algebra, geometry, and number theory.;Leonhard Euler, Blaise Pascal.;George Andrews, Richard Stanley.;Design theory, enumerative combinatorics, algebraic combinatorics.;Graph theory, matroid theory, coding theory.;Misconception that combinatorics is only about counting.;Difficulty in understanding bijections.;"Inclusion-exclusion principle, pigeonhole principle, symmetric functions.""";
86;"""Topology";The study of properties and relationships of spaces that are preserved under continuous transformations.;Manifolds, simplicial complexes, CW-complexes.;Homeomorphism, homotopy, homology.;Symbolized through topological invariants and fundamental groups.;Link between geometry, analysis, and algebra.;Leonhard Euler, Henri Poincaré.;John Milnor, René Thom.;Knot theory, algebraic topology, differential topology.;Low-dimensional topology, geometric group theory, homotopy theory.;Misconception that topology is only about shapes.;Difficulty in understanding homotopy.;"Morse theory, shape theory, singularity theory.""";
87;"""Computational Mathematics";The study of mathematical algorithms and their implementation on digital computers.;Numerical analysis, computer algebra, symbolic computation.;Finite element, finite difference, Monte Carlo.;Symbolized through mathematical software and hardware.;Link between computer science, applied mathematics, and statistics.;Karl Friederich Gauss, John von Neumann.;James Cooley, John Todd.;Cryptography, optimization, computer graphics.;Machine learning, scientific computing, data analysis.;Misconception that computational mathematics is only about programming.;Difficulty in understanding numerical stability.;"Parallel computing, stochastic methods, interval arithmetic.""";
88;"""Dynamical Systems";The study of the behavior of systems that evolve over time according to fixed rules.;Ordinary differential equations, iterated maps, bifurcations.;Attractors, chaos, stability.;Symbolized through phase portraits and Poincaré maps.;Link between topology, geometry, and analysis.;Henri Poincaré, Alexey Krylov.;Stephen Smale, E.C.Titchmarsh.;Turbulence, celestial mechanics, neuroscience.;Numerical simulation, chaos theory, dynamical behavior.;Misconception that dynamical systems are only about physics.;Difficulty in understanding chaos.;"Lyapunov exponents, strange attractors, KAM theory.""";
89;"""Logic";The study of mathematical reasoning and its foundations.;Propositional logic, first-order logic, model theory.;Set theory, type theory, recursion theory.;Symbolized through logical symbols and formal systems.;Link between computer science, philosophy, and mathematics.;George Boole, Kurt Gödel.;Alan Turing, Alfred Tarski.;Computer science, philosophy of mathematics, automated theorem proving.;Category theory, proof theory, set theory.;Misconception that logic is only about reasoning.;Difficulty in understanding incompleteness.;"Computational logic, model checking, proof mining.""</s>";
90;" ""Combinatorics";The study of counting, arranging, and combining objects in a fixed structure.;Combinations, permutations, graphs.;Recurrence relations, generating functions.;Symbolized through factorials and binomial coefficients.;Link between discrete mathematics and statistics.;Leonhard Euler, Blaise Pascal.;Percy MacMahon, Henri Lebesgue.;Graph theory, design theory, coding theory.;Probabilistic combinatorics, algebraic combinatorics, enumerative combinatorics.;Misconception that combinatorics is only about counting.;Difficulty in understanding bijective proofs.;"Chromatic polynomials, Sperner's theorem, Dvoretzky's theorem."" ";
91;"""Graph Theory";The study of pairwise relations between objects and the structure of these relations.;Degree sequence, graph coloring, planarity.;Trees, spanning trees, connectivity.;Symbolized through adjacency matrix and incidence matrix.;Link between combinatorics, topology, and computer science.;Leonhard Euler, Denes König.;Kempe, Kirchhoff.;Network analysis, circuit design, optimization.;Random graphs, spectral graph theory, graph algorithms.;Misconception that graph theory is only about map coloring.;Difficulty in understanding planar graphs.;"Hamiltonian cycles, independent sets, matching."" ";
92;"""Probability Theory";The study of uncertainty and random events, and their implications in mathematical models.;Probability axioms, conditional probability, independence.;Random variables, distributions, density functions.;Symbolized through probability spaces and sigma-algebras.;Link between statistics, finance, and physics.;Andrey Kolmogorov, Abraham de Moivre.;Blaise Pascal, Pierre de Fermat.;Stochastic processes, risk management, financial mathematics.;Information theory, statistical mechanics, queueing theory.;Misconception that probability theory is only about gambling.;Difficulty in understanding convergence.;"Central limit theorem, law of large numbers, Bayes' theorem."" ";
93;"""Number Theory";The study of properties and relationships of integers and their generalizations.;Prime numbers, congruences, Diophantine equations.;Algebraic numbers, transcendental numbers, p-adic numbers.;Symbolized through modular arithmetic and congruence classes.;Link between algebra, geometry, and analysis.;Carl Friedrich Gauss, Euclid.;Leonhard Euler, Pierre de Fermat.;Cryptography, algorithm design, algebraic geometry.;Analytic number theory, arithmetic algebraic geometry, Diophantine geometry.;Misconception that number theory is only about prime numbers.;Difficulty in understanding distribution of primes.;"Riemann hypothesis, Goldbach conjecture, twin prime conjecture."" ";
94;"""Set Theory";The study of sets, collections of objects, and their properties.;Set operations, cardinality, order.;Relations, functions, sequences.;Symbolized through Zermelo-Fraenkel axioms and the axiom of choice.;Link between logic, topology, and model theory.;Ernst Zermelo, Adolf Fraenkel.;John von Neumann, Paul Cohen.;Model theory, descriptive set theory, infinite combinatorics.;Forcing, large cardinals, determinacy.;Misconception that set theory is only about naive set theory.;Difficulty in understanding axiom of choice.;"Axiomatic set theory, category theory, type theory."" ";
95;"""Topology";The study of properties of spaces that are preserved under continuous transformations.;Homeomorphisms, embeddings, surfaces.;Compactness, connectedness, path-connectedness.;Symbolized through simplicial complexes, CW-complexes, and manifolds.;Link between geometry, algebra, and analysis.;Leonhard Euler, Henri Poincaré.;Lefschetz, Hopf.;Differential topology, algebraic topology, geometric topology.;Braid groups, knot theory, low-dimensional topology.;Misconception that topology is only about shapes.;Difficulty in understanding homotopy.;"Fundamental group, fundamental groupoid, homology theory."" ";
96;"""Differential Equations";The study of mathematical equations that involve functional derivatives.;Ordinary differential equations, partial differential equations, stochastic differential equations.;Existence, uniqueness, stability.;Symbolized through phase portraits and Green's functions.;Link between calculus, dynamics, and functional analysis.;Isaac Newton, Leonhard Euler.;Paul Dirac, Sophus Lie.;Control theory, dynamical systems, fluid dynamics.;Numerical methods, optimal control, inverse problems.;Misconception that differential equations are only about physics.;Difficulty in understanding singular perturbation.;"Bifurcation theory, chaos theory, stability theory."" ";
97;"""Functional Analysis";The study of infinite-dimensional spaces and mappings between them.;Banach spaces, Hilbert spaces, topological vector spaces.;Fourier analysis, spectral theory, harmonic analysis.;Symbolized through linear functionals, bounded operators, and dual spaces.;Link between integral equations, measure theory, and operator theory.;David Hilbert, Stefan Banach.;John von Neumann, Paul Halmos.;Quantum mechanics, differential equations, stochastic processes.;Fredholm theory, spectral theory, index theory.;Misconception that functional analysis is only about infinite-dimensional spaces.;Difficulty in understanding compact operators.;"Operator algebras, von Neumann algebras, K-theory."" ";
98;"""Geometry";The study of properties of Euclidean and non-Euclidean spaces, and their invariant properties under transformations.;Euclidean geometry, non-Euclidean geometry, projective geometry.;Length, area, volume.;Symbolized through point, line, plane, and distance.;Link between topology, algebra, and physics.;Euclid, Pythagoras.;Bernhard Riemann, Carl Friedrich Gauss.;Differential geometry, algebraic geometry, global analysis.;General relativity, Riemannian geometry, symplectic geometry.;Misconception that geometry is only about shapes.;Difficulty in understanding curvature.;"Differential forms, curvature tensors, homogeneous spaces."" ";
99;"""Algebra";The study of algebraic structures, such as groups, rings, and fields.;Groups, rings, fields.;Rings, modules, algebras.;Symbolized through group actions, commutative diagrams, and normal forms.;Link between logic, topology, and geometry.;Evariste Galois, Emmy Noether.;Leonard Dickson, David Hilbert.;Algebraic topology, algebraic geometry, representation theory.;Lie algebras, algebraic number theory, category theory.;Misconception that algebra is only about equations.;Difficulty in understanding Galois theory.;"Field extensions, invariant theory, group cohomology."" ";</s>
100; Number Theory;The study of properties and relationships of integers.;Primes, congruences, Diophantine equations.;Divisibility, greatest common divisor, modular arithmetic.;Symbolized through prime factorization, congruences, and quadratic residues.;Link between analysis, geometry, and combinatorics.;Carl Friedrich Gauss, Euclid.;G.H. Hardy, Srinivasa Ramanujan.;Algebraic number theory, analytic number theory, arithmetic geometry.;Modular forms, elliptic curves, zeta functions.;Misconception that number theory is only about whole numbers.;Difficulty in understanding distribution of primes.;Prime number theorem, Riemann hypothesis, sieve methods.;L-functions, class field theory, Iwasawa theory.
101;Combinatorics;The study of counting, arranging, and reorganizing objects.;Permutations, combinations, graphs.;Recurrence relations, generating functions.;Symbolized through factorials, sets, and partitions.;Link between probability, geometry, and algebra.;Leonhard Euler, Blaise Pascal.;P. Erdős, R.C. Bose.;Graph theory, enumerative combinatorics, extremal combinatorics.;Ramsey theory, matroid theory, design theory.;Misconception that combinatorics is only about counting.;Difficulty in understanding bijective proofs.;Partition theory, Catalan numbers, Pólya enumeration.;
102;Probability;The study of uncertainty and randomness in outcomes of events.;Stochastic processes, random variables.;Conditional probability, expected value.;Symbolized through sample spaces, sigma-algebras, and probability measures.;Link between measure theory, statistics, and finance.;Andrey Kolmogorov, Abraham de Moivre.;Blaise Pascal, Pierre-Simon Laplace.;Statistical mechanics, stochastic calculus, financial mathematics.;Markov chains, stochastic processes, martingales.;Misconception that probability is only about gambling.;Difficulty in understanding independence.;Bayesian inference, hypothesis testing, maximum likelihood estimation.;
103;Differential Equations;The study of rates of change and relations between variables.;Ordinary and partial differential equations.;Dynamical systems, stability, bifurcations.;Symbolized through derivatives, integrals, and differential operators.;Link between analysis, topology, and geometry.;Leonhard Euler, Isaac Newton.;Augustin-Louis Cauchy, Carl Gustav Jacobi.;Dynamical systems, control theory, mathematical physics.;Hamiltonian systems, chaos theory, bifurcation theory.;Misconception that differential equations are only about physics.;Difficulty in understanding existence and uniqueness.;Picard-Lindelöf theorem, stability theory, numerical methods.;
104;Logic;The study of mathematical reasoning and inference.;Propositional, first-order, and modal logics.;Set theory, model theory, proof theory.;Symbolized through formal systems, truth tables, and natural deduction.;Link between computer science, philosophy, and linguistics.;Gottlob Frege, Bertrand Russell.;Kurt Gödel, Alonzo Church.;Computability theory, set theory, formal semantics.;Lambda calculus, type theory, model checking.;Misconception that logic is only about reasoning.;Difficulty in understanding incompleteness.;Gödel's incompleteness theorems, compactness theorem, completeness theorem.;
105;Complex Analysis;The study of complex functions and their properties.;Analytic functions, holomorphic functions.;Residue calculus, conformal mappings.;Symbolized through complex planes, contour integrals, and Cauchy's integral formula.;Link between topology, differential equations, and geometry.;Leonhard Euler, Carl Friedrich Gauss.;Augustin-Louis Cauchy, Bernhard Riemann.;Riemann surfaces, complex geometry, approximation theory.;Harmonic analysis, potential theory, Nevanlinna theory.;Misconception that complex analysis is only about complex numbers.;Difficulty in understanding singularities.;Cauchy's theorem, Rouche's theorem, isolated singularities.;
