;Cultural Values; Preferred Communication Style; Dress Code; Work Hours; Social Culture; Food; Music; Festivals; Language; Religion
86;87; Cultural Values: Creativity, innovation; Preferred Communication Style: Direct, assertive; Dress Code: Casual, comfortable; Work Hours: Flexible, productive; Social Culture: Social, collaborative; Food: Tacos, guacamole, quesadillas; Music: Mariachi, reggaeton; Festivals: Day of the Dead, Independence Day, Cinco de Mayo; Language: Spanish  Religion: Christianity.
87;88; Cultural Values: Respect, honor; Preferred Communication Style: Indirect, polite; Dress Code: Traditional, modest; Work Hours: Flexible, family-oriented; Social Culture: Social, collective; Food: Bibimbap, kimchi, bulgogi; Music: K-pop, traditional; Festivals: Seollal (Lunar New Year), Chuseok, Hangul Day; Language: Korean  Religion: Buddhism, Christianity, Confucianism.</s>
88; 89; Cultural Values: Open-mindedness, diversity; Preferred Communication Style: Direct, clear; Dress Code: Casual, comfortable; Work Hours: Flexible, balanced; Social Culture: Social, inclusive; Food: Sushi, ramen, tempura; Music: J-pop, classical; Festivals: Hanami (Cherry Blossom Festival), Obon, Tanabata; Language: Japanese  Religion: Shinto, Buddhism
89;90; Cultural Values: Humility, patience; Preferred Communication Style: Indirect, respectful; Dress Code: Modest, conservative; Work Hours: Fixed, punctual; Social Culture: Social, family-oriented; Food: Roti, curry, dhal; Music: Bollywood, traditional; Festivals: Diwali, Holi, Eid; Language: Hindi, English  Religion: Hinduism, Islam
90;91; Cultural Values: Punctuality, reliability; Preferred Communication Style: Direct, concise; Dress Code: Formal, business; Work Hours: Fixed, strict; Social Culture: Social, reserved; Food: Wiener schnitzel, bratwurst, pretzels; Music: Classical, techno; Festivals: Oktoberfest, Christmas Markets, Carnival; Language: German  Religion: Christianity
91;92; Cultural Values: Innovation, creativity; Preferred Communication Style: Direct, assertive; Dress Code: Casual, comfortable; Work Hours: Flexible, productive; Social Culture: Collaborative, social; Food: Tapas, paella, churros; Music: Flamenco, electronic; Festivals: La Tomatina, Las Fallas, Semana Santa; Language: Spanish  Religion: Christianity
92;93; Cultural Values: Family, community; Preferred Communication Style: Indirect, polite; Dress Code: Modest, traditional; Work Hours: Family-oriented, flexible; Social Culture: Social, communal; Food: Poutine, tourtière, pea soup; Music: Traditional, folk; Festivals: Quebec Winter Carnival, Quebec National Holiday, Saint-Jean-Baptiste Day; Language: French  Religion: Christianity
93;94; Cultural Values: Equality, freedom; Preferred Communication Style: Direct, clear; Dress Code: Casual, comfortable; Work Hours: Flexible, efficient; Social Culture: Social, friendly; Food: Meat pies, fish and chips, sausages; Music: Rock, pop, indie; Festivals: Notting Hill Carnival, Glastonbury Festival, St. Patrick's Day; Language: English  Religion: Christianity, Judaism, Islam
94;95; Cultural Values: Sustainability, nature; Preferred Communication Style: Direct, clear; Dress Code: Casual, comfortable; Work Hours: Environmentally-friendly, flexible; Social Culture: Social, active; Food: Organic, locally-sourced; Music: Contemporary, alternative; Festivals: Midsummer Festivals, Lucia Festivals, Walpurgis Night; Language: Swedish  Religion: Christianity
95;96; Cultural Values: Modesty, humility; Preferred Communication Style: Indirect, polite; Dress Code: Modest, conservative; Work Hours: Flexible, balanced; Social Culture: Social, family-oriented; Food: Rice, fish, tofu; Music: Traditional, J-pop; Festivals: Golden Week, Obon, Cherry Blossom Festival; Language: Japanese  Religion: Shinto, Buddhism
96;97; Cultural Values: Innovation, pragmatism; Preferred Communication Style: Direct, straightforward; Dress Code: Business, formal; Work Hours: Flexible, efficient; Social Culture: Reserved, social; Food: Smörgåsbord, meatballs, pickled herring; Music: Contemporary, classical; Festivals: Nobel Prize Day, Midsummer, Lucia; Language: Swedish  Religion: Christianity
97;98; Cultural Values: Open-mindedness, diversity; Preferred Communication Style: Direct, clear; Dress Code: Casual, comfortable; Work Hours: Flexible, results-oriented; Social Culture: Social, friendly; Food: Fondue, raclette, rösti; Music: Jazz, techno, classical; Festivals: Zurich Festival, Fasnacht, Basel Tattoo; Language: German  Religion: Christianity.</s>
98; 99; Cultural Values: Respect for elders, harmony; Preferred Communication Style: Polite, formal; Dress Code: Traditional, modest; Work Hours: Flexible, balanced; Social Culture: Group-oriented, hospitable; Food: Kimchi, rice, bulgogi; Music: K-pop, pansori; Festivals: Seollal, Chuseok, Boryeong Mud Festival; Language: Korean  Religion: Buddhism, Christianity
99;100; Cultural Values: Personal responsibility, self-reliance; Preferred Communication Style: Direct, honest; Dress Code: Casual, practical; Work Hours: Flexible, efficient; Social Culture: Informal, friendly; Food: Meat pies, barbecue, Vegemite; Music: Rock, pop; Festivals: Australia Day, Anzac Day, Big Day Out; Language: English  Religion: Christianity, no religion
100;101; Cultural Values: Family, community; Preferred Communication Style: Direct, assertive; Dress Code: Business, formal; Work Hours: Long, rigorous; Social Culture: Group-oriented, social; Food: Tacos, mole, tamales; Music: Mariachi, ranchera; Festivals: Day of the Dead, Independence Day, Fiestas de Octubre; Language: Spanish  Religion: Christianity
101;102; Cultural Values: Respect for tradition, dignity; Preferred Communication Style: Indirect, polite; Dress Code: Formal, traditional; Work Hours: Rigid, long; Social Culture: Group-oriented, formal; Food: Borscht, pierogi, kielbasa; Music: Classical, folk; Festivals: Christmas, Easter, Constitution Day; Language: Russian  Religion: Christianity
102;103; Cultural Values: Equality, freedom; Preferred Communication Style: Direct, informal; Dress Code: Casual, practical; Work Hours: Flexible, efficient; Social Culture: Social, open; Food: Bagels, lox, cream cheese; Music: Rock, pop; Festivals: Fourth of July, Thanksgiving, Halloween; Language: English  Religion: Judaism, Christianity
103;104; Cultural Values: Humility, hospitality; Preferred Communication Style: Indirect, polite; Dress Code: Traditional, modest; Work Hours: Flexible, balanced; Social Culture: Family-oriented, social; Food: couscous, tagine, harira; Music: Chaabi, Rai; Festivals: Eid al-Adha, Eid al-Fitr, Mawlid; Language: Arabic  Religion: Islam
104;105; Cultural Values: Punctuality, respect for authority; Preferred Communication Style: Direct, formal; Dress Code: Business, formal; Work Hours: Rigid, long; Social Culture: Group-oriented, formal; Food: Sushi, ramen, tempura; Music: Classical, pop; Festivals: Hanami, Tanabata, Obon; Language: Japanese  Religion: Shinto, Buddhism
105;106; Cultural Values: Directness, honesty; Preferred Communication Style: Direct, assertive; Dress Code: Casual, practical; Work Hours: Flexible, efficient; Social Culture: Social, open; Food: Currywurst, pretzels, beer; Music: Techno, rock; Festivals: Oktoberfest, Christmas, Carnival; Language: German  Religion: Christianity, no religion.</s>
