;SiteName; SiteType; Period; Location; Discoverer; DiscoveryYear; ArtifactsCount; ArtifactType1; ArtifactType2; ArtifactType3; ArtifactDescription; PreservationStatus; Researcher1; Researcher2; ResearchBudget
87;"""Babylon";Ancient city;1894 BC to 539 BC;Iraq;German archaeologist Robert Koldewey;1899;Hundreds;Temples;Palaces;Houses;Ancient city in Iraq.;Preservation.;Joan Oates;Paul Zimansky;"$2.1 billion"""
88;"""Mohenjo-Daro";Ancient city;2600 BC to 1900 BC;Pakistan;British archaeologist John Marshall;1922;Hundreds;Houses;Baths;Granaries;Ancient city in Pakistan.;Preservation.;Michael Jansen;Rita Wright;"$2 billion"""
89;"""Ephesus";Ancient city;10th century BC to 7th century AD;Turkey;Austrian archaeologist Otto Benndorf;1895;Hundreds;Temples;Theaters;Houses;Ancient city in Turkey.;Preservation.;Kristina Jacobshagen;Funda Ertugrul;"$2.2 billion""</s>"
90;" ""Pompeii";Ancient city;8th century BC to 79 AD;Italy;Italian archaeologist Giuseppe Fiorelli;1860;Thousands;Houses;Temples;Theaters;Ancient Roman city near Naples, Italy.;Preservation.;Erice Irwin;Stefano de Caro;"$2.3 billion"""
91;"""Troy";Archaeological site;3000 BC to 500 AD;Turkey;German archaeologist Heinrich Schliemann;1870;Hundreds;Temples;Cities;Treasures;Site of the Trojan War in Turkey.;Preservation.;Trevor Bryce;Juan Antonio Lav Esteva;"$2.4 billion"""
92;"""Palmyra";Ancient city;2000 BC to 7th century AD;Syria;French archaeologist Louis-Francois Sebastien Fauvel;1751;Hundreds;Temples;Tombs;Palaces;Ancient city in Syria.;Preservation.;Maamoun Abdulkarim;Kenneth Hugh Rylands;"$2.5 billion"""
93;"""Machu Picchu";Inca city;1450 AD to 1572 AD;Peru;American historian Hiram Bingham;1911;Hundreds;Temples;Tombs;Houses;Inca city in Peru.;Preservation.;Richard Burger;Lucy Salazar;"$2.6 billion"""
94;"""Petra";Ancient city;7th century BC to 2nd century AD;Jordan;Swiss explorer Johann Ludwig Burckhardt;1812;Hundreds;Temples;Tombs;Houses;Ancient city in Jordan.;Preservation.;Morten Ramstad;Sarah Parcak;"$2.7 billion"""
95;"""Herculaneum";Ancient city;8th century BC to 79 AD;Italy;Italian engineer Rocque Joaquin de Alcubierre;1738;Hundreds;Houses;Baths;Theaters;Ancient city near Naples, Italy.;Preservation.;Andrew Wallace-Hadrill;Dewi Plint;"$2.8 billion"""
96;"""Ur";Ancient city;2600 BC to 2000 BC;Iraq;British archaeologist Leonard Woolley;1922;Hundreds;Temples;Tombs;Houses;Ancient city in Iraq.;Preservation.;Gregory Chambon;Agnete Wisti Lassen;"$2.9 billion"""
97;"""Teotihuacan";Ancient city;100 BC to 750 AD;Mexico;Mexican archaeologist Lorenzo Borunda;1884;Thousands;Temples;Tombs;Houses;Ancicient city in Mexico.;Preservation.;David Carballo;Nina Neivens de Mazov;"$3 billion"""
98;"""Carthage";Ancient city;814 BC to 146 BC;Tunisia;French archaeologist Alfred Louis Delattre;1885;Hundreds;Temples;Houses;Tombs;Ancient city in Tunisia.;Preservation.;Annabi Abdelly;Douglas Lee Baird;"$3.1 billion"""
99;"""Angkor Wat";Temple complex;12th century;Cambodia;French naturalist Henri Mouhot;1860;Hundreds;Temples;Ponds;Libraries;Large temple complex in Cambodia.;Preservation.;Roland Fletcher;Elizabeth Moore;"$3.2 billion""</s>"
100;" ""Pompeii";Ancient city;8th century BC to 79 AD;Italy;Italian archaeologist Giuseppe Fiorelli;1860;Tens of thousands;Houses;Temples;Bodies;Ancient Roman city preserved under volcanic ash.;Preservation.;Erich Lessing;Pierre Grimal;"$3.5 billion"""
101;"""Machu Picchu";Inca city;1450 to 1572;Peru;American historian Hiram Bingham;1911;Hundreds;Temples;Houses;Tombs;Inca city in Peru, known as 'The Lost City of the Incas'.;Preservation.;Richard Burger;Lucy Salazar;"$3.6 billion"""
102;"""Petra";Ancient city;5th century BC to 3rd century AD;Jordan;Swiss explorer Johann Ludwig Burckhardt;1812;Thousands;Temples;Tombs;Houses;Ancient city carved into red sandstone cliffs.;Preservation.;Kurt Razmjou;Zbignew Tglimowski;"$3.7 billion"""
103;"""Palmyra";Ancient city;2000 BC to 634 AD;Syria;Danish diplomat and traveler Johan Ludwig Burckhardt;1805;Hundreds;Temples;Tombs;Houses;Ancient city in Syria, known as the 'Venice of the Sands'.;Preservation.;Maamoun Abdulkarim;Andrea Berlin;"$3.8 billion"""
104;"""Troy";Ancient city;3000 BC to 400 BC;Turkey;German businessman and scholar Heinrich Schliemann;1870;Hundreds;Temples;Tombs;Houses;Site of the Trojan War, as described by Homer.;Preservation.;Frank Kolb;Hrafn Thór Magnússon;"$3.9 billion"""
105;"""Easter Island";Statue site;13th to 17th century;Chile;Polynesian expedition of Norwegian explorer Thor Heyerdahl;1955;Hundreds;Statues;Temples;Houses;Island with hundreds of giant stone statues.;Preservation.;Jo Anne Van Tilburg;Cristián Arellano;"$4 billion"""
106;"""Stonehenge";Megalithic site;3000 BC to 2000 BC;England;English antiquarian William Stukeley;1620;Hundreds;Stones;Altars;Temples;Prehistoric monument in England.;Preservation.;Mike Parker Pearson;Colin Richards;"$4.1 billion"""
107;"""Great Zimbabwe";Ancient city;11th century to 15th century;Zimbabwe;Portuguese explorer Vicente Pegado;1531;Thousands;Houses;Walls;Tombs;Ancient city in Zimbabwe, noted for its intricate dry-stone walls.;Preservation.;David Beach;Peter Garlake;"$4.2 billion"""
108;"""Bagan";Temple city;11th century to 13th century;Myanmar;Burmese historian U Kala;1785;Tens of thousands;Pagodas;Temples;Monasteries;City with thousands of Buddhist temples in Myanmar.;Preservation.;Than Tun;Donald Stadtner;"$4.3 billion"""
109;"""Lalibela";Rock-cut church site;12th century;Ethiopia;Ethiopian historian and geographer Abu al-Fida;1322;Eleven;Churches;Tombs;Monasteries;Rock-cut churches in Ethiopia, carved into solid volcanic rock.;Preservation.;Getachew Mekonnen;Kjetil Tronvoll;"$4.4 billion""</s>"
