;Mythological Creature;Origin;Description;Powers;Weaknesses;Symbolism;Importance;Culture;Physical Appearance;Life Span;Habitat;Behavior;Significance in Myths and Legends;Modern Depictions;Related Mythologies
78; Valkyrie; Norse; A female warrior who chooses slain warriors from the battlefield for Odin's Valhalla; Flight, strength; Vulnerable to mistletoe; Sky, battlefields; War, death; Armored, shield maiden; Immortal; Sky, battlefields; Selects warriors, honors heroes; Modern depictions in movies, TV shows, comics; Similar to the Greek soul-collecting Furies but with a less sinister role.</s>;;
79;  Manticore; Persian; A creature with the body of a lion, the head of a man, and a tail of spikes; Strength, speed; Vulnerable to man-made weapons; Deserts, forests; Destruction, death; Lion-like, human-faced, spiked tail; Immortal; Deserts, forests; Hunts for human prey; Modern depictions in fantasy literature, games, movies; Similar to the Greek Sphinx but with a more aggressive nature.;;
80; Kappa; Japanese; A water-dwelling creature with a beak, shell, and a bowl of water on its head; Water manipulation, martial arts; Vulnerable to loss of head water; Rivers, ponds; Water control, wrestling; Reptilian, beaked, shelled; 100-300 years; Rivers, ponds; Drowns humans, water sports; Modern depictions in anime, manga, video games; Similar to the Greek Nereids but with a more dangerous reputation.;;
81; Basilisk; European; A serpentine creature that can cause death with its gaze; Paralyzing gaze, venom; Vulnerable to cockerel crowing or its reflection; Deserts, ruins; Death, destruction; Serpentine, reptilian; 1-2 years; Deserts, ruins; Kills with gaze, poison; Modern depictions in fantasy literature, games, movies; Similar to the Greek Medusa but with a more direct way of killing.;;
82; Wendigo; Algonquian; A cannibalistic creature that embodies winter, coldness, and hunger; Shapeshifting, winter control; Vulnerable to fire, starvation; Forests, tundra; Winter, hunger; Gaunt, white, animalistic; Immortal; Forests, tundra; Causes madness, cannibalism; Modern depictions in horror literature, games, movies; Similar to the Greek Lamia but with a more supernatural origin.;;
83; Púca; Celtic; A shape-shifting creature that can be benevolent or malevolent; Shapeshifting, trickery; Vulnerable to spells; Forests, moors; Mischief, agriculture; Animalistic, shape-shifting; Several centuries; Forests, moors; Causes mischief, occasionally helps humans; Modern depictions in folklore, movies, TV shows; Similar to the Greek satyr but with a more ambiguous personality.;;
84; Jormungandr; Norse; A giant serpent that encircles the earth, causing earthquakes and storms; Strength, size; Vulnerable to Thor's hammer; Oceans, realm of Jotunheim; Chaos, destruction; Colossal, serpentine; Immortal; Oceans, realm of Jotunheim; Causes natural disasters, destined to kill Thor; Modern depictions in comics, movies, video games; Similar to the Greek Typhon but with a more cosmic role.;;
85; Chupacabra; Latin American; A blood-sucking creature often described as having spines down its back; Energy drain; Vulnerable to unknown; Wilderness; Energy drain, death; Canine-like, spiky back; Several years; Wilderness; Kills livestock, drains blood; Modern depictions in folklore, movies, TV shows; Similar to the European vampire but with a different appearance and habitat.;;
86; Naga; Hindu; A semi-divine creature with a human upper body and a serpentine lower; Persuasion, illusion; Vulnerable to divine weapons; Rivers, forests; Fertility, water; Serpentine, human-like; Immortal; Rivers, forests; Guardians of treasure, rulers; Modern depictions in temples, art, literature; Similar to the Greek Gorgons but with a more divine nature.;;
87; Huldra; Scandinavian; A seductive forest spirit with the back half of a tree; Seduction, illusion; Vulnerable to Christianity; Forests; Sexuality, hunting; Enchanting, half-tree; Immortal; Forests; Lures humans, causes mischief; Modern depictions in folklore, movies, TV shows; Similar to the Greek nymphs but with a more mystical appearance.;;
88; Banshee; Celtic; A female spirit who wails to signal an upcoming death; Wailing, foretelling death; Vulnerable to unknown; Near homes; Death, mourning; Ghostly, wailing; Immortal; Near homes; Predicts death, mourns the dying; Modern depictions in folklore, movies, TV shows; Similar to the Greek Moirai but with a more specific role.</s>;;
89;  Kappa; Japanese; A river spirit with a water-filled dish on its head; Water manipulation, strength; Vulnerable to loss of water; Rivers, lakes; Cultivation, water; Reptilian, humanoid; Several centuries; Swimming, wrestling; Rescues drowning victims, sumo wrestling; Modern depictions in animation, manga, video games; Similar to the Greek Poseidon but with a specific focus on fresh water.;;
90; Thunderbird; Native American; A massive bird that creates thunder with wing beats; Control over weather, especially thunder; Vulnerable to desecration; Sky, thunderous clouds; Storms, power; Avian, colossal; Thousands of years; Protecting humanity, creating storms; Modern depictions in indigenous art, literature, and pop culture; Similar to the Greek Zeus but with a focus on avian form and natural elements.;;;
91; Jormungandr; Norse; A giant serpent encircling the world, its tail in its mouth; Constriction, venom; Vulnerable to Ragnarok; Ocean; Chaos, destruction; Aquatic, serpentine; Immortal; Ocean, Midgard; Causes floods, seasickness; Modern depictions in comics, video games, movies; Similar to the Greek World Serpent but with a more catastrophic role in mythology.;;
92; Lamassu; Mesopotamian; A protective, winged hybrid of human, lion, eagle, and bull; Strength, wisdom; Vulnerable to human destruction; Palaces, temples; Royalty, military; Majestic, fierce; Thousands of years; Guarding thresholds, supporting heavens; Modern depictions in architecture, literature, and jewelry; Similar to the Greek Sphinx but with multiple animal forms and peaceful intentions.;;;
93; Basilisk; European; A reptilian creature born from a rooster's egg incubated by a serpent; Petrification via gaze; Vulnerable to cock's crow or mirrored reflections; Ruins, deserts; Death, decay; Reptilian, venomous; Several years; Causing death, fear; Modern depictions in fantasy books, games, and movies; Similar to the Greek Medusa but with a more direct method of petrification.;;;
94; Chupacabra; Latin American; A creature known for sucking the blood of livestock; Blood manipulation, stealth; Vulnerable to unknown; Wilderness, livestock farms; Blood, nocturnal; Animalistic, canine-like; Decades; Draining animals of blood, creature of the night; Modern depictions in cryptozoology, movies, TV shows; Similar to the European vampire but with a more bestial inclination.;;;
95; Maui; Polynesian; A demigod responsible for slowing the sun, fishing up islands, and snaring the sun; Shapeshifting, strength; Vulnerable to human limitations; Ocean, islands; Trickery, creation; Demigod, heroic; Immortal; Ocean, islands; Creating land, taming the sun; Modern depictions in animation, literature, and mythology; Similar to Greek Heracles but with more creative transformations and achievements.;;
96; Valkyrie; Norse; A maiden of Odin who selects half of the fallen warriors for Valhalla; Selecting warriors, healing; Vulnerable to Odin's will; Battlefields, Valhalla; War, death; Warriorlike, heavenly; Immortal; Battlefields, Valhalla; Choosing warriors, aiding heroes; Modern depictions in comics, novels, video games; Similar to the Greek Moirai but with a more exclusive focus on war and warrior selection.;;
97; Skinwalker; Native American; A shapeshifting creature, usually a malicious witch or wizard; Shapeshifting, dark magic; Vulnerable to traditional remedies; Wilderness, Native communities; Curse, betrayal; Shapeshifter, human-like; Centuries; Cursing families, vengeance; Modern depictions in folklore, movies, TV shows; Similar to the European werewolf but with a stronger focus on shape-shifting curses.;;;
98; La Llorona; Mexican; A ghostly woman who cries for her drowned children, causing misfortune; Causing misfortune, wailing; Vulnerable to religious symbols; Rivers, canals; Water, misfortune; Ghostly, mournful; Immortal; Near water, near children; Haunting, foreboding; Modern depictions in folklore, movies, TV shows; Similar to the Greek Furies but with a more specific connection to children and water.</s>;;
99;  Chupacabra; Puerto Rican; A beast known for sucking the blood of livestock; Draining blood, stealth; Vulnerable to extreme temperatures; Rural areas; Mystery, fear; Beastly, vampiric; Unknown; Killing livestock, lurking; Modern depictions in folklore, movies, TV shows; Similar to the European vampire but with a focus on livestock instead of humans.;;;
100; Jormungandr; Norse; A giant serpent encircling the world, Fenrir's brother; Constriction, strength; Vulnerable to Odin's spear; Oceans, underworld; Chaos, floods; Gigantic, serpentine; Immortal; Oceans, underworld; Growing, destabilizing; Modern depictions in comics, novels, video games; Similar to the Greek Typhon but more closely associated with aquatic cataclysms.;;
101; Baba Yaga; Slavic; A hideous, ambivalent witch living in a forest hut; Spell-casting, curses; Vulnerable to fire; Forests, rural areas; Ambiguity, fear; Witch, elderly; Unknown; Magic, duality; Modern depictions in folklore, movies, TV shows, novels; Similar to the European Crone-goddess archetype but with stronger ties to Eastern European lore.;;;
102; Tengu; Japanese; A shape-shifting bird-like being with magical abilities; Shapeshifting, flight; Vulnerable to spiritual purification; Forests, mountains; Guidance, martial arts; Avian, supernatural; Centuries; Teaching martial arts, mischief; Modern depictions in anime, manga, video games; Similar to the European fairy with avian elements and magical guidance.;;;
103; Nøkken; Scandinavian; A shape-shifting water spirit enticing victims into the depths; Shapeshifting, seduction; Vulnerable to Christian symbolism; Lakes, streams; Drowning, seduction; Shape-shifting, water-dwelling; Immortal; Near water, marshland; Temptation, trickery; Modern depictions in folklore, fantasy literature; Similar to the Greek Sirens but with a greater emphasis on shape-shifting.;;
104; Fenrir; Norse; A giant wolf fated to kill Odin during Ragnarok; Strength, invulnerability; Vulnerable to Gleipnir bonds; Forests, underworld; Chaos, destruction; Wolf, monstrous; Immortal; Forests, underworld; Escaping, killing; Modern depictions in comics, novels, video games; Similar to the Greek Cerberus but unbound by the underworld, terrorizing gods and humans alike.;;
105; Ammit; Egyptian; A monstrous creature composed of various animals, devouring souls; Devouring, strength; Vulnerable to Anubis' protection; Deserts, afterlife; Judgment, torment; Amphibious, horrifying; Immortal; Afterlife, judgment sites; Tormenting souls, judgment; Modern depictions in graphic novels, comics, video games; Similar to the Greek demon Charon but with a focus on consuming souls instead of transporting them.;;
106; Kitsune; Japanese; A shape-shifting fox spirit capable of benevolent or mischievous acts; Shapeshifting, mischief; Vulnerable to spiritual protection; Forests, villages; Guidance, tricks; Fox, supernatural; Centuries; Mischief, loyalty; Modern depictions in anime, manga, video games; Similar to the European trickster archetype but with a strong focus on loyalty and wisdom.;;;
107; Gorgon; Greek; Three powerful winged sisters, most notably Medusa, capable of petrifying onlookers; Petrifying gaze, snakes for hair; Vulnerable to a reflective surface; Caves, islands; Fear, terror; Snakes, monstrous; Immortal; Mediterranean, caves, islands; Guarding, terrorizing; Modern depictions in comics, novels, video games; Similar to the Aztec Cihuateotl archetype but with a stronger focus on petrification.;;
108; Jötunn; Norse; Giants capable of wreaking havoc upon the realms of the gods and humans; Elemental control, incredible strength; Vulnerable to divine weapons; Mountains, realms of gods, underworld; Chaos, destruction; Gigantic, monstrous; Immortal; Mountains, realms of gods, underworld; Fighting with gods, destroying realms; Modern depictions in comics, novels, video games; Similar to the Greek Titans but with a more direct role in the mythological universe.</s>;;
