;"""Building Description"" ";" ""Style""";" ""Period""";" ""Location""";" ""Material""";" ""Size""";" ""Sustainability Rating""";" ""Build Year""";" ""Designer""";" ""Historical Significance""";" ""Description""";" ""Spatial Configuration""";" ""Surrounding Environment""";" ""Special Features"""
104;"""The Dome of the Rock"; Islamic Architecture; Early Islamic; Jerusalem, Israel; Marble, Mosaic, Ceramic; 5,000 sqm; Not applicable; 691-692 CE; Umayyad Caliphate; Octagonal, gilded dome;" Golden dome, ornate interior.""";;;
105;"""Burj Khalifa"; Neo-Futurism Architecture; 21st Century; Dubai, UAE; Reinforced concrete, Glass; 309,473 sqm; Four-star rating; 2004-2010; Skidmore, Owings & Merrill; Skyscraper; Towering configuration;" City views, luxury residences.""";;
106;"""Hagia Sophia"; Byzantine Architecture; Early Byzantine; Istanbul, Turkey; Brick, Stone, Marble; 7,750 sqm; Not applicable; 532-537 CE; Isidore of Miletus, Anthemius of Tralles; Cathedral-turned-mosque;" Dome, mosaics.""";;;
107;"""The White House"; Neoclassical Architecture; Early 19th Century; Washington D.C., USA; Sandstone, Brick, Wood; 55,000 sqm; Not applicable; 1792-1800; James Hoban; Presidential residence; Symmetrical, porticoed configuration;" Historic views.""";;
108;"""Petronas Twin Towers"; Postmodern Architecture; Late 20th Century; Kuala Lumpur, Malaysia; Reinforced concrete, Steel, Glass; 395,414 sqm; Four-star rating; 1992-1998; Cesar Pelli; Skyscrapers;" Twin towers, sky bridge connection.""";;;
109;"""St. Peter's Basilica"; Renaissance Architecture; High Renaissance; Vatican City, Vatican; Stone, Marble, Brick; 18,000 sqm; Not applicable; 1506-1626; Donato Bramante, Michelangelo, Carlo Maderno, Gian Lorenzo Bernini; Basilica;" Iconic, centralized plan, papal seat.""";;;
110;"""Cologne Cathedral"; Gothic Architecture; High Middle Ages; Cologne, Germany; Limestone, Sandstone; 7,429 sqm; Not applicable; 1248-1880; Gerhard Morithin, Meister Gerhard, Master Arnold.; Cathedral;" Towering spires, stained glass windows.""";;;
111;"""Wind Tower House"; Traditional Emirati Architecture; Modern Emirati; Abu Dhabi, UAE; Gypsum, Coral, Stone; 550 sqm; Not applicable; 2001-2007; AGi architects; Single-family home;" Wind towers, interior courtyard.""";;;
112;"""Shah Mosque"; Persian Architecture; Early Safavid; Isfahan, Iran; Brick, Tile; 55,700 sqm; Not applicable; 1611-1631; Shah Abbas I; Congregational mosque;" Glazed tilework, two-minaret configuration.""";;;
113;"""Cape Coast Castle"; Colonial Architecture; Colonial, Atlantic slave trade; Cape Coast, Ghana; Stone, Wood; 2,020 sqm; Not applicable; 1653-1700; Swedish erection, later British use; Slave castle;" Fortressed, multi-functional configuration.""";;;
114;"""Tsinghua University"; Modernist Architecture; Contemporary Chinese campus; Beijing, China; Brick, Concrete, Steel; 2,048,000 sqm; Not applicable; 1911-ongoing; Various, modernist architects; University campus;" Iconic, expansive configuration.""";;;
115;"""The Capital Building"; Classical Architecture; Late Neoclassical; Washington D.C., USA; Sandstone, Marble; 38,000 sqm; Not applicable; 1793-1823; William Thornton, Thomas U. Walter, Frederick Law Olmsted; Congressional building;" Dome-topped, columned configuration.""";;;
116;"""The Royal Opera House"; Neoclassical Architecture; 18th Century; London, UK; Brick, Stone; 8,446 sqm; Not applicable; 1728, 1808-1858, 1892, 1999; John Nash; Performing arts venue;" Bow-shaped, porticoed configuration.""";;;
117;"""The Forbidden City"; Imperial Chinese Architecture; Ming Dynasty; Beijing, China; Wood, Marble, Glazed tile; 72 hectares; Not applicable; 1406-1420; Zhu Di, Hongwu Emperor; Imperial palace;" Red walls, yellow roofs.""";;;
118;"""The National Library Building"; Contemporary Singaporean Architecture; 21st Century; Singapore; Steel, Glass; 67,050 sqm; Three green stars; 2003-2005; Griffin Yeang & T.R. Hamzah & Yeang; National library;" Inverted stepped pyramid, natural ventilation.""";;;
119;"""Churchill College"; Brutalist Architecture; Late 20th Century; Cambridge, UK; Concrete, Brick; 14,960 sqm; Not applicable; 1958-1961; Sheppard Robson; College building;" Exposed-concrete, academic configuration.""";;;
120;"""Le Corbusier's Notre Dame du Haut"; Modernist Architecture; Late 20th Century; Ronchamp, France; Concrete, Brick, Reclaimed stone; 500 sqm; Not applicable; 1950-1955; Le Corbusier; Church;" Curvilinear, sculptural form.""</s>";;;
