;Scientific Discipline;Concept Name;Description;Hypothesis;Variables;Control;Test;Data;Analysis;Conclusion**
86; Psychology;Cognitive Bias;Systematic errors in human judgment and decision-making that result from mental shortcuts or heuristics;If cognitive biases are prevalent, then they should be observable in various decision-making scenarios;Decision-making, Cognitive processes;Experimental manipulations, Observational studies;Test through observing decision-making outcomes;Cognitive biases frequently influence human judgment and decision-making. ;;</s>
87;  Biology;Genetic Drift;The random change in the frequency of a gene variant in a population over time;If genetic drift is significant, then small populations should have greater fluctuations in allele frequencies than larger populations;Allele frequencies, Population size;Computational simulations, Field studies;Test through comparing allele frequency changes in populations of different sizes;Genetic drift can lead to significant changes in allele frequencies in small populations. ;;
88; Physics;Quantum Entanglement;A phenomenon where two particles become interconnected and the state of one instantly affects the other, regardless of distance;If quantum entanglement is real, then entangled particles should violate classical physics principles;Particle states, Distance;Controlled experiments, Theoretical models;Test through observing changes in entangled particles' states;Quantum entanglement has been proven to violate classical physics principles. ;;
89; Anthropology;Cultural Relativism;The idea that an individual's beliefs and values are heavily influenced by their culture, making judgments of other cultures difficult;If cultural relativism is valid, then ethical standards should vary across cultures;Ethical standards, Cultural practices;Cross-cultural comparisons, Ethnographic studies;Test through comparing ethical standards across different cultures;Cultural relativism suggests that ethical standards can vary significantly between cultures. ;;
90; Chemistry;Rate Law;An equation that describes the relationship between the rate of a reaction and the concentration of its reactants;If rate law is accurate, then changing reactant concentration should affect reaction rate proportionally;Reaction rate, Reactant concentration;Experimental measurements, Data analysis;Test through manipulating reactant concentrations;Rate law accurately describes the relationship between reaction rate and reactant concentration. ;;
91; Astronomy;Dark Matter;An unknown and invisible substance that makes up approximately 27% of the universe's mass-energy density;If dark matter exists, then it should not interact with light or electromagnetic radiation;Mass distribution, Gravitational effects;Observational data, Computational simulations;Test through studying gravitational effects on galaxy rotation;The existence of dark matter is supported by its gravitational effects on galaxy rotation. ;;
92; Neuroscience;Mirror Neurons;Brain cells that fire both when an individual performs an action and observes another doing the same action;If mirror neurons are crucial for imitation, then individuals with damaged mirror neurons should struggle to imitate actions;Imitation ability, Neurological damage;Clinical observations, Neuroimaging studies;Test through observing individuals with neurological damage;Mirror neurons play a key role in imitation abilities. ;;
93; Mathematics;Graph Theory;The study of graphs, which are mathematical structures used to model relationships between objects;If graph theory is applicable, then it should be useful in modeling complex networks;Network structure, Relationships;Mathematical models, Data analysis;Test through applying graph theory to real-world networks;Graph theory is a powerful tool for modeling complex networks. ;;
94; Engineering;Finite Element Analysis;A computational method used to analyze the behavior of structures under prescribed loads and boundary conditions;If finite element analysis is accurate, then it should predict stress and strain patterns accurately;Stress and strain, Loads and boundary conditions;Numerical simulations, Experimental verification;Test through comparing numerical simulations to physical tests;Finite element analysis accurately predicts stress and strain patterns under various loads and boundary conditions. ;;</s>
95;  Biology;Genetic Drift;The change in allele frequencies in a population due to random sampling;If genetic drift is significant, then small populations should have greater genetic diversity than larger ones;Allele frequencies, Population size;Population data, Statistical analysis;Test through comparing allele frequencies in populations of different sizes;Genetic drift can lead to significant changes in allele frequencies in small populations.;;
96; Physics;Quantum Entanglement;A phenomenon where two particles become linked and the state of one instantaneously affects the other, regardless of distance;If quantum entanglement is real, then performing a measurement on one particle should instantly affect the other;Entangled particle states, Distance;Experimental setups, Data analysis;Test through performing measurements on entangled particles;Quantum entanglement is a real phenomenon that exhibits instantaneous correlations between entangled particles.;;
97; Chemistry;Electron Configuration;The distribution of electrons in an atom or molecule;If electron configuration is important, then the properties of elements should be related to their electron configurations;Chemical properties, Electron configurations;Experimental data, Theoretical predictions;Test through comparing theoretical predictions to experimental data;Electron configuration plays a crucial role in determining the chemical properties of elements.;;
98; Ecology;Carrying Capacity;The maximum population size of a species that an ecosystem can sustain;If carrying capacity is exceeded, then negative consequences such as reduced resources or increased competition should occur;Population size, Resources and competition;Field observations, Mathematical models;Test through monitoring population size and resources;Carrying capacity is an important concept for understanding the sustainable limits of populations in ecosystems.;;
99; Computer Science;Machine Learning Algorithms;A set of algorithms used to train machines to learn and make predictions based on data;If machine learning algorithms are effective, then they should improve with more data and experience;Model performance, Data size and diversity;Experimental evaluations, Theoretical analysis;Test through comparing model performance on different data sets;Machine learning algorithms improve with more data and experience and can make accurate predictions based on complex patterns.;;
100; Astronomy;Dark Matter;A form of matter that cannot be directly observed but is inferred from its gravitational effects on visible matter;If dark matter exists, then it should affect the motion of galaxies and galaxy clusters;Galaxy motions, Gravitational effects;Observational data, Simulation models;Test through comparing observational data to simulation models;Dark matter is a crucial component of the universe that significantly affects the motion of galaxies and galaxy clusters.;;
101; Sociology;Social Capital;The resources and benefits that individuals and groups gain from their social networks;If social capital is important, then social connections should lead to positive outcomes such as increased trust and cooperation;Social networks, Trust and cooperation;Survey data, Statistical analysis;Test through comparing social networks to positive outcomes;Social capital is an important concept for understanding the benefits of social connections and networks.;;
102; Geology;Plate Tectonics;The theory that the Earth's lithosphere is broken into large plates that move and interact, causing earthquakes, volcanoes, and mountain building;If plate tectonics is correct, then the movements of plates should be consistent with seismic activity and geological formations;Seismic activity, Geological formations;Geological data, Theoretical models;Test through comparing geological data to theoretical models;Plate tectonics is a well-established theory that explains a wide range of geological phenomena.;;
103; Linguistics;Language Acquisition;The process by which children and adults learn languages;If language acquisition is influenced by innate factors, then there should be universal patterns of language learning across cultures;Language patterns, Learning outcomes;Cross-cultural comparisons, Theoretical models;Test through comparing language learning outcomes across cultures;Language acquisition is influenced by both innate factors and environmental experiences, leading to both universal and culturally specific patterns of language learning.;;
104; Anthropology;Cultural Evolution;The study of how cultures change and adapt over time;If cultural evolution is a valid concept, then there should be patterns of culture change that are consistent with evolutionary principles;Cultural traits, Cultural transmission;Comparative analyses, Theoretical models;Test through comparing patterns of culture change to evolutionary models;Cultural evolution is a useful framework for understanding the dynamics of culture change and adaptation over time.</s>;;
