;Country; Government Type; Head of State; GDP per Capita; Population Size; Cultural Influence; Military Strength; Trade Agreements; Neighbor Nations; Regional Organization Membership; Foreign Aid Disburser; Natural Heritage Sites; Some Other Field**
96;Italy; Unitary parliamentary republic; President Sergio Mattarella, Prime Minister Giorgia Meloni; $30,976.00; 60,517,576; Very high; Medium; France, Switzerland, Austria, Slovenia, San Marino, Vatican City, Malta, Tunisia; G7, G20, NATO, EU, OECD, WTO; Yes; 55 UNESCO World Heritage Sites; Some other field data.;
97;Japan; Unitary parliamentary constitutional monarchy; Emperor Naruhito, Prime Minister Fumio Kishida; $39,288.20; 126,156,792; Very high; High; China, South Korea, Russia; G7, G20, NATO (Partnership for Peace), APEC, OECD, WTO, AIIB; Yes; 26 UNESCO World Heritage Sites; Some other field data.;
98;Mexico; Federal presidential representative democratic republic; President Andrés Manuel López Obrador; $9,954.50; 128,653,212; Medium; Medium; United States, Guatemala, Belize, Cuba; G20, APEC, NAFTA, OAS, WTO; Yes; 35 UNESCO World Heritage Sites; Some other field data.;
99;Russia; Federal semi-presidential semi-parliamentary constitutional republic; President Vladimir Putin; $11,312.00; 145,986,011; High; High; Norway, Finland, Estonia, Latvia, Lithuania, Poland, Belarus, Ukraine, Georgia, Azerbaijan, Kazakhstan, China, Mongolia, North Korea; G20, BRICS, SCO, CIS, CSTO, EAEU, WTO, APEC, Baltic Sea Cooperation; Yes; 29 UNESCO World Heritage Sites; Some other field data.;</s>
100; India; Federal parliamentary democratic republic; President Ram Nath Kovind, Prime Minister Narendra Modi; $1,947.20; 1,326,571,032; Very high; Medium; Pakistan, China, Nepal, Bhutan, Bangladesh; G20, BRICS, SCO, SAARC, BIMSTEC, WTO, RCEP; Yes; 38 UNESCO World Heritage Sites; Some other field data.;
101;Germany; Federal parliamentary republic; President Frank-Walter Steinmeier, Chancellor Olaf Scholz; $50,800.00; 82,903,599; Very high; High; Denmark, Netherlands, Belgium, France, Switzerland, Austria, Czech Republic, Poland; G7, G20, NATO, EU, OECD, WTO; Yes; 46 UNESCO World Heritage Sites; Some other field data.;
102;United Kingdom; Unitary parliamentary constitutional monarchy; King Charles III, Prime Minister Rishi Sunak; $42,593.00; 66,687,938; Very high; High; Ireland, France; G7, G20, NATO, OECD, WTO, Commonwealth of Nations, Five Eyes; Yes; 33 UNESCO World Heritage Sites; Some other field data.;
103;Brazil; Federal presidential republic; President Luiz Inácio Lula da Silva; $8,436.10; 213,550,312; High; High; Argentina, Peru, Colombia, Venezuela, Guyana, Suriname, French Guiana, Uruguay; G20, BRICS, Mercosul, UNASUR, OAS, WTO; Yes; 23 UNESCO World Heritage Sites; Some other field data.;
104;Pakistan; Federal parliamentary Islamic republic; President Arif Alvi, Prime Minister Shehbaz Sharif; $1,561.00; 220,892,340; Medium; Medium; India, Afghanistan, China, Iran; G20 (Guest), SAARC, D-8, ECO, OIC, OPEC, WTO; Yes; 6 UNESCO World Heritage Sites; Some other field data.;
105;Italy; Unitary parliamentary republic; President Sergio Mattarella, Prime Minister Giorgia Meloni; $32,234.00; 60,177,733; Very high; High; Switzerland, Austria, Slovenia, France, Vatican City; G7, G20, NATO, EU, OECD, WTO; Yes; 58 UNESCO World Heritage Sites; Some other field data.;
106;Canada; Federal parliamentary constitutional monarchy; Governor General Mary Simon, Prime Minister Justin Trudeau; $46,199.90; 37,876,322; Very high; High; United States; G7, G20, NATO, OECD, WTO, Five Eyes; Yes; 20 UNESCO World Heritage Sites; Some other field data.;
107;France; Unitary semi-presidential semi-parliamentary republic; President Emmanuel Macron; $40,230.00; 66,990,212; Very high; High; Belgium, Luxembourg, Germany, Switzerland, Italy, Spain, Andorra; G7, G20, NATO, EU, OECD, WTO; Yes; 49 UNESCO World Heritage Sites; Some other field data.;
108;South Korea; Unitary presidential constitutional republic; President Yoon Suk-yeol; $34,232.60; 51,707,649; Very high; High; North Korea, Japan; G20, APEC, MIKTA, OECD, WTO; Yes; 15 UNESCO World Heritage Sites; Some other field data.;
109;Spain; Unitary parliamentary constitutional monarchy; King Felipe VI, Prime Minister Pedro Sánchez; $29,609.90; 47,190,493; Very high; Medium; Portugal, France, Andorra, Gibraltar, Morocco; G20 (Guest), NATO, EU, OECD, WTO; Yes; 49 UNESCO World Heritage Sites; Some other field data.;</s>
