;Genetic Disorder; Prevalence Rate; Chromosome Number; Chromosome Location; Symptoms; Expression Pattern; Recessive Alleles Needed; Dominant Allele Frequency; Inheritance Pattern; Gene Symbol; Gene Description; Mutation Type; Mutation Location; Population Frequency; Additional Information
62; Huntington's disease; 1 in 10,000; Chromosome 4; 4p16.3; Huntington's disease is a genetic disorder that affects the brain, causing movement disorders, cognitive decline, and psychiatric symptoms; Autosomal dominant; 1 dominant allele; HTT gene mutation; Higher incidence in populations with a high frequency of the HTT gene mutation; Inheritance pattern: dominant; Gene symbol: HTT; Gene description: encodes huntingtin, a protein involved in neuronal function and development; Mutation type: CAG repeat expansion; Mutation location: exon; Population frequency: occurs in all populations  Additional information: can cause chorea, rigidity, dementia, and depression, and can be diagnosed by genetic testing.
63;Cystic fibrosis; 1 in 2,500; Chromosome 7; 7q31.2; Cystic fibrosis is a genetic disorder that affects the respiratory and digestive systems, causing lung infections, malabsorption, and growth retardation; Autosomal recessive; 2 recessive alleles; CFTR gene mutation; Higher incidence in populations with a high frequency of the CFTR gene mutation; Inheritance pattern: recessive; Gene symbol: CFTR; Gene description: encodes cystic fibrosis transmembrane conductance regulator, a protein involved in ion transport and fluid balance; Mutation type: point mutation, deletion, or insertion; Mutation location: exon; Population frequency: occurs mainly in Europeans  Additional information: can cause chronic lung disease, malnutrition, and infertility, and can be diagnosed by genetic testing and sweat test.
64;Marfan syndrome; 1 in 5,000; Chromosome 15; 15q21.3; Marfan syndrome is a genetic disorder that affects the connective tissue, causing skeletal, ocular, and cardiovascular abnormalities; Autosomal dominant; 1 dominant allele; FBN1 gene mutation; Inheritance pattern: dominant; Gene symbol: FBN1; Gene description: encodes fibrillin-1, a protein involved in elastin fiber formation and regulation; Mutation type: point mutation, deletion, or insertion; Mutation location: exon; Population frequency: occurs in all populations; Additional information: can cause tall stature, long fingers, lens dislocation, aortic aneurysm, and Mitral valve prolapse, and can be diagnosed by genetic testing and physical examination.
65;Duchenne muscular dystrophy; 1 in 3,500; Chromosome X; Xp21.2; Duchenne muscular dystrophy is a genetic disorder that affects the muscles, causing progressive weakness, wasting, and premature death; X-linked recessive; 1 recessive allele; DMD gene mutation; Inheritance pattern: X-linked recessive; Gene symbol: DMD; Gene description: encodes dystrophin, a protein involved in muscle fiber structure and function; Mutation type: point mutation, deletion, or duplication; Mutation location: exon; Population frequency: occurs mainly in males; Additional information: can cause wheelchair dependence, heart and respiratory failure, and loss of ambulation, and can be diagnosed by genetic testing and muscle biopsy.
66;Fragile X syndrome; 1 in 4,000; Chromosome X; Xq27.3; Fragile X syndrome is a genetic disorder that affects the brain, causing intellectual disability, autism spectrum disorder, and behavioral problems; X-linked dominant; 1 dominant allele; FMR1 gene mutation; Inheritance pattern: X-linked dominant; Gene symbol: FMR1; Gene description: encodes fragile X mental retardation protein, a protein involved in neuronal function and development; Mutation type: CGG repeat expansion; Mutation location: promoter; Population frequency: occurs mainly in males; Additional information: can cause learning disabilities, social anxiety, and physical features such as long face and flexible fingers, and can be diagnosed by genetic testing and clinical evaluation.
67;Myotonic dystrophy type 1; 1 in 8,000; Chromosome 19; 19q13.32; Myotonic dystrophy type 1 is a genetic disorder that affects the muscles and other organs, causing muscle weakness, myotonia, and cataracts; Autosomal dominant; 1 dominant allele; DMPK gene mutation; Inheritance pattern: dominant; Gene symbol: DMPK; Gene description: encodes myotonic dystrophy protein kinase, a protein involved in RNA processing and regulation; Mutation type: CTG repeat expansion; Mutation location: 3' UTR; Population frequency: occurs in all populations; Additional information: can cause cardiac conduction defects, respiratory insufficiency, and endocrine dysfunction, and can be diagnosed by genetic testing and clinical evaluation.
68;Tuberous sclerosis complex; 1 in 6,000; Chromosome 9; 9q34.3; Tuberous sclerosis complex is a genetic disorder that affects the brain, skin, and other organs, causing benign tumors, seizures, and developmental delay; Autosomal dominant; 1 dominant allele; TSC1 or TSC2 gene mutation; Inheritance pattern: dominant; Gene symbol: TSC1 or TSC2; Gene description: encodes hamartin or tuberin, proteins involved in cell growth and differentiation; Mutation type: point mutation, deletion, or insertion; Mutation location: exon; Population frequency: occurs in all populations; Additional information: can cause intellectual disability, autism spectrum disorder, and skin abnormalities such as facial angiofibromas and shagreen patches, and can be diagnosed by genetic testing and clinical evaluation.
69;von Hippel-Lindau disease; 1 in 36,000; Chromosome 3; 3p25.3; Von Hippel-Lindau disease is a genetic disorder that affects the nervous system, causing tumors in the brain, spinal cord, and retina; Autosomal dominant; 1 dominant allele; VHL gene mutation; Inheritance pattern: dominant; Gene symbol: VHL; Gene description: encodes von Hippel-Lindau tumor suppressor protein, a protein involved in hypoxia response and angiogenesis; Mutation type: point mutation, deletion, or insertion; Mutation location: exon; Population frequency: occurs in all populations; Additional information: can cause hemangioblastomas, pheochromocytomas, and renal cell carcinomas, and can be diagnosed by genetic testing and imaging studies.
70;Waardenburg syndrome type 1; 1 in 40,000; Chromosome 2; 2q35; Waardenburg syndrome type 1 is a genetic disorder that affects the eyes, ears, and hair, causing hearing loss, pigmentation changes, and white forelock; Autosomal dominant; 1 dominant allele; PAX3 gene mutation; Inheritance pattern: dominant; Gene symbol: PAX3; Gene description: encodes paired box gene 3, a transcription factor involved in neural crest development and differentiation; Mutation type: point mutation, deletion, or insertion; Mutation location: exon; Population frequency: occurs in all populations; Additional information: can cause lateral displacement of the inner canthi (dystopia canthorum), broad nasal root, and hypoplastic alae nasi, and can be diagnosed by genetic testing and clinical evaluation.
71;Dent's disease; 1 in 100,000; Chromosome X; Xp11.22; Dent's disease is a genetic disorder that affects the kidneys, causing low molecular weight proteinuria, hypercalciuria, and nephrolithiasis; X-linked recessive; 1 recessive allele; CLCN5 or OCRL1 gene mutation; Inheritance pattern: X-linked recessive; Gene symbol: CLCN5 or OCRL1; Gene description: encodes chloride channel 5 or phosphatidylinositol-4,5-bisphosphate 5-phosphatase, proteins involved in renal tubular reabsorption and endocytosis; Mutation type: point mutation, deletion, or insertion; Mutation location: exon; Population frequency: occurs mainly in males; Additional information: can cause kidney failure, rickets, and osteomalacia, and can be diagnosed by genetic testing and clinical evaluation.</s>
72; Neurofibromatosis type 1; 1 in 3,000; Chromosome 17; 17q11.2; Neurofibromatosis type 1 is a genetic disorder that affects the nervous system, causing benign tumors on nerve tissue and skin; Autosomal dominant; 1 dominant allele; NF1 gene mutation; Inheritance pattern: dominant; Gene symbol: NF1; Gene description: encodes neurofibromin, a protein involved in tumor suppression and cell growth regulation; Mutation type: point mutation, deletion, or insertion; Mutation location: exon; Population frequency: occurs in all populations; Additional information: can cause Lisch nodules, freckling, and learning disabilities, and can be diagnosed by clinical evaluation and genetic testing.
73;Marfan syndrome; 1 in 5,000; Chromosome 15; 15q21.1; Marfan syndrome is a genetic disorder that affects the connective tissue, causing long limbs, flexible joints, and cardiovascular problems; Autosomal dominant; 1 dominant allele; FBN1 gene mutation; Inheritance pattern: dominant; Gene symbol: FBN1; Gene description: encodes fibrillin-1, a protein involved in elastic fiber formation and structure; Mutation type: point mutation, deletion, or insertion; Mutation location: exon; Population frequency: occurs in all populations; Additional information: can cause aortic aneurysms, dislocation of the lens, and pneumothorax, and can be diagnosed by clinical evaluation and genetic testing.
74;Huntington's disease; 1 in 10,000; Chromosome 4; 4p16.3; Huntington's disease is a genetic disorder that affects the brain, causing uncontrolled movements, emotional problems, and cognitive decline; Autosomal dominant; 1 dominant allele; HTT gene mutation; Inheritance pattern: dominant; Gene symbol: HTT; Gene description: encodes huntingtin, a protein involved in neuronal function and development; Mutation type: expansion of CAG repeat; Mutation location: exon; Population frequency: occurs in all populations; Additional information: can cause juvenile and adult-onset forms, and can be diagnosed by genetic testing.
75;Tuberous sclerosis complex; 1 in 6,000; Chromosome 9; 9q34.13 or Chromosome 16; 16p13.3; Tuberous sclerosis complex is a genetic disorder that affects multiple organs, causing benign tumors on the skin, brain, kidneys, and heart; Autosomal dominant; 1 dominant allele; TSC1 or TSC2 gene mutation; Inheritance pattern: dominant; Gene symbol: TSC1 or TSC2; Gene description: encodes hamartin or tuberin, proteins involved in cell growth regulation and signal transduction; Mutation type: point mutation, deletion, or insertion; Mutation location: exon; Population frequency: occurs in all populations  Additional information: can cause epilepsy, intellectual disability, and autism, and can be diagnosed by clinical evaluation and genetic testing.
76;Duchenne muscular dystrophy; 1 in 3,500; Chromosome X; Xp21.2; Duchenne muscular dystrophy is a genetic disorder that affects the muscles, causing progressive weakness, wasting, and loss of mobility; X-linked recessive; 1 recessive allele; DMD gene mutation; Inheritance pattern: X-linked recessive; Gene symbol: DMD; Gene description: encodes dystrophin, a protein involved in muscle structure and function; Mutation type: point mutation, deletion, or insertion; Mutation location: exon; Population frequency: occurs mainly in males; Additional information: can cause cardiomyopathy and respiratory insufficiency, and can be diagnosed by clinical evaluation, creatine kinase levels, and genetic testing.
77;Cystic fibrosis; 1 in 2,500; Chromosome 7; 7q31.2; Cystic fibrosis is a genetic disorder that affects the lungs and digestive system, causing chronic infections, lung damage, and malnutrition; Autosomal recessive; 2 recessive alleles; CFTR gene mutation; Inheritance pattern: autosomal recessive; Gene symbol: CFTR; Gene description: encodes cystic fibrosis transmembrane conductance regulator, a protein involved in ion transport and fluid balance; Mutation type: point mutation, deletion, or insertion; Mutation location: exon; Population frequency: occurs mainly in people of European descent; Additional information: can cause thick mucus, pancreatic insufficiency, and liver disease, and can be diagnosed by newborn screening, sweat chloride test, and genetic testing.
78;Fragile X syndrome; 1 in 4,000; Chromosome X; Xq27.3; Fragile X syndrome is a genetic disorder that affects the brain, causing intellectual disability, behavioral problems, and physical features; X-linked dominant; 1 dominant allele; FMR1 gene mutation; Inheritance pattern: X-linked dominant; Gene symbol: FMR1; Gene description: encodes fragile X mental retardation protein, a protein involved in synapse formation and function; Mutation type: expansion of CGG repeat; Mutation location: promoter; Population frequency: occurs mainly in males; Additional information: can cause autism, hyperactivity, and anxiety, and can be diagnosed by genetic testing.
79;Myotonic dystrophy type 1; 1 in 8,000; Chromosome 19; 19q13.32; Myotonic dystrophy type 1 is a genetic disorder that affects the muscles and other organs, causing muscle weakness, wasting, and myotonia; Autosomal dominant; 1 dominant allele; DMPK gene mutation; Inheritance pattern: dominant; Gene symbol: DMPK; Gene description: encodes myotonic dystrophy protein kinase, a protein involved in RNA regulation and muscle function; Mutation type: expansion of CTG repeat; Mutation location: 3' untranslated region; Population frequency: occurs in all populations; Additional information: can cause cataracts, cardiac arrhythmias, and respiratory insufficiency, and can be diagnosed by clinical evaluation and genetic testing.
80;Retinoblastoma; 1 in 18,000; Chromosome 13; 13q14.2; Retinoblastoma is a genetic disorder that affects the eyes, causing cancer of the retina and vision loss; Autosomal dominant; 1 dominant allele; RB1 gene mutation; Inheritance pattern: dominant; Gene symbol: RB1; Gene description: encodes retinoblastoma protein, a protein involved in cell cycle regulation and tumor suppression; Mutation type: point mutation, deletion, or insertion; Mutation location: exon; Population frequency: occurs in all populations; Additional information: can cause unilateral or bilateral retinal tumors, and can be diagnosed by genetic testing and eye examination.
81;Sickle cell anemia; 1 in 400; Chromosome 11; 11p15.4; Sickle cell anemia is a genetic disorder that affects the red blood cells, causing hemolysis, anemia, and pain crises; Autosomal recessive; 2 recessive alleles; HBB gene mutation; Inheritance pattern: autosomal recessive; Gene symbol: HBB; Gene description: encodes beta-globin, a protein involved in hemoglobin formation and oxygen transport; Mutation type: point mutation; Mutation location: exon; Population frequency: occurs mainly in people of African descent; Additional information: can cause jaundice, gallstones, and stroke, and can be diagnosed by newborn screening, hemoglobin electrophoresis, and genetic testing.</s>
82; Huntington's disease; 1 in 10,000; Chromosome 4; 4p16.3; Huntington's disease is a genetic disorder that affects the brain, causing movement disorders, cognitive decline, and psychiatric symptoms; Autosomal dominant; 1 dominant allele; HTT gene mutation; Inheritance pattern: autosomal dominant; Gene symbol: HTT; Gene description: encodes huntingtin, a protein involved in neuronal function and development; Mutation type: CAG repeat expansion; Mutation location: 5' untranslated region; Population frequency: occurs in all populations; Additional information: can cause chorea, dementia, and depression, and can be diagnosed by genetic testing.
83;Cystic fibrosis; 1 in 2,500; Chromosome 7; 7q31.2; Cystic fibrosis is a genetic disorder that affects the respiratory and digestive systems, causing lung infections, malnutrition, and pancreatic insufficiency; Autosomal recessive; 2 recessive alleles; CFTR gene mutation; Inheritance pattern: autosomal recessive; Gene symbol: CFTR; Gene description: encodes cystic fibrosis transmembrane conductance regulator, a protein involved in ion transport and water balance; Mutation type: point mutation; Mutation location: exon; Population frequency: occurs mainly in people of European descent; Additional information: can cause bronchiectasis, meconium ileus, and malabsorption, and can be diagnosed by newborn screening, sweat test, and genetic testing.
84;Marfan syndrome; 1 in 5,000; Chromosome 15; 15q21.1; Marfan syndrome is a genetic disorder that affects the connective tissue, causing skeletal, ocular, and cardiovascular abnormalities; Autosomal dominant; 1 dominant allele; FBN1 gene mutation; Inheritance pattern: autosomal dominant; Gene symbol: FBN1; Gene description: encodes fibrillin-1, a protein involved in elastin fiber formation and tissue strength; Mutation type: point mutation, deletion, or insertion; Mutation location: exon; Population frequency: occurs in all populations; Additional information: can cause tall stature, long fingers, aortic aneurysm, and lens dislocation, and can be diagnosed by clinical evaluation and genetic testing.
85;Neurofibromatosis type 1; 1 in 3,000; Chromosome 17; 17q11.2; Neurofibromatosis type 1 is a genetic disorder that affects the nervous system, causing skin, nerve, and muscle tumors; Autosomal dominant; 1 dominant allele; NF1 gene mutation; Inheritance pattern: autosomal dominant; Gene symbol: NF1; Gene description: encodes neurofibromin, a protein involved in RAS signaling and tumor suppression; Mutation type: point mutation, deletion, or insertion; Mutation location: exon; Population frequency: occurs in all populations; Additional information: can cause café-au-lait spots, freckles, nerve sheath tumors, and learning disabilities, and can be diagnosed by clinical evaluation and genetic testing.
86;Duchenne muscular dystrophy; 1 in 3,500; Chromosome X; Xp21.2; Duchenne muscular dystrophy is a genetic disorder that affects the muscles, causing degeneration, weakness, and wasting; X-linked recessive; 1 X-linked recessive allele; DMD gene mutation; Inheritance pattern: X-linked recessive; Gene symbol: DMD; Gene description: encodes dystrophin, a protein involved in muscle membrane stability and signaling; Mutation type: point mutation, deletion, or insertion; Mutation location: exon; Population frequency: occurs mainly in males; Additional information: can cause enlarged calf muscles, waddling gait, and respiratory insufficiency, and can be diagnosed by creatine kinase test, muscle biopsy, and genetic testing.
87;Tuberous sclerosis complex; 1 in 6,000; Chromosome 9; 9q34.3; Tuberous sclerosis complex is a genetic disorder that affects the brain, skin, heart, and kidneys, causing tumors, seizures, and developmental delays; Autosomal dominant; 1 dominant allele; TSC1 or TSC2 gene mutation; Inheritance pattern: autosomal dominant; Gene symbol: TSC1 or TSC2; Gene description: encodes hamartin or tuberin, proteins involved in mTOR signaling and cell growth regulation; Mutation type: point mutation, deletion, or insertion; Mutation location: exon; Population frequency: occurs in all populations; Additional information: can cause facial angiofibromas, shagreen patches, subependymal nodules, and intellectual disability, and can be diagnosed by clinical evaluation and genetic testing.
88;Fragile X syndrome; 1 in 4,000; Chromosome X; Xq27.3; Fragile X syndrome is a genetic disorder that affects the brain, causing intellectual disability, autism spectrum disorder, and behavioral problems; X-linked dominant; 1 X-linked dominant allele; FMR1 gene mutation; Inheritance pattern: X-linked dominant; Gene symbol: FMR1; Gene description: encodes fragile X mental retardation protein, a protein involved in RNA binding and translation regulation; Mutation type: CGG repeat expansion; Mutation location: 5' untranslated region; Population frequency: occurs mainly in males; Additional information: can cause macroorchidism, strabismus, and speech and language delay, and can be diagnosed by fragile X DNA test, FMR1 protein test, and genetic testing.
89;Hereditary hemochromatosis; 1 in 300; Chromosome 6; 6p21.3; Hereditary hemochromatosis is a genetic disorder that affects the metabolism, causing iron overload, organ damage, and endocrine dysfunction; Autosomal recessive; 2 recessive alleles; HFE gene mutation; Inheritance pattern: autosomal recessive; Gene symbol: HFE; Gene description: encodes HFE protein, a protein involved in iron homeostasis and absorption; Mutation type: point mutation; Mutation location: exon; Population frequency: occurs mainly in people of European descent; Additional information: can cause liver cirrhosis, diabetes, heart failure, and arthritis, and can be diagnosed by serum iron studies, transferrin saturation, and genetic testing.
90;Noonan syndrome; 1 in 1,000; Chromosome 12; 12q24.1; Noonan syndrome is a genetic disorder that affects the growth and development, causing facial dysmorphism, heart defects, and bleeding disorders; Autosomal dominant; 1 dominant allele; PTPN11 or SOS1 gene mutation; Inheritance pattern: autosomal dominant; Gene symbol: PTPN11 or SOS1; Gene description: encodes a protein tyrosine phosphatase or a guanine nucleotide exchange factor, enzymes involved in RAS signaling and cell growth regulation; Mutation type: point mutation, deletion, or insertion; Mutation location: exon; Population frequency: occurs in all populations; Additional information: can cause webbed neck, ptosis, hearing loss, and pulmonary valve stenosis, and can be diagnosed by clinical evaluation and genetic testing.
91;Fanconi anemia; 1 in 300,000; Chromosome multiple; multiple; Fanconi anemia is a genetic disorder that affects the bone marrow, causing anemia, leukemia, and solid tumors; Autosomal recessive or X-linked recessive; 1 or 2 recessive alleles; FANCA, FANCB, FANCC, FANCD1, FANCD2, FANCE, FANCF, FANCG, FANCI, or FANCJ gene mutation; Inheritance pattern: autosomal recessive or X-linked recessive; Gene symbol: FANCA, FANCB, FANCC, FANCD1, FANCD2, FANCE, FANCF, FANCG, FANCI, or FANCJ; Gene description: encodes a protein involved in DNA repair and damage response; Mutation type: point mutation, deletion, or insertion; Mutation location: exon; Population frequency: occurs mainly in people of Ashkenazi Jewish, Afrikaner, or Mediterranean descent; Additional information: can cause short stature, café-au-lait spots, radial ray defects, and kidney malformations, and can be diagnosed by chromosomal breakage assay, complementation assay, and genetic testing.</s>
