;Programming Fundamentals; Data Structures & Algorithms; Operating Systems; Memory Management; Networking; File Handling; Databases; Software Engineering; Web Development; Machine Learning; Artificial Intelligence; Cloud Computing; Information Security; Quantum Computing
39;Nim, Ozy, Opa; Edmonds' Algorithm, Suurballe's Algorithm, Path Scoring Algorithm; OpenBSD's puffy, OpenWRT's udhcp, DD-WRT's dnsmasq; Dynamic Loading, Dynamic Linking, Position-Independent Code; SNMPv3, SNMPv2c, SNMPv1; Named Entity Recognition, Part-of-Speech Tagging, Dependency Parsing; Object-Oriented Programming, Aspect-Oriented Programming, Functional Programming; Pulumi, Cloudify, Terraform; Deep Belief Networks, Stacked Denoising Autoencoders, Predictive Coding; Nomad, Singularity, Mesos; Data Loss Prevention, Data Classification, Data Tagging; Quantum Interference, Quantum Entanglement, Quantum Cryptography;;
40;Forth, Erlang, Vlang; Dijkstra's Tournament, Matroid Matching, Convex Hull; FreeBSD's ifconfig, NetBSD's ifconfig, OpenBSD's ifconfig; Copy-on-Write, Reference Counting, Zone Memory Management; POP3 SSL, IMAP SSL, SMTP SSL; Spell Checking, Autocorrect, Autocomplete; Test-Driven Development, Behavior-Driven Development, Acceptance Test-Driven Development; Dart-Sass, SCSS, Less; Fault Tolerance, High Availability, Disaster Recovery; Kubernetes Operators, Helm Charts, StatefulSets; Differential Privacy, Local Differential Privacy, Federated Learning; OpenShift, Cloud Foundry, Azure Service Fabric;;
41;D, Nimrod, Simula; Gale-Shapley Algorithm, Stable Roommates Problem, College Admission Problem; Network Manager, systemd-networkd, Networkd; Buddy Allocation, Slab Allocation, Stack Allocation; TFTP, SCP, RCP; Text-to-Speech, Speech Recognition, Natural Language Processing; Domain-Driven Design, Microservices Architecture, Service-Oriented Architecture; Angular, Polymer, Aurelia; One-Class Classification, Novelty Detection, Anomaly Detection; Marathon, Apache Storm, DC/OS; Data Lake, Data Warehouse, Data Mart; Quantum Computing Programming Languages, Quantum Programming Frameworks, Quantum Algorithms;;
42;Pascal, Vala, Neko; Maximum Flow, Minimum Cut, Ford-Fulkerson Algorithm; OpenVPN, SoftEther, Wireguard; Demand Paging, Page Fault Handling, Thrashing; Freedesktop.org's dbus, systemd's dbus, GNOME's dbus; Topic Modeling, Sentiment Analysis, Text Classification; Domain-Specific Languages, Visual Programming Languages, Low-Code Platforms; Ruby on Rails, Catalyst, Mason; Deep Learning Frameworks, Machine Learning Platforms, Data Science Platforms; Docker, rkt, containerd; Secure Multi-party Computation, Homomorphic Encryption, Secret Sharing; OpenStack, Proxmox, oVirt; File System Filter Drivers, File System Journaling, File System Snapshots.</s>;
43; Rust, Go, Crystal; Minimum Spanning Tree, Shortest Path Faster Algorithm, Longest Increasing Subsequence; initramfs, systemd-analyze, e4rat; Memory Swap, Demand Paging, Transparent Huge Pages; SMTP MTA-STRICT, SMTP MTA-STS, DANE; Code Obfuscation, Packer, Binary Protector; Agile Software Development, DevOps, Continuous Integration; Laravel, ExpressJS, Koa; Multilabel Classification, Multiclass Classification, Binary Classification; Azure Kubernetes Service, Amazon Elastic Kubernetes Service, Google Kubernetes Engine; Differential Backup, Incremental Backup, Snapshot Backup; Quantum Error Correction, Quantum Simulation, Quantum Annealing;;
44;Swift, Kotlin, D,; Vertex Cover, Set Cover, Hitting Set; IP Masquerading, IP Forwarding, IP Routing; Page Replacement Algorithms, Working Set Model, Paging Algorithm; Avahi, Bonjour, ZeroConf; Latent Dirichlet Allocation, Non-negative Matrix Factorization, Latent Semantic Analysis; DSLs for Data Science, DSLs for Machine Learning, DSLs for Static Analysis; Ruby on Rails, Flask, Symfony; Deep Reinforcement Learning, Transfer Learning, Meta-Learning; CoreOS, RedHat Enterprise Linux Atomic Host, VMware Photon; Union File System, OverlayFS, ZFS; Reverse Engineering Tools, Disassembler, Debugger.;;
45;Julia, Scala, Lisp; Depth-First Search, Breadth-First Search, Depth-Limited Search; HTTP/3, QUIC, HTTP/2; Kernel Namespaces, Control Groups, Linux Security Modules; Memory Ballooning, Memory Overcommit, Memory Compression; HTTP Digest Access Authentication, Simple Authentication, Token Authentication; Decompilation, Obfuscated Code, Code Golf; Behavioral Testing, Property-Based Testing, Chaos Engineering; Semantic Web, Microformats, RDFa; Serverless Architecture, FaaS, Edge Computing; Liskov Substitution Principle, Open/Closed Principle, Single Responsibility Principle; Distributed File System, Object Storage, Hadoop Distributed File System.;;
46;Haskell, OCaml, FSharp; Trie, Suffix Tree, Suffix Array; TCP Fast Open, Proportional Rate Reduction, TIME_WAIT; chroot, chdir, pivot_root; Data Compression, Data Deduplication, Data Encryption; OpenID Connect, OAuth 2.0, SAML; Code Coverage, Mutation Testing, Profile-Guided Optimization; Literate Programming, Hypertext Programming, Document-Oriented Programming; gRPC, Thrift, MessagePack; Serverless Containers, Container Orchestration, Edge Runtime; Quantum Key Distribution, Quantum Cryptography, Post-Quantum Cryptography; Device Tree, Open Firmware, Unified Extensible Firmware Interface.</s>;;
47; Rust, Erlang, Elixir; Travelling Salesman Problem, Vehicle Routing Problem, Chinese Postman Problem; ICMP, IGMP, ARP; Buddy Memory Allocation, Slab Allocation, Region-based Memory Management; FUSE, NFS, SMB; Differential Privacy, K-Anonymity, Homomorphic Encryption; Kubernetes, Docker Swarm, Apache Mesos; Waterfall Model, Agile Model, Spiral Model; Aspect-Oriented Programming, Generic Programming, Metaprogramming; Akka, Vert.x, Hazelcast; Bayesian Networks, Markov Decision Processes, Hidden Markov Models; Xen, Hyper-V, KVM; Linkers, Loaders, Debuggers; Differential Backup, Incremental Backup, Snapshot Backup.
48;Crystal, Elm, Reason; Tracing Garbage Collection, Reference Counting, Generational Garbage Collection; SMTP, POP, IMAP; Swap Space, Virtual Memory, Demand Paging; WebDAV, FTP, SFTP; Apache Cassandra, MongoDB, CouchDB; Command-Query Responsibility Segregation, Domain-driven Design, Event Sourcing; Domain-specific Languages, Model-driven Engineering, Code Synthesis; Lua, Io, Squirrel; Naive Bayes, Decision Trees, Random Forests; OpenStack, Proxmox VE, CloudStack; Software-defined Networking, Network Function Virtualization, Service Function Chaining.;;
49;Dart, Groovy, Objective-C; Trinary Search, Fibonacci Search, Golden-section Search; SNMP, RIP, OSPF; Page Fault, Segmentation Fault, Bus Error; Git, Mercurial, Subversion; Apache Hive, Apache Pig, Apache Storm; Continuous Integration, Continuous Delivery, Continuous Deployment; Design Patterns, Architectural Patterns, Anti-patterns; Clojure, Scheme, Erlang; Markov Chain, Monte Carlo Method, Simulated Annealing; Microsoft Azure, Google Cloud Platform, IBM Cloud; Access Control Lists, Capability-based Security, Mandatory Access Control.;;
50;Nim, Racket, Pascal; Trapping Rectangles, Maximal Rectangles, Longest Increasing Subrectangle; SSH, Telnet, Rlogin; Copy-on-write, Demand Paging, Prepaging; DNS, DHCP, BGP; Apache Accumulo, Apache HBase, Apache Redis; Data Warehousing, ETL, OLAP; Reactive Programming, Functional Programming, Concurrent Programming; Swift, ActionScript, Vala; Markdown, AsciiDoc, reStructuredText; Jupyter Notebook, Google Colab, Kaggle Kernels; Open Computing Language, CUDA, OpenCL; Fault Tolerance, High Availability, Disaster Recovery.;
51;Go, Perl, Fortran; Tuple Space, Replicated Space, Virtual Ring; NTP, PTP, LTP; Memory Leak, Memory Fragmentation, Memory Exhaustion; Hot Swap, Live Migration, Checkpointing; Sqoop, Flume, Nifi; Cross-platform Development, Multi-platform Development, Hybrid Development; Design by Contract, Correctness Proving, Theorem Proving; Chapel, Cecil, X10; Hidden Markov Model, Conditional Random Field, Dynamic Bayesian Network; Software-defined Storage, Software-defined Data Center, Software-defined Perimeter; Cryptographic Hash Function, Keyed Hash Function, Message Authentication Code.;;
52;Java, C#, Visual Basic; Topological Sort, Topological Ordering, Hasse Diagram; ARPANET, Internet, NSFNET; Deadlock, Starvation, Livelock; CVS, Perforce, SourceSafe; RabbitMQ, Kafka, ActiveMQ; Real-time Computing, Time-triggered Computing, Event-triggered Computing; Dataflow Programming, Rule-based Programming, Declarative Programming; Kotlin, Scala, Fantom; Graphviz, Mermaid, PlantUML; Online Machine Learning, Batch Machine Learning, Streaming Machine Learning; Hyperscale Computing, Distributed Computing, Grid Computing; Pair Programming, Mob Programming, Code Review.;
53;LuaJIT, Ruby, Smalltalk; Linear Programming, Mixed-integer Programming, Integer Programming; IRC, XMPP, Slack; Stack Overflow, Segmentation Fault, Bus Error; Zookeeper, Etcd, Consul; Samza, Flink, Spark Streaming; Interface-driven Design, Object-based Design, Object-oriented Design; Delphi, Free Pascal, Turbo Pascal; Conditional Random Field, Maximum Entropy, Maximum Likelihood; OpenSSL, GnuPG, NaCl; Serverless Applications, Serverless Computing, Mobile Edge Computing; Caching Strategies, Content Delivery Network, Reverse Proxy.;;
54;Python, PHP, Ada; Hamiltonian Cycle, Eulerian Path, Shortest Hamiltonian Path; SMTP Authentication, SPF, DKIM; Memory Swapping, Memory Paging, Memory Thrashing; Mercurial, Git, Darcs; Thrift, Avro, Protocol Buffers; Dependency Injection, Service-oriented Architecture, Microservices; Fortran 90, Fortran 95, Fortran 2003; Stochastic Gradient Descent, Mini-batch Gradient Descent, Gradient Descent with Momentum; PostgreSQL, MySQL, MariaDB; MapReduce, Hadoop MapReduce, Apache Tez; Data Serialization, Data Deserialization, Data Compression.;;
55;Forth, ABAP, ColdFusion; Longest Increasing Subsequence, Longest Common Subsequence, Edit Distance; Syslog, Rsyslog, Syslog-ng; Dynamic Loading, Dynamic Linking, Shared Libraries; NFSv4, NFSv3, NFSv2; Hadoop HDFS, Ceph, GlusterFS; Microkernel, Monolithic Kernel, Exokernel; LLVM, GCC, PCC; SVD, PCA, LSA; Prolog, Mercury, Mozart/Oz; GUI Testing, API Testing, Web Service Testing; Cryptographic Hash Algorithm, Hash Function, Cryptographic Nonce; Object-oriented Metaprogramming, Template Metaprogramming, Macro Metaprogramming.;
56;R, Swift, Oberon; Maximum Flow, Minimum Cut, Transportation Problem; SNMPv3, SNMPv2, SNMPv1; TLB Miss, Page Fault, Broken Pipe; Btrfs, XFS, JFS; Cassandra Query Language, GraphQL, MongoDB Query Language; Event Loop, Reactor Pattern, Proactor Pattern; Scheme, Racket, Bigloo; Support Vector Regression, Random Forest Regression, Gradient Boosting; OpenAPI, RAML, Swagger; Taint Analysis, Dataflow Analysis, Type Checking; RDMA, InfiniBand, RoCE; Semantic Analysis, Syntactic Analysis, Parsing; TypeScript, CoffeeScript, LiveScript.</s>
57; Lisp, Scheme, Dylan; Matrix Chain Multiplication, Longest Common Substring, Knapsack Problem; WHOIS, DNS, DHCP; Dynamic Memory Allocation, Memory Overcommit, Memory Ballooning; LVM, MDADM, EVMS; Kubernetes, Docker Swarm, Apache Mesos; Pickling, Marshaling, JSON Serialization; LDAP, Active Directory, Federation Services;;;;;;
58;Hy, Logtalk, Eiffel; Linear Programming, Dynamic Programming, Greedy Algorithm; SMF, Systemd, Upstart; ZFS, UFS, EXT; Memcached, Redis, Riak; SOAP, XML-RPC, JSON-RPC; Differential Privacy, Federated Learning, Multi-party Computation; SPDY, QUIC, HTTP/2; Scilab, Matlab, Octave; Information-theoretic Security, Quantum Cryptography, Quantum Key Distribution;;;;
59;Haskell, F Sharp, OCaml; Maximum Spanning Tree, Minimum Spanning Tree, Kruskal's Algorithm; IPSec, OpenVPN, SoftEther; Deadlock, Starvation, Livelock; HPFS, NTFS, exFAT; OpenCL, CUDA, DirectCompute; RMI, CORBA, Java RMI; Partial Evaluation, Supercompilation, Specialization; Paxos, Raft, Viewstamped Replication; Clojure, Erlang, Elixir; YAML Ain't Markup Language, Extended Markup Language, Markdown;;;
60;Pascal, Modula, Component Pascal; Monad, Comonad, Applicative Functor; DCE, GIOP, CORBA IIOP; Dataflow Programming, Functional Programming, Logic Programming; Bloom Filter, Cuckoo Filter, Counting Bloom Filter; ACID, CAP, BASE; Blockchain, DAG, Holochain; GPGPU, Manycore, Vector Supercomputer; COBOL, RPG, APL; Provenance, Lineage, Taint Tracking;;;;
61;Julia, Nim, Rust; Maximum Bipartite Matching, Stable Marriage Problem, Hungarian Algorithm; SSH, Telnet, Rlogin; Paging, Segmentation, Inverted Paging; GitHub, GitLab, Bitbucket; Parallel Computing, Distributed Computing, Grid Computing; Dataflow Model, Kahn Process Networks, Petri Nets; Data Scientist, Machine Learning Engineer, Data Engineer;;;;;;
62;Ada, Eiffel, Simula; Data Encapsulation, Data Abstraction, Polymorphism; IMAP, POP3, MAPI; B-Tree, B+ Tree, B* Tree; Coq, Agda, Lean; FUSE, eCryptfs, EncFS; Parallelizable Algorithms, Concurrent Algorithms, Real-time Algorithms; LLDB, GDB, NGC; Common Lisp, Scheme, Racket; Dataflow Analysis, Type Inference, Abstract Interpretation;;;;
63;Solidity, Vyper, Flint; Solr, Elasticsearch, Spark; RISC, CISC, EPIC; Lisp Flavored Erlang, SchemeScript, RubyFL; Gossip Protocol, Distributed Hash Table, Merkle Tree; Data Compression, Data Deduplication, Data Encryption; Hadoop YARN, Apache Mesos, Apache Spark; SQL, NoSQL, NewSQL; Reverse Engineering, Decompilation, Disassembly;</s>;;;;
64; Closure, Scala, Kotlin; Linear Programming, Integer Programming, Dynamic Programming; VPN, FTP, TFTP; Swapping, Buddy System, Slab Allocation; AWS, Google Cloud, Microsoft Azure; Two-Factor Authentication, Biometrics, Firewalls; Quantum Key Distribution, Quantum Teleportation, Quantum Cryptography; Erlang, Elixir, HOPE; PostgreSQL, MySQL, SQLite; Assembler, Loader, Linker; Semantic Analysis, Code Optimization, Program Verification;;; 
65;Haskell, Racket, OCaml; Markov Chain, Hidden Markov Model, Conditional Random Field; ICMP, IGMP, ARP; Translation Lookaside Buffer, Cache Coherence, Virtual Memory; LZ77, LZ78, LZW; Kubernetes, Docker Swarm, Apache Mesos; Object-Relational Mapping, Document-Oriented Databases, Graph Databases; Protocol Stacks, Routers, Gateways; Genetic Algorithms, Simulated Annealing, Ant Colony Optimization;;;;;
66;Swift, Objective-C, R,; Depth-First Search, Breadth-First Search, Dijkstra's Algorithm; SMTP, IMAP, POP; AVL Tree, Red-Black Tree, Splay Tree; Coq, HOL4, Isabelle; FreeBSD, NetBSD, OpenBSD; Deadlock Prevention, Deadlock Detection, Deadlock Recovery; DNS, DHCP, HTTP; Expert Systems, Rule-Based Systems, Fuzzy Logic;;;;;
67;Rust, Nim, Julia; Convex Optimization, Nonlinear Programming, Linear Algebra; RMI, CORBA, SOAP; Garbage Collection, Reference Counting, Manual Memory Management; LDAP, Kerberos, X.509; LLVM, GCC, TCC; Machine Code, Object Code, Source Code; Genetic Programming, Swarm Intelligence, Artificial Neural Networks;;;;;;
68;Crystal, Forth, Elixir; Travelling Salesman Problem, Vehicle Routing Problem, Set Covering Problem; NNTP, IRC, SMTP; Patricia Tree, Trie, Suffix Tree; Agda, PVS, Idris; Plan 9, Inferno, Mirage OS; Memory-Mapped Files, Mmap, Shared Memory; Bayesian Networks, Hidden Markov Models, Conditional Random Fields;;;;;;
69;Go, Mono, D,; Floyd-Warshall Algorithm, Bellman-Ford Algorithm, Dijkstra's Algorithm; SNMP, Telnet, SSH; Cache Replacement Policies, Page Replacement Algorithms, Disk Scheduling; Ceph, GlusterFS, MooseFS; Lua, Io, Neko; Operator Overloading, Function Overloading, Method Overloading; Lattices, Boolean Algebras, Residuated Lattices;;;;;;
70;TypeScript, CoffeeScript, ActionScript; Prim's Algorithm, Kruskal's Algorithm, Boruvka's Algorithm; RIP, OSPF, BGP; Logical Volume Manager, Software RAID, Distributed File System; Ada, Pascal, Modula; Homomorphic Encryption, Secure Multi-party Computation, Secret Sharing; Btrfs, ZFS, XFS;;;;;;;
71;NASM, FASM, YASM; Floating-Point Computation, Interval Arithmetic, Symbolic Computation; X11, Wayland, Mir; Process Synchronization, Mutex, Semaphore; Haskell, Clean, Mercury; Data Mining, Text Mining, Web Mining; Parity Games, Mean-Payoff Games, Discrete Games;;;;;;;
72;Dart, Elm, PureScript; Constraint Satisfaction, Constraint Programming, Integer Programming; Fractals, Cellular Automata, Lindenmayer Systems; NFS, AFS, CIFS; OWASP, CERT, NIST; Category Theory, Sheaf Theory, Topos Theory;;;;;;;;
73;Forth, ML, Scheme; Floyd's Cycle-Finding Algorithm, Rabin-Karp Algorithm, Shamir's Algorithm; ARPANET, Internet, NSFNET; Linkers, Loaders, Compilers; Data Streams, Data Records, Data Frames; Expert Systems, Case-Based Reasoning, Fuzzy Logic;;</s>;;;;;;
74; Rust, Zig, Crystal; Type Theory, Propositions as Types, Dependent Types; Plan 9, Inferno, Red; Stack Overflow, Heap Overflow, Buffer Overflow; SQLite, PostgreSQL, MySQL; Agile, Waterfall, Spiral; Single-Page Applications, Progressive Web Applications, Responsive Web Design; Reinforcement Learning, Genetic Algorithms, Neural Networks;;;;;; 
75;Swift, Kotlin, R; Image Recognition, Object Detection, Facial Recognition; Kernel, Monolithic Kernel, Microkernel; Garbage Collection, Reference Counting, Manual Memory Management; NNTP, SMTP, IMAP; Information Extraction, Information Retrieval, Natural Language Processing;;;;;;;;
76;Go, Nim, D; Model Checking, Theorem Proving, SAT Solvers; X Window System, macOS, GNOME; Deadlock Detection, Starvation, Livelock; Version Control Systems, Configuration Management, Build Automation; Knowledge Representation, Inference, Reasoning;;;;;;;;
77;Erlang, Elixir, Lisp Flavored Erlang; Combinatorial Optimization, Linear Programming, Integer Programming; HTTP, HTTPS, FTP; File System, Memory Mapped Files, Database Files; Deep Learning, Shallow Learning, Transfer Learning; Automated Planning and Scheduling, Constraint Programming, Decision Theory;;;;;;;;
78;Haskell, Clean, Mercury, Idris; Homotopy Type Theory, Univalent Foundations, Cubical Type Theory; GNU, BSD, Minix; Page Replacement, Page Fault Handling, Demand Paging; Remote Procedure Call, Message Queue, Web Services; Description Logics, Rule Markup Language, Semantic Web;;;;;;;;
79;D, Chapel, Nim; Logic Programming, Answer Set Programming, Constraint Handling Rules; LDAP, Active Directory, Kerberos; Data Compression, Data Encryption, Data Decryption; Formal Verification, Model Checking, Deductive Verification; Robotics, Computer Vision, Control Systems;;;;;;;;
80;Lua, Io, Julia; Dynamic Programming, Greedy Algorithms, Divide and Conquer; Sockets, RPC, REST; Swap Space, Page Cache, Buffer Cache; Peer-to-Peer Networking, Content Delivery Networks, Overlay Networks; Propositional Logic, First-Order Logic, Second-Order Logic;;;;;;;;
81;OCaml, FSharp, ReasonML; Polymorphism, Parametric Polymorphism, Ad-hoc Polymorphism; SSH, Telnet, Rlogin; Data Warehousing, Data Mining, OLAP; Sensor Networks, Wireless Sensor Networks, IoT; Modal Logic, Temporal Logic, Dependence Logic;;;;;;;;
82;Smalltalk, Newspeak, Squeak; Code Smells, Technical Debt, Refactoring; GUI, Command Line, Web-based GUI; File Systems, Block Storage, Network Storage; Natural Language Understanding, Natural Language Generation, Natural Language Processing;;;;;;;;;
83;Python, Ruby, Perl; Metaprogramming, Reflection, Introspection; FUSE, VFS, EXT; Time-sharing, Multiprogramming, Real-time Computing; Natural Language Processing, Machine Translation, Machine Learning;;;;;</s>;;;;
