;`Artwork; Artist; Date Created; Medium; Width; Height; Depth; Period; Style; Subject Matter; Technique; Condition; Notes`
96;"""The Girl with a Pearl Earring"""; Johannes Vermeer; 1665; Oil on canvas; 44.5 cm × 39 cm; 17.52 inches × 15.35 inches; Dutch Golden Age; Figurative; A young woman with a pearl earring; Oil on canvas; Excellent;" A famous work of the Dutch Golden Age, the painting is housed in the Mauritshuis in The Hague, the Netherlands.""";
97;"""The Bay of Naples"""; Claude Monet; 1884; Oil on canvas; 60 cm × 81 cm; 23.62 inches × 31.89 inches; Impressionism; Landscape; A view of the Bay of Naples from the island of Capri; Oil on canvas; Good;" A famous work of Impressionism, the painting is housed in the Musée d'Orsay in Paris, France.""";
98;"""The Dance"""; Henri Matisse; 1910; Gouache on paper; 260 cm × 389 cm; 102.36 inches × 153.15 inches; Fauvism; Figurative; Five dancing figures in brightly colored clothing; Gouache on paper; Good;" A famous work of Fauvism, the painting is housed in the Hermitage Museum in Saint Petersburg, Russia.""";
99;"""The Raft of the Medusa"""; Théodore Géricault; 1818-1819; Oil on canvas; 491 cm × 716 cm; 193.3 inches × 282.3 inches; Romanticism; Figurative; A shipwreck and the survivors on a raft; Oil on canvas; Good;" A famous work of Romanticism, the painting is housed in the Louvre Museum in Paris, France.""</s>";
100;" ""The Persistence of Memory"""; Salvador Dalí; 1931; Oil on canvas; 24.1 cm × 33 cm; 9.49 inches × 12.99 inches; Surrealism; Figurative; Melting clocks in a barren landscape; Oil on canvas; Good;" A famous work of Surrealism, the painting is housed in the Museum of Modern Art in New York, USA.""";
101;"""The Scream"""; Edvard Munch; 1893; Pastel on board; 91 cm × 73.5 cm; 35.83 inches × 28.94 inches; Expressionism; Figurative; A figure with an agonized expression against a backdrop of a blood-red sky; Pastel on board; Good;" A famous work of Expressionism, the painting is housed in the National Gallery in Oslo, Norway.""";
102;"""The Starry Night"""; Vincent van Gogh; 1889; Oil on canvas; 73.7 cm × 92.1 cm; 28.98 inches × 36.26 inches; Post-Impressionism; Landscape; A swirling night sky over the small town of Saint-Rémy-de-Provence; Oil on canvas; Good;" A famous work of Post-Impressionism, the painting is housed in the Museum of Modern Art in New York, USA.""";
103;"""The Night Watch"""; Rembrandt Harmenszoon van Rijn; 1642; Oil on canvas; 363 cm × 437 cm; 142.91 inches × 172.05 inches; Dutch Golden Age; Figurative; A militia company in Amsterdam; Oil on canvas; Good;" A famous work of the Dutch Golden Age, the painting is housed in the Rijksmuseum in Amsterdam, Netherlands.""";
104;"""The Last Supper"""; Leonardo da Vinci; 1495-1498; Tempera on gesso, pitch, and mastic; 460 cm × 880 cm; 181.1 inches × 346.5 inches; Renaissance; Religious; Jesus and his disciples at the Last Supper; Tempera on gesso, pitch, and mastic; Fair;" A famous work of the Renaissance, the painting is housed in the Convent of Santa Maria delle Grazie in Milan, Italy.""";
105;"""The School of Athens"""; Raphael; 1509-1511; Fresco; 500 cm × 770 cm; 196.85 inches × 303.15 inches; Renaissance; Figurative; A gathering of great philosophers and scientists of classical antiquity; Fresco; Good;" A famous work of the Renaissance, the painting is housed in the Apostolic Palace in Vatican City.""";
106;"""The Arnolfini Portrait"""; Jan van Eyck; 1434; Oil on oak panel; 82.2 cm × 60 cm; 32.36 inches × 23.62 inches; Early Northern Renaissance; Portrait; A wealthy couple in their interior; Oil on oak panel; Excellent;" A famous work of the Early Northern Renaissance, the painting is housed in the National Gallery in London, UK.""";
107;"""The Tower of Babel"""; Pieter Bruegel the Elder; 1563; Oil on board; 114 cm × 155 cm; 44.88 inches × 60.98 inches; Northern Renaissance; Biblical; The construction of the Tower of Babel; Oil on board; Good;" A famous work of the Northern Renaissance, the painting is housed in the Kunsthistorisches Museum in Vienna, Austria.""";
108;"""The Battle of San Romano"""; Paolo Uccello; 1438-1440; Tempera on wood; 182 cm × 320 cm; 71.65 inches × 125.98 inches; Early Renaissance; Historical; A battle between Florence and Siena; Tempera on wood; Good;" A famous work of the Early Renaissance, the painting is housed in the Uffizi Gallery in Florence, Italy.""";
109;"""The Descent from the Cross"""; Peter Paul Rubens; 1611-1614; Oil on canvas; 420 cm × 310 cm; 165.35 inches × 122.05 inches; Baroque; Religious; The body of Jesus being taken down from the cross; Oil on canvas; Good;" A famous work of the Baroque, the painting is housed in the Cathedral of Our Lady in Antwerp, Belgium.""</s>";
