;Religions and Beliefs; Philosophical Thoughts; Historiography; Major Battles; Influential Leaders; Languages & Writing Systems; Legal Systems; Trade Networks; Currencies; Agricultural Practices
60;  Religions and Beliefs: Shintoism, Buddhism, Confucianism in Japan; Philosophical Thoughts: Zhu Xi, Yamaga Sokō; Historiography: Nihon Shoki; Major Battles: Battle of Sekigahara (1600); Influential Leaders: Tokugawa Ieyasu, Toyotomi Hideyoshi; Languages & Writing Systems: Japanese, Chinese characters; Legal Systems: Japanese law, Ritsuryō; Trade Networks: Silk Road, Nagasaki trade; Currencies: Gold koban, Silver ryō; Agricultural Practices: Rice paddy cultivation, Silk production.
61; Religions and Beliefs: Tenrikyo, Shinto, Buddhism in Meiji Japan; Philosophical Thoughts: Inoue Enryō, Nishida Kitarō; Historiography: Dai Nihon Shiryō; Major Battles: Boshin War (1868-1869); Influential Leaders: Emperor Meiji, Sakamoto Ryōma; Languages & Writing Systems: Japanese, Latin script; Legal Systems: Meiji Civil Code, Commercial law; Trade Networks: Treaty ports, Tōkyō trade; Currencies: Yen, Sen; Agricultural Practices: Multicropping, Fertilizers.
62; Religions and Beliefs: Taoism, Buddhism, Confucianism in China; Philosophical Thoughts: Wang Yangming, Xunzi; Historiography: Records of the Grand Historian; Major Battles: Battle of Red Cliffs (208-209); Influential Leaders: Liu Bei, Cao Cao; Languages & Writing Systems: Chinese, Classical Chinese; Legal Systems: Chinese law, Legalist law; Trade Networks: Silk Road, Maritime Silk Road; Currencies: Cash coins, Sycee; Agricultural Practices: Terrace farming, Tea cultivation.
63; Religions and Beliefs: Animism, Christianity, Islam in Sub-Saharan Africa; Philosophical Thoughts: Negritude, Ubuntu; Historiography: Baye Fall literature; Major Battles: Battle of Firket (1896); Influential Leaders: Samori Ture, Nnamdi Azikiwe; Languages & Writing Systems: Swahili, Bambara; Legal Systems: Customary law, Penal law; Trade Networks: Saharan trade, Trans-Saharan trade; Currencies: Cowry shells, Manilla; Agricultural Practices: Yams cultivation, Cassava cultivation.
64; Religions and Beliefs: Hinduism, Jainism, Buddhism in Ancient India; Philosophical Thoughts: Nyaya, Vaisheshika; Historiography: Indica; Major Battles: Battle of Kurukshetra (circa 4th century BCE); Influential Leaders: Chandragupta Maurya, Ashoka; Languages & Writing Systems: Sanskrit, Brahmi; Legal Systems: Dharmaśāstra, Arthashastra; Trade Networks: Spice trade, Incense route; Currencies: Pana, Karshapana; Agricultural Practices: Rice cultivation, Sesame cultivation.
65; Religions and Beliefs: Shamanism, Christianity, Tengrism in Mongolia; Philosophical Thoughts: Khun Mongol, Kutukhtu; Historiography: Altan Tobchi; Major Battles: Battle of Khalkhin Gol (1939); Influential Leaders: Genghis Khan, Kublai Khan; Languages & Writing Systems: Mongolian, Old Uyghur script; Legal Systems: Yassa, Mongolian law; Trade Networks: Silk Road, Mongol Empire trade; Currencies: Silver ingots, Paper money; Agricultural Practices: Livestock raising, Wheat cultivation.
66; Religions and Beliefs: Ancestor worship, Confucianism, Daoism in Korea; Philosophical Thoughts: Yi Hwang, Yi I; Historiography: Samguk Yusa; Major Battles: Battle of Hakusukinoe (663); Influential Leaders: Taejo of Goryeo, Sejong the Great; Languages & Writing Systems: Korean, Chinese characters; Legal Systems: Goryeo Code, Joseon law; Trade Networks: Silk Road, Maritime route to Japan; Currencies: Mun, Yang; Agricultural Practices: Dry fields, Paddy fields.
67; Religions and Beliefs: Christianity, Indigenous beliefs, Islam in the Americas; Philosophical Thoughts: Syncretism, Liberation theology; Historiography: Popol Vuh; Major Battles: Battle of Arauco (1536-1881); Influential Leaders: Túpac Amaru II, Simon Bolívar; Languages & Writing Systems: Nahuatl, Quechua; Legal Systems: Inca law, Spanish law; Trade Networks: Atlantic slave trade, Columbian Exchange; Currencies: Cacao beans, Gold dust; Agricultural Practices: Maize cultivation, Potato cultivation.
68; Religions and Beliefs: Animism, Islam, Christianity in Southeast Asia; Philosophical Thoughts: Sufism, Bhakti; Historiography: Sejarah Melayu; Major Battles: Battle of Talas (751); Influential Leaders: Srivijaya, Majapahit; Languages & Writing Systems: Javanese, Malay; Legal Systems: Adat, Sharia law; Trade Networks: Spice trade, Maritime silk road; Currencies: Mas, Kupang; Agricultural Practices: Rice terraces, Wet rice cultivation.
69; Religions and Beliefs: Zoroastrianism, Manichaeism, Christianity in Sassanid Persia; Philosophical Thoughts: Mazdakism, Zurvanism; Historiography: Khwaday-Namag; Major Battles: Battle of al-Qādisiyyah (636); Influential Leaders: Khosrau I, Khosrau II; Languages & Writing Systems: Pahlavi, Aramaic; Legal Systems: Mādigān Ḥazar Dādistān, Zoroastrian law; Trade Networks: Silk Road, Persian Gulf trade; Currencies: Drachm, Siglos; Agricultural Practices: Qanat system, Date palm cultivation.</s>
70;  Religions and Beliefs: Shintoism, Buddhism, Confucianism in Japan; Philosophical Thoughts: Neo-Confucianism, Bushido; Historiography: Nihon Shoki; Major Battles: Battle of Sekigahara (1600); Influential Leaders: Oda Nobunaga, Tokugawa Ieyasu; Languages & Writing Systems: Classical Japanese, Chinese; Legal Systems: Ryō, Japanese law; Trade Networks: Japanese sea trade, Trans-Pacific trade; Currencies: Ryō, Koban; Agricultural Practices: Teraced rice fields, Satoyama agriculture.
71; Religions and Beliefs: Tengrism, Christianity, Islam in Mongolia; Philosophical Thoughts: Tengrianism, Khagannism; Historiography: Altan Tobchi; Major Battles: Battle of Khalkhin Gol (1939); Influential Leaders: Genghis Khan, Kublai Khan; Languages & Writing Systems: Mongolian, Uighur; Legal Systems: Yassa, Mongolian law; Trade Networks: Mongol Empire trade network, Silk Road; Currencies: Silver ingots, Paper money; Agricultural Practices: Pastoralism, Nomadic herding.
72; Religions and Beliefs: animism, Hinduism, Jainism in India; Philosophical Thoughts: Samkhya, Yoga; Historiography: Itihasa; Major Battles: Battle of Plassey (1757); Influential Leaders: Ashoka, Akbar; Languages & Writing Systems: Sanskrit, Prakrit; Legal Systems: Dharmaśāstra, Mughal law; Trade Networks: Spice trade, Indus Valley trade; Currencies: Indian Rupee, Silver coinage; Agricultural Practices: Multi-cropping, System of Rice Intensification.
73; Religions and Beliefs: Ancestor worship, Taoism, Buddhism in China; Philosophical Thoughts: Legalism, Mohism; Historiography: Shiji; Major Battles: Battle of Red Cliffs (208-209); Influential Leaders: Qin Shi Huang, Zhu Di; Languages & Writing Systems: Classical Chinese, Vernacular Chinese; Legal Systems: Great Qing Legal Code, Chinese law; Trade Networks: Maritime Silk Road, Tea Horse Road; Currencies: Cash coins, Sycee; Agricultural Practices: Terrace farming, Intensive cultivation.
74; Religions and Beliefs: Judaism, Christianity, Islam in Middle East; Philosophical Thoughts: Kabbalah, Rationalism; Historiography: Annals, Biographies; Major Battles: Battle of Karbala (680); Influential Leaders: Solomon, Harun al-Rashid; Languages & Writing Systems: Hebrew, Arabic; Legal Systems: Halakha, Ottoman law; Trade Networks: Incense Road, Silk Road; Currencies: Gold dinar, Silver dirham; Agricultural Practices: Irrigation, Dry farming.
75; Religions and Beliefs: Bön, Buddhism, Islam in Tibet; Philosophical Thoughts: Dzogchen, Shentong; Historiography: Teshrigchen; Major Battles: Battle of Chamdo (1950); Influential Leaders: Songtsen Gampo, Thubten Gyatso; Languages & Writing Systems: Tibetan, Classical Tibetan; Legal Systems: Tibetan law, Chinese law; Trade Networks: Tea Horse Road, Silk Road; Currencies: Tibetan silver, Chinese cash; Agricultural Practices: Nomadic pastoralism, Barley cultivation.
76; Religions and Beliefs: Shamanism, Ancestor worship, Confucianism in Korea; Philosophical Thoughts: Jeong Do Jeon, Seo Gyeong; Historiography: Samguk Sagi; Major Battles: Battle of Hakusukinoe (663); Influential Leaders: Goguryeo Dynasty, Joseon Dynasty; Languages & Writing Systems: Classical Korean, Hangul; Legal Systems: Gyeonggukdaejeon, Joseon law; Trade Networks: Korean Maritime trade, Silk Road; Currencies: Korean mun, Chinese cash; Agricultural Practices: Paddy fields, Intensive farming.
77; Religions and Beliefs: Candomblé, Umbanda, Christianity in Brazil; Philosophical Thoughts: Macumba, Xangô; Historiography: História da Civilização Brasileira; Major Battles: Battle of Tuiuti (1865); Influential Leaders: Pedro Álvares Cabral, Getúlio Vargas; Languages & Writing Systems: Portuguese, Tupi; Legal Systems: Brazilian law, Indigenous law; Trade Networks: Rubber trade, Coffee trade; Currencies: Brazilian Real, Gold; Agricultural Practices: Slash-and-burn, Cattle ranching.
78; Religions and Beliefs: Rastafari, Christianity, Islam in Jamaica; Philosophical Thoughts: Ital, Reincarnation; Historiography: Jamaican historiography; Major Battles: Battle of Las Chorreras (1657); Influential Leaders: Christopher Columbus, Norman Manley; Languages & Writing Systems: Jamaican Patois, English; Legal Systems: British law, Jamaican law; Trade Networks: Sugar trade, Banana trade; Currencies: Jamaican Dollar, British Pound; Agricultural Practices: Sugar cultivation, Banana cultivation.
79; Religions and Beliefs: Vodou, Christianity, Islam in Haiti; Philosophical Thoughts: Hoodoo, Vodun; Historiography: Histoire d'Haïti; Major Battles: Battle of Vertières (1803); Influential Leaders: Toussaint Louverture, Jean-Jacques Dessalines; Languages & Writing Systems: Haitian Creole, French; Legal Systems: Haitian law, Napoleonic code; Trade Networks: Coffee trade, Sisal trade; Currencies: Haitian Gourde, US Dollar; Agricultural Practices: Coffee cultivation, Sisal cultivation.</s>
80;  Religions and Beliefs: Shinto, Buddhism, Christianity in Japan; Philosophical Thoughts: Bushido, Confucianism; Historiography: Nihonshi; Major Battles: Battle of Sekigahara (1600); Influential Leaders: Tokugawa Ieyasu, Meiji Emperor; Languages & Writing Systems: Japanese, Chinese characters; Legal Systems: Japanese law, Chinese law; Trade Networks: Silk trade, Tea trade; Currencies: Japanese Yen, Spanish Dollar; Agricultural Practices: Rice paddy cultivation, Silk farming.
81; Religions and Beliefs: Hinduism, Islam, Christianity in India; Philosophical Thoughts: Yoga, Advaita; Historiography: Indian historiography; Major Battles: Battle of Plassey (1757); Influential Leaders: Akbar, Mahatma Gandhi; Languages & Writing Systems: Hindi, English; Legal Systems: Indian law, British law; Trade Networks: Spice trade, Textile trade; Currencies: Indian Rupee, British Rupee; Agricultural Practices: Wheat cultivation, Cotton cultivation.
82; Religions and Beliefs: Animism, Christianity, Islam in Congo; Philosophical Thoughts: Bantu philosophy, Ubuntu; Historiography: Congolese historiography; Major Battles: Battle of Bakongo (1641); Influential Leaders: Henry Morton Stanley, Patrice Lumumba; Languages & Writing Systems: Kikongo, Lingala, French; Legal Systems: Congolese law, Customary law; Trade Networks: Ivory trade, Diamond trade; Currencies: Congolese Franc, US Dollar; Agricultural Practices: Cassava cultivation, Plantain cultivation.
83; Religions and Beliefs: Tenrikyo, Buddhism, Shinto in Japan; Philosophical Thoughts: Taoism, Zen; Historiography: Modern Japanese historiography; Major Battles: Battle of Aizu (1868); Influential Leaders: Sakamoto Ryoma, Emperor Taisho; Languages & Writing Systems: Japanese, Chinese characters; Legal Systems: Japanese law, International law; Trade Networks: Automobile trade, Electronics trade; Currencies: Japanese Yen, US Dollar; Agricultural Practices: Rice paddy cultivation, Orchard farming.
84; Religions and Beliefs: Cao Dai, Buddhism, Christianity in Vietnam; Philosophical Thoughts: Vietnamese Confucianism, Legalism; Historiography: Vietnamese historiography; Major Battles: Battle of Dien Bien Phu (1954); Influential Leaders: Ho Chi Minh, Ngo Dinh Diem; Languages & Writing Systems: Vietnamese, Chinese characters; Legal Systems: Vietnamese law, French law; Trade Networks: Silk trade, Rice trade; Currencies: Vietnamese Dong, US Dollar; Agricultural Practices: Wet rice cultivation, Cashew cultivation.
85; Religions and Beliefs: Rastafari, Christianity, Islam in Trinidad and Tobago; Philosophical Thoughts: Pocomania, Shango; Historiography: Trinidadian historiography; Major Battles: Battle of Caroni (1797); Influential Leaders: Arthur Andrew Cipriani, Eric Williams; Languages & Writing Systems: Trinidadian English, Hindi; Legal Systems: Trinidadian law, British law; Trade Networks: Oil trade, Gas trade; Currencies: Trinidad and Tobago Dollar, US Dollar; Agricultural Practices: Cocoa cultivation, Citrus cultivation.
86; Religions and Beliefs: Confucianism, Taoism, Buddhism in China; Philosophical Thoughts: Mohism, Legalism; Historiography: Chinese historiography; Major Battles: Battle of Red Cliffs (208-209); Influential Leaders: Mao Zedong, Chiang Kai-shek; Languages & Writing Systems: Mandarin, Chinese characters; Legal Systems: Chinese law, Socialist law; Trade Networks: Porcelain trade, Tea trade; Currencies: Chinese Yuan, US Dollar; Agricultural Practices: Rice paddy cultivation, Silk farming.
87; Religions and Beliefs: Judaism, Christianity, Islam in Israel; Philosophical Thoughts: Kabbalah, Maimonides; Historiography: Israeli historiography; Major Battles: Six-Day War (1967); Influential Leaders: David Ben-Gurion, Golda Meir; Languages & Writing Systems: Hebrew, Arabic, English; Legal Systems: Israeli law, Jewish law; Trade Networks: Diamond trade, Fruit trade; Currencies: Israeli Shekel, US Dollar; Agricultural Practices: Wheat cultivation, Vegetable cultivation.
88; Religions and Beliefs: Santeria, Christianity, Islam in Cuba; Philosophical Thoughts: Afro-Cuban philosophy, Espiritismo; Historiography: Cuban historiography; Major Battles: Battle of San Lorenzo (1795); Influential Leaders: José Martí, Fidel Castro; Languages & Writing Systems: Spanish; Legal Systems: Cuban law, Socialist law; Trade Networks: Sugar trade, Tobacco trade; Currencies: Cuban Peso, US Dollar; Agricultural Practices: Sugar cultivation, Tobacco cultivation.
89; Religions and Beliefs: Baha'i, Shia Islam, Sunni Islam in Iran; Philosophical Thoughts: Illuminationism, Sophism; Historiography: Iranian historiography; Major Battles: Battle of Karbala (680); Influential Leaders: Cyrus the Great, Ruhollah Khomeini; Languages & Writing Systems: Persian, Arabic; Legal Systems: Iranian law, Islamic law; Trade Networks: Persian carpet trade, Caviar trade; Currencies: Iranian Rial, US Dollar; Agricultural Practices: Wheat cultivation, Barley cultivation.</s>
