;"""Country Name""";"""Continent""";"""Area (km2)""";"""Population""";"""Population Density""";"""Capital""";"""Latitude""";"""Longitude""";"""Climate""";"""Terrain""";"""Highest Point""";"""Major Rivers""";"""Major Lakes""";"""Official Language(s)""";"""Internet TLD"""
99;"""China"; Asia; 9596961; 1427647786; 148.98; Beijing; 39.9042; 116.4074; Temperate; Plateaus; Mountains; Mount Everest (8848 m); Yangtze, Yellow River; Qinghai;" Mandarin  .cn"""
100;"""Egypt"; Africa; 1001450; 100075452; 100.07; Cairo; 30.0444; 31.2357; Desert; Plains; Mountains; Catherine (2629 m); Nile; None;" Arabic  .eg"""
101;"""France"; Europe; 640679; 66991002; 104.54; Paris; 48.8566; 2.3522; Temperate; Mountains; Plains; Mont Blanc (4810 m); Seine; Lake Geneva;" French  .fr"""
102;"""India"; Asia; 3287590; 1366417754; 415.78; New Delhi; 28.6139; 77.209; Tropical; Plateaus; Mountains; Kanchenjunga (8586 m); Ganges, Indus; None;" Hindi, English  .in"""
103;"""Indonesia"; Asia; 1904569; 267910642; 140.64; Jakarta; -6.2146; 106.8452; Tropical; Islands; Mountains; Puncak Jaya (4884 m); None; None;" Indonesian  .id"""
104;"""Russia"; Europe, Asia; 17098246; 145561916; 8.51; Moscow; 55.7558; 37.6176; Arctic; Plains; Mountains; Elbrus (5642 m); Volga; Lake Baikal;" Russian  .ru""</s>"
105;" ""Australia"; Australia; 7692024; 25499852; 3.31; Canberra; -35.2809; 149.1300; Desert; Plateaus; Mountains; Kosciuszko (2228 m); Murray; None;" English  .au"""
106;"""Brazil"; South America; 8515767; 212559417; 24.97; Brasilia; -15.7797; -47.9292; Equatorial; Amazon Rainforest, Highlands; Pico da Neblina (2994 m); Amazon, Parana; None; Portuguese;" .br"""
107;"""Canada"; North America; 9984670; 37069544; 3.72; Ottawa; 45.4215; -75.6972; Arctic, Temperate; Plains, Mountains; Logan (5959 m); None; Great Bear Lake, Great Slave Lake; English, French;" .ca"""
108;"""China"; Asia; 9596961; 1429581274; 149.51; Beijing; 39.9042; 116.4074; Temperate; Plateaus, Mountains; Everest (8848 m); Yangtze, Yellow River; None; Chinese;" .cn"""
109;"""United States"; North America; 9833517; 332203397; 33.87; Washington D.C.; 38.8951; -77.0364; Arctic, Temperate; Plains, Mountains; Denali (6190 m); Mississippi, Missouri; None; English;" .us"""
110;"""Argentina"; South America; 2780400; 45373745; 16.32; Buenos Aires; -34.6037; -58.3816; Temperate; Patagonian Plains; Aconcagua (6960 m); Parana, Colorado; None; Spanish;" .ar"""
111;"""Algeria"; Africa; 2381741; 44705616; 18.77; Algiers; 36.7529; 3.0045; Mediterranean, Desert; Mountains; Tahat (3003 m); Nile, Chelif; None; Arabic;" .dz"""
112;"""Kazakhstan"; Europe, Asia; 2724902; 18915441; 6.93; Nur-Sultan; 51.1657; 71.4167; Temperate; Steppe, Mountains; Khan Tengri (7010 m); None; Aral Sea; Kazakh, Russian;" .kz"""
113;"""Mexico"; North America; 1972550; 128925407; 65.42; Mexico City; 19.4326; -99.1332; Temperate, Tropical; Plateaus, Mountains; Orizaba (5636 m); Bravo; None; Spanish;" .mx"""
114;"""France"; Europe; 643801; 65273512; 101.47; Paris; 48.8566; 2.3522; Temperate; Plateaus, Mountains; Mont Blanc (4809 m); Seine, Loire; Mediterranean Sea, Atlantic Ocean; French;" .fr""</s>"
115;" ""India"; Asia; 3287263; 1366417754; 415.62; New Delhi; 28.6139; 77.2090; Tropical, Alpine; Plateaus, Mountains; Kangchenjunga (8586 m); Ganges, Brahmaputra; Bay of Bengal, Arabian Sea; Hindi, English;" .in"""
116;"""China"; Asia; 9596961; 1430108522; 149.21; Beijing; 39.9042; 116.4074; Temperate, Tropical; Plateaus, Mountains; Mount Everest (8848 m); Yangtze, Yellow; None; Mandarin;" .cn"""
117;"""Algeria"; Africa; 2381741; 42248007; 17.74; Algiers; 36.7529; 3.0573; Temperate, Desert; Mountains, Plateaus; Tahat (3003 m); Nile; None; Arabic;" .dz"""
118;"""Argentina"; South America; 2766890; 44271041; 15.98; Buenos Aires; -34.6037; -58.3816; Temperate, Cold; Plateaus, Mountains; Aconcagua (6959 m); de la Plata; None; Spanish;" .ar"""
119;"""Russia"; Europe, Asia; 17098246; 145734462; 8.52; Moscow; 55.7558; 37.6176; Temperate, Arctic; Plateaus, Mountains; El'brus (5642 m); Volga, Yenisey; Caspian Sea, Arctic Ocean; Russian;" .ru"""
120;"""Colombia"; South America; 1138910; 50358296; 44.19; Bogotá; 4.6097; -74.0818; Tropical, Alpine; Plateaus, Mountains; Pico Cristóbal Colón (5775 m); Magdalena, Cauca, Orinoco; None; Spanish;" .co"""
121;"""Iran"; Asia; 1648195; 82021359; 49.78; Tehran; 35.6892; 51.3890; Temperate, Arid; Plateaus, Mountains; Damavand (5610 m); Karun; None; Persian;" .ir"""
122;"""Turkey"; Asia, Europe; 780580; 82004963; 104.88; Ankara; 39.9334; 32.8597; Temperate, Mediterranean; Plateaus, Mountains; Ararat (5137 m); Euphrates, Tigris, Kizilirmak; Black Sea, Mediterranean; Turkish;" .tr"""
123;"""South Africa"; Africa; 1219912; 58929980; 48.28; Pretoria; -25.7464; 28.1880; Temperate, Desert; Plateaus, Mountains; Njesuti (3408 m); Limpopo, Orange; Indian Ocean, Atlantic Ocean; Afrikaans, English, Zulu, Xhosa, Southern Sotho, Tswana, Northern Sotho, Tsonga, Swazi, Venda;" .za"""
124;"""Saudi Arabia"; Asia; 2149690; 33773353; 15.71; Riyadh; 24.6364; 46.7101; Desert; Plateaus, Mountains; Jabal Sawda (3133 m); None; Persian Gulf, Red Sea; Arabic;" .sa""</s>"
125;" ""Afghanistan"; Asia; 652230; 37172386; 56.98; Kabul; 34.5298; 69.1761; Arid, Semi-arid; Mountains; Nowshak (7492 m); Amu Darya, Helmand; None; Pashto, Afghan Persian, Turkmen, Uzbek, English;" .af"""
126;"""Algeria"; Africa; 2381741; 42248000; 17.70; Algiers; 36.7533; 3.0569; Mediterranean, Arid, Semi-arid; Mountains, Highlands, Plateaus; Tahat (3003 m); Chelif, Rhumel; Mediterranean Sea; Arabic, Berber;" .dz"""
127;"""Argentina"; South America; 2780400; 44271041; 15.89; Buenos Aires; -34.6131; -58.4167; Temperate; Plateaus, Mountains, Grasslands; Aconcagua (6962 m); Parana, Uruguay, Colorado, Salado; Argentino, Viedma; Spanish;" .ar"""
128;"""Australia"; Australia; 7692024; 25102545; 3.27; Canberra; -35.2809; 149.1287; Desert, Temperate; Plateaus, Mountains, Coastal Plains; Kosciuszko (2228 m); Murray-Darling, Murrumbidgee; None; English;" .au"""
129;"""Brazil"; South America; 8514877; 211055323; 24.78; Brasilia; -15.7797; -47.9297; Equatorial, Tropical, Semi-arid; Amazon Rainforest, Savanna, Highlands; Aconcagua (6962 m); Amazon, Parana, Sao Francisco; Amazon, Maracaibo; Portuguese;" .br"""
130;"""China"; Asia; 9596961; 1427730428; 148.84; Beijing; 39.9042; 116.4074; Temperate, Tropical; Plateaus, Mountains, Basins; Everest (8848 m); Yangtze, Yellow, Pearl; Qinghai, Poyang, Dongting; Standard Chinese, Mongolian, Tibetan, Uighur, Cantonese;" .cn"""
131;"""India"; Asia; 3287263; 1354051854; 412.79; New Delhi; 28.6047; 77.1979; Tropical, Desert, Alpine; Plateaus, Mountains, Coastal Plains; Kanchenjunga (8598 m); Ganges, Brahmaputra, Indus; Wular, Dal, Kolleru, Vembanad; Hindi, English, Bengali, Telugu, Marathi, Tamil, Urdu, Gujarati, Malayalam, Kannada;" .in"""
132;"""Russia"; Europe, Asia; 17098242; 145934462; 8.54; Moscow; 55.7539; 37.6166; Arctic, Subarctic, Temperate; Plains, Mountains, Tundra; Elbrus (5642 m); Ob, Volga, Amur, Lena; Caspian, Baikal; Russian;" .ru"""
133;"""United States"; North America; 9629091; 331002651; 34.61; Washington D.C.; 38.8939; -77.0215; Arctic, Temperate, Desert; Mountains, Plains, Valleys; Denali (6191 m); Mississippi, Missouri, Colorado, Rio Grande; Great Lakes, Superior, Michigan, Huron, Erie, Ontario; English;" .us"""
134;"""Canada"; North America; 9984670; 37006803; 3.71; Ottawa; 45.4374; -75.6854; Arctic, Subarctic, Temperate; Mountains, Plains, Valleys; Logan (5959 m); Saint Lawrence, Mackenzie; Great Lakes, Superior; English, French;" .ca""</s>"
135;" ""China"; Asia; 9596961; 1435790326; 149.84; Beijing; 39.9042; 116.4074; Arctic, Temperate, Subtropical; Plains, Mountains, Basins; Everest (8849 m); Yangtze, Yellow, Pearl; Qinghai, Tai; Chinese, Mongolian, Tibetan;" .cn"""
136;"""Brazil"; South America; 8511965; 214091367; 25.15; Brasilia; -15.7791; -47.9219; Equatorial, Tropical, Semiarid; Rainforests, Savannas, Plateaus; Pico da Neblina (3014 m); Amazonas, Parana, Sao Francisco; Titicaca, Maracaibo; Portuguese;" .br"""
137;"""India"; Asia; 3287263; 1393409038; 422.5; New Delhi; 28.6177; 77.2075; Arctic, Subtropical, Tropical; Plains, Mountains, Coastal; Kanchenjunga (8586 m); Ganges, Indus, Brahmaputra; Wular, Chilika; Hindi, English;" .in"""
138;"""Indonesia"; Asia, Australia; 1904569; 276864011; 145.35; Jakarta; -6.1815; 106.7974; Equatorial; Islands, Mountains, Plateaus; Puncak Jaya (4884 m); Kapuas, Barito, Sepik; Toba, Poso; Indonesian;" .id"""
139;"""Pakistan"; Asia; 881912; 228193787; 258.54; Islamabad; 33.7279; 73.0842; Arctic, Subtropical, Tropical; Mountains, Plains, Deserts; K2 (8611 m); Indus; Manchar, Keenjhar; Urdu, English;" .pk"""
140;"""Australia"; Australia; 7692024; 25475400; 3.31; Canberra; -35.2768; 149.1252; Desert, Equatorial, Subtropical; Plains, Deserts, Plateaus; Kosciuszko (2228 m); Murray-Darling; Eyre, Torrens; English;" .au"""
141;"""Argentina"; South America; 2766890; 44686184; 16.16; Buenos Aires; -34.567; -58.4327; Arctic, Subantarctic, Temperate; Plains, Patagonian Desert, Andes; Aconcagua (6962 m); Parana, Pilcomayo, Uruguay; Argentino, Viedma; Spanish;" .ar"""
142;"""Algeria"; Africa; 2381740; 44713381; 18.76; Algiers; 36.7482; 3.0408; Arid, Semi-arid, Mediterranean; Plains, Atlas Mountains, Sahara Desert; Tahat (3003 m); Nile, Niger; Chott Melrhir; Arabic;" .dz"""
143;"""Democratic Republic of the Congo"; Africa; 2344858; 90543126; 38.64; Kinshasa; -4.3144; 15.2956; Equatorial; Rainforests, Plains, Mountains; Kahuzi (5109 m); Congo; Upemba, Tanganyika; French, Lingala, Swahili;" .cd"""
144;"""Mexico"; North America; 1964375; 132454561; 67.43; Mexico City; 19.4245; -99.1336; Tropical, Desert, Temperate; Plains, Mountains, Coastal; Orizaba (5636 m); Bravo, Colorado, Grijalva; Chapala, Lake of Mexico; Spanish, Nahuatl, Mayan;" .mx""</s>"
145;" ""Australia"; Australia; 7692024; 25499851; 3.32; Canberra; -35.2809; 149.1287; Desert, Temperate; Plains, Mountains, Coastal; Kosciuszko (2228 m); Murray, Darling; Eyre, Lake Torrens; English;" .au"""
146;"""Brazil"; South America; 8514877; 214091212; 25.15; Brasilia; -15.7797; -47.9297; Equatorial; Rainforests, Plains, Mountains; Aconcagua (6962 m); Amazonas, Parana, Tocantins; Titicaca, Maracaibo; Portuguese;" .br"""
147;"""China"; Asia; 9596960; 1439323776; 150.06; Beijing; 39.9042; 116.4074; Temperate, Subarctic, Tropical; Plains, Mountains, Coastal; Everest (8848 m); Yangtze, Yellow, Pearl; Qinghai, Poyang; Mandarin, Wu, Min;" .cn"""
148;"""Egypt"; Africa; 1001450; 105056212; 104.9; Cairo; 30.0518; 31.2353; Desert, Mediterranean; Plains, Delta, Mountains; Kebnekaise (2097 m); Nile; Nasser, Manzala; Arabic;" .eg"""
149;"""France"; Europe; 640679; 67061968; 104.69; Paris; 48.8566; 2.3522; Temperate; Plains, Mountains, Coastal; Mont Blanc (4810 m); Rhone, Loire, Seine; Geneva, Lac d'Annecy; French;" .fr"""
150;"""India"; Asia; 3287263; 1380004385; 421.31; New Delhi; 28.6139; 77.209; Subtropical, Temperate; Plains, Mountains, Coastal; Kangchenjunga (8586 m); Ganges, Indus, Brahmaputra; Wular, Dal, Vembanad; Hindi, Bengali, English;" .in"""
151;"""Russia"; Europe/Asia; 17098246; 145934462; 8.52; Moscow; 55.7512; 37.6176; Subarctic, Arctic, Temperate; Plains, Mountains, Taiga; Elbrus (5642 m); Volga, Ob, Yenisey; Baikal, Ladoga; Russian;" .ru"""
152;"""South Africa"; Africa; 1219090; 59308690; 48.64; Pretoria; -25.7372; 28.1893; Temperate, Subtropical; Plains, Highveld, Coastal; Mafadi (3450 m); Orange, Limpopo; Malawi, Tugela; Afrikaans, English, Zulu;" .za"""
153;"""United States"; North America; 9826675; 331449281; 33.84; Washington D.C.; 38.9058; -77.0369; Arctic, Temperate, Desert; Plains, Mountains, Coastal; Denali (6190 m); Colorado, Yukon, Mississippi; Great Salt, Superior, Huron; English;" .us"""
154;"""Argentina"; South America; 2780400; 45376763; 16.3; Buenos Aires; -34.6092; -58.3772; Temperate, Subpolar; Plains, Patagonian Desert, Andes; Aconcagua (6962 m); Parana, Colorado, Pilcomayo; Argentino, Viedma; Spanish;" .ar""</s>"
155;" ""Brazil"; South America; 8511965; 214479978; 25.21; Brasilia; -15.7797; -47.9297; Equatorial, Tropical, Semiarid; Plains, Amazon Forest, Mato Grosso Plateau; Pico da Neblina (3014 m); Amazonas, Parana, Sao Francisco; Titicaca, Maracaibo; Portuguese;" .br"""
156;"""China"; Asia; 9572900; 143415047; 149.89; Beijing; 39.9042; 116.4074; Temperate, Subarctic; Plains, Mountains, Gobi Desert; Mount Everest (8848 m); Yangtze, Yellow, Yangtze; Qinghai, Poyang, Taihu; Standard Chinese, Mongolian, Tibetan;" .cn"""
157;"""India"; Asia; 3287263; 1393409038; 424.21; New Delhi; 28.6182; 77.2276; Tropical, Arid; Plains, Mountains, Coastal; Kanchenjunga (8586 m); Ganges, Indus, Brahmaputra; Wular, Dal, Sambhar; Hindi, English, Bengali;" .in"""
158;"""Russia"; Europe, Asia; 17098246; 146934712; 8.6; Moscow; 55.7522; 37.6176; Arctic, Subarctic, Temperate; Plains, Mountains, Tundra; Mount Elbrus (5642 m); Ob, Yenisey, Lena, Volga; Baikal, Ladoga, Onega; Russian;" .ru"""
159;"""Canada"; North America; 9976140; 37694085; 3.79; Ottawa; 45.4098; -75.7004; Arctic, Subarctic, Temperate; Plains, Mountains, Tundra; Mount Logan (5959 m); Mackenzie, Yukon, St. Lawrence; Great Bear, Great Slave, Winnipeg; English, French;" .ca"""
160;"""Australia"; Australia; 7692024; 25449882; 3.31; Canberra; -35.2671; 149.1497; Desert, Mediterranean; Plains, Low mountains; Mount Kosciuszko (2228 m); Murray-Darling, Murrumbidgee; Eyre, Torrens; English;" .au"""
161;"""Indonesia"; Asia; 1904569; 276917797; 145.44; Jakarta; -6.2043; 106.8322; Tropical; Islands, Volcanoes; Puncak Jaya (4884 m); Kapuas, Barito, Mamberamo; Toba, Poso, Singkarak; Indonesian;" .id"""
162;"""Algeria"; Africa; 2381741; 44718123; 18.8; Algiers; 36.7625; 3.0502; Mediterranean, Arid; Plains, Atlas Mountains, Sahara Desert; Tahat (3003 m); Shari, Chelif, Tafna; Chott Melrhir, Ouidja; Arabic;" .dz"""
163;"""Mexico"; North America; 1964375; 132426254; 67.32; Mexico City; 19.4247; -99.1479; Tropical, Desert; Plains, Mountains, Coastal; Citlaltépetl (5636 m); Grijalva, Bravo, Lerma; Chapala, Cuitzeo, Pátzcuaro; Spanish;" .mx"""
164;"""France"; Europe; 643801; 67086627; 104.36; Paris; 48.8603; 2.3327; Temperate, Oceanic; Plains, Mountains, Coastal; Mont Blanc (4810 m); Seine, Loire, Garonne; Lac Léman, Lac d'Annecy, Étang de Berre; French;" .fr""</s>"
165;" ""India"; Asia; 3287263; 1393409038; 424.58; New Delhi; 28.6139; 77.209; Tropical, Arid; Plains, Mountains, Coastal; Kangchenjunga (8586 m); Ganges, Indus, Brahmaputra; Wular, Dal, Sambhar; Hindi, English;" .in"""
166;"""China"; Asia; 9596961; 1439323776; 150.39; Beijing; 40.1823; 116.388; Temperate, Tropical; Plains, Mountains, Coastal; Everest (8848 m); Yangtze, Yellow, Pearl; Poyang, Dongting, Qinghai; Mandarin;" .cn"""
167;"""Russia"; Europe/Asia; 17098242; 145934462; 8.52; Moscow; 55.7558; 37.6176; Temperate, Arctic; Plains, Mountains, Coastal; El'brus (5642 m); Volga, Lena, Ob; Baikal, Ladoga, Onega; Russian;" .ru"""
168;"""Canada"; North America; 9984670; 37410006; 3.75; Ottawa; 45.4107; -75.695; Continental, Arctic; Plains, Mountains, Coastal; Mount Logan (5959 m); Mackenzie, St. Lawrence, Saskatchewan; Great Bear, Great Slave, Winnipeg; English, French;" .ca"""
169;"""United States"; North America; 9629091; 331002651; 34.48; Washington D.C.; 38.8947; -77.0359; Continental, Arctic; Plains, Mountains, Coastal; Denali (6190 m); Mississippi, Missouri, Colorado; Superior, Huron, Michigan; English;" .us"""
170;"""Indonesia"; Asia; 1910931; 273523615; 143.18; Jakarta; -6.2146; 106.8452; Tropical; Islands, Mountains, Coastal; Puncak Jaya (4884 m); Sepik, Mamberamo, Fly; Toba, Poso, Towuti; Indonesian;" .id"""
171;"""Brazil"; South America; 8515767; 212559417; 25.01; Brasilia; -15.7797; -47.9297; Tropical; Amazon Rainforest, Plains, Coastal; Aconcagua (6962 m); Amazonas, Parana, Sao Francisco; Maracaibo, Titicaca, Tanganyika; Portuguese;" .br"""
172;"""Argentina"; South America; 2780400; 45376763; 16.33; Buenos Aires; -34.6037; -58.3772; Temperate, Arid; Plains, Patagonia, Andes; Aconcagua (6962 m); Parana, Pilcomayo, Bermejo; Buenos Aires, Argentino, Fagnano; Spanish;" .ar"""
173;"""Australia"; Australia; 7688287; 25475400; 3.31; Canberra; -35.2773; 149.1244; Desert, Mediterranean; Plains, Low Mountains, Coastal; Kosciuszko (2228 m); Murray-Darling, Murrumbidgee, Snowy; Eyre, Torrens, Carpentaria; English;" .au"""
174;"""South Africa"; Africa; 1221037; 59308690; 48.56; Pretoria; -25.7366; 28.188; Desert, Mediterranean; Plains, Highveld, Coastal; Koma (3450 m); Limpopo, Orange, Vaal; Malawi, Tanganyika, Kariba; Afrikaans, English, Zulu, Xhosa, Swazi, Ndebele, Southern Sotho, Tsonga, Tswana, Venda;" .za""</s>"
175;" ""Brazil"; South America; 8515767; 212559417; 24.97; Brasilia; -15.7797; -47.9297; Tropical, Temperate; Amazonia, Caatinga, Cerrado, Atlantic Forest, Pampas, Pantanal; Aconcagua (6962 m); Amazonas, Parana, Sao Francisco; Maracaibo, Titicaca, Argentino; Portuguese;" .br"""
176;"""Canada"; North America; 9984670; 37797394; 3.79; Ottawa; 55.1452; -107.3932; Arctic, Subarctic, Temperate; Tundra, Boreal Forest, Plains, Mountains; Logan (5959 m); Yukon, Mackenzie, Nelson, Saskatchewan, St. Lawrence; Great Bear, Great Slave, Winnipeg, Huron, Superior; English, French;" .ca"""
177;"""China"; Asia; 9596961; 1443586491; 150.64; Beijing; 40.1823; 116.388; Subtropical, Temperate, Arid; Plains, Mountains, Desert, Coastal; Everest (8848 m); Yangtze, Yellow, Pearl, Amur, Mekong, Brahmaputra; Qinghai, Tibet, Superior, Victoria, Baikal; Mandarin, Wu, Min, Xiang, Gan, Hakka, Cantonese;" .cn"""
178;"""India"; Asia; 3287244; 1380802385; 420.09; New Delhi; 28.3949; 77.1025; Tropical, Arid; Plains, Desert, Coastal; Kangchenjunga (8586 m); Ganges, Indus, Brahmaputra, Godavari, Krishna; Wular, Dal, Sambhar, Chilika, Pulicat; Hindi, English, Bengali, Telugu, Marathi, Tamil, Urdu, Gujarati, Malayalam, Kannada, Oriya, Punjabi, Assamese, Maithili, Nepali, Sindhi, Sanskrit, Konkani, Dogri, Santali, Bodo, Manipuri, English, Assamese, Maithili, Nepali, Sindhi, Sanskrit, Konkani, Dogri, Santali, Bodo, Manipuri, Santhali, Tibetan, Oriya, Kashmiri, Meitei (Manipuri), Maithili, Konkani, English;" .in"""
179;"""Indonesia"; Asia; 1919440; 276361526; 144.06; Jakarta; -6.2088; 106.8456; Tropical; Islands, Mountains; Puncak Jaya (4884 m); Kapuas, Barito, Sepik, Mamberamo, Fly; Toba, Poso, Singkarak, Todal, Paniai; Indonesian;" .id"""
180;"""Russia"; Europe, Asia; 17098242; 145934462; 8.53; Moscow; 55.4478; 37.359; Arctic, Subarctic, Temperate; Tundra, Taiga, Steppe, Mountains, Coastal; Elbrus (5633 m); Ob, Yenisey, Lena, Amur, Volga, Kolyma, Pechora, Tunguska, Indigirka, Northern Dvina; Baikal, Ladoga, Onega; Russian;" .ru"""
181;"""United States"; North America; 9629091; 332976541; 34.64; Washington D.C.; 38.8951; -77.0364; Arctic, Subarctic, Temperate, Desert; Tundra, Taiga, Plains, Mountains, Coastal; Denali (6191 m); Mississippi, Missouri, Yukon, Colorado, Rio Grande, St. Lawrence; Great Lakes, Superior, Huron, Michigan, Erie; English;" .us"""
182;" ""Brazil"; South America; 8514877; 214027336; 25.14; Brasilia; -15.7801; -47.9292; Equatorial, Tropical, Semiarid; Rainforest, Savanna, Mountains, Coastal; Pico da Neblina (2994 m); Amazon, Parana, Madeira, Sao Francisco; Amazon, Titicaca, Maracaibo; Portuguese;" .br"""
183;"""China"; Asia; 9572900; 1444156801; 150.87; Beijing; 39.5502; 116.2307; Temperate, Subarctic; Plains, Deserts, Mountains, Gobi; Everest (8848 m); Yangtze, Yellow, Pearl, Amur, Heilong, Brahmaputra, Irtysh; Qinghai, Poyang, Dongting, Hongze, Taihu, Hulun, Ulhanbator; Mandarin, Wu, Min, Xiang, Gan, Hakka, Yue;" .cn"""
184;"""India"; Asia; 3287590; 1393409038; 424.05; New Delhi; 28.3949; 77.1025; Subtropical, Tropical; Plains, Deserts, Mountains, Coastal; Kanchenjunga (8586 m); Ganges, Indus, Godavari, Brahmaputra, Yamuna, Narmada, Mahanadi; Wular, Dal, Sarda, Chilika, Pulicat, Vembanad; Hindi, Bengali, Telugu, Marathi, Tamil, Urdu, Gujarati, Malayalam, Kannada, Oriya, Punjabi, Assamese, Maithili, Nepali, Sanskrit;" .in"""
185;"""Argentina"; South America; 2766890; 44688814; 16.15; Buenos Aires; -34.6037; -58.3816; Temperate; Plains, Patagonia, Andes; Aconcagua (6959 m); Parana, Paraguay, Pilcomayo, Uruguay, Salado, Colorado, Bermejo, Santa Cruz; Buenos Aires, Argentino, Viedma, San Roque, Colhue Huapi, Nahuel Huapi, O'Higgins; Spanish;" .ar"""
186;"""Algeria"; Africa; 2381741; 43299827; 18.19; Algiers; 36.7529; 3.0015; Mediterranean, Semiarid, Arid; Plains, Atlas Mountains, Sahara; Tahat (3003 m); Shari, Chelif, Tafna, Medjerda, Soummam, Moulouya, Seybouse; Shirwoh, Ouanza; Arabic;" .dz"""
187;"""Mexico"; North America; 1943950; 132456608; 68.16; Mexico City; 19.2547; -99.1074; Tropical, Desert; Plains, Mountains, Coastal; Orizaba (5675 m); Rio Grande, Yaqui, Lerma, Grijalva, Balsas, Papaloapan, Coatzacoalcos; Chapala, Cuitzeo, Patzcuaro; Spanish;" .mx"""
188;"""Philippines"; Asia; 300000; 106817657; 356.06; Manila; 14.5727; 120.9742; Tropical; Islands; Apo (2952 m); Pasig, Agno, Abra, Pampanga, Rio Grande de Cagayan, Mindanao; Laguna de Bay, Sultan Damin, Lanao, Taal, Buluan; Filipino, English;" .ph"""
189;"""Saudi Arabia"; Asia; 2149690; 34312571; 15.95; Riyadh; 24.6868; 46.7167; Subtropical, Arid; Plains, Deserts, Mountains; Jabal Sawda (3133 m); Euphrates, Tigris, Nile, Jordan, Wadi Al Dawasir; Dead Sea, Tiberiades, Aral, Issyk-Kul; Arabic;" .sa"""
190;"""DRC"; Africa; 2345409; 91868137; 39.18; Kinshasa; -4.3333; 15.2833; Equatorial; Rainforest, Mountains, Plains, Coastal; Pic Marguerite (5110 m); Congo, Lualaba, Ubangi, Kasai, Sangha, Kwango; Tanganyika, Mweru, Upemba, Kivu, Mai-Ndombe; French, Lingala, Kongo, Swahili;" .cd"""
191;"""Australia"; Australia; 7617930; 25299630; 3.31; Canberra; -35.2692; 149.1288; Desert, Mediterranean, Subtropical; Plains, Mountains, Coastal; Kosciuszko (2228 m); Murray, Darling, Murrumbidgee, Swan, Fly; Eyre, Torrens, Lake Amadeus, Lake Eyre, Lake Frome, Carnegie; English;" .au""</s>"
