;Language Name; Language Family; Origin; Script; Speakers; Native Speakers; Official Language; Writing System; Grammar; Vocabulary; Syntax; Semantics; Pragmatics; Language Code
83;English, Indo-European, Germanic; United Kingdom, United States, Canada, Australia, Ireland, New Zealand, South Africa, Jamaica, Trinidad and Tobago, Barbados, Belize, Grenada, Guyana, Mauritius, Saint Lucia, Saint Vincent and the Grenadines, Antigua and Barbuda, Dominica, Grenada, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and the Grenadines, Timor-Leste; Latin script; 379 million; 339 million; Yes, in many countries; Alphabetic; Inflected, flexible word order; Rich, Germanic roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-dependent grammar; Predicate logic, semantics; `eng`
84;Hindi, Indo-European, Indo-Iranian, Central Zone; India, Nepal, Fiji, Guyana, Suriname, Trinidad and Tobago, Mauritius; Devanagari script; 341 million; 260 million; Yes, in India, Nepal, and several other countries; Abugida; Inflected, flexible word order; Rich, Indo-Aryan roots; Subject-Object-Verb; Subject-Object-Verb; Rule-based, context-dependent grammar; Predicate logic, semantics; `hin`
85;Bengali, Indo-European, Indo-Iranian, Eastern Zone; Bangladesh, India; Bengali script; 228 million; 221 million; Yes, in Bangladesh and India; Abugida; Inflected, flexible word order; Rich, Indo-Aryan roots; Subject-Object-Verb; Subject-Object-Verb; Rule-based, context-dependent grammar; Predicate logic, semantics; `ben`
86;Portuguese, Indo-European, Romance; Portugal, Brazil, Angola, Mozambique, Cape Verde, Guinea-Bissau, São Tomé and Príncipe, East Timor, Equatorial Guinea, Macau, and many other countries; Latin script; 258 million; 221 million; Yes, in Portugal, Brazil, and several African countries; Alphabetic; Inflected, flexible word order; Rich, Latin roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-dependent grammar; Predicate logic, semantics; `por`
87;Urdu, Indo-European, Indo-Iranian, Central Zone; Pakistan, India; Perso-Arabic script; 64 million; 64 million; Yes, in Pakistan, India; Abjad; Inflected, flexible word order; Rich, Indo-Aryan roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-dependent grammar; Predicate logic, semantics; `urd`
88;Japanese, Japonic; Japan; Hiragana, Katakana, Chinese characters (Kanji); 128 million; 122 million; Yes, in Japan; Syllabary; Inflected, flexible word order; Rich, isolating roots; Subject-Object-Verb; Subject-Object-Verb; Rule-based, context-dependent grammar; Predicate logic, semantics; `jpn`
89;Punjabi, Indo-European, Indo-Iranian, Central Zone; India, Pakistan; Gurmukhi script (Shahmukhi script in Pakistan); 118 million; 102 million; Yes, in India and Pakistan; Abugida; Inflected, flexible word order; Rich, Indo-Aryan roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-dependent grammar; Predicate logic, semantics; `pan`</s>
90; Turkish, Turkic; Turkey, Cyprus, Germany, Bulgaria, and other countries; Latin alphabet (Having been adapted to the phonology of Turkish); 88 million; 75 million; Yes, in Turkey; Alphabet; Agglutinative, flexible word order; Rich, agglutinative roots; Subject-Object-Verb; Subject-Object-Verb; Rule-based, context-dependent grammar; Predicate logic, semantics; `tur`
91;Korean, Koreanic; South Korea, North Korea; Hangul, Hanja (Chinese characters); 77 million; 72 million; Yes, in South Korea and North Korea; Alphabetic; Agglutinative, flexible word order; Rich, agglutinative roots; Subject-Object-Verb; Subject-Object-Verb; Rule-based, context-dependent grammar; Predicate logic, semantics; `kor`
92;Russian, Indo-European, Slavic; Russia, Belarus, Kazakhstan, Ukraine, and other countries; Cyrillic; 154 million; 111 million; Yes, in Russia and 4 other countries; Alphabet; Inflected, flexible word order; Rich, fusional roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-dependent grammar; Predicate logic, semantics; `rus`
93;Italian, Indo-European, Romance; Italy, San Marino, Vatican City, Switzerland; Latin alphabet; 63 million; 55 million; Yes, in Italy; Alphabet; Inflected, flexible word order; Rich, fusional roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-dependent grammar; Predicate logic, semantics; `ita`
94;French, Indo-European, Romance; France, Switzerland, Canada, Haiti, and other countries; Latin alphabet; 80 million; 72 million; Yes, in France and 28 other countries; Alphabet; Inflected, flexible word order; Rich, fusional roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-dependent grammar; Predicate logic, semantics; `fra`
95;German, Indo-European, Germanic; Germany, Austria, Switzerland, Liechtenstein, Luxembourg, and Belgium; Latin alphabet; 100 million; 75 million; Yes, in Germany and 4 other countries; Alphabet; Inflected, flexible word order; Rich, fusional roots; Subject-Object-Verb; Subject-Object-Verb; Rule-based, context-dependent grammar; Predicate logic, semantics; `deu`
96;Polish, Indo-European, Slavic; Poland; Latin alphabet; 46 million; 39 million; Yes, in Poland; Alphabet; Inflected, flexible word order; Rich, fusional roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-dependent grammar; Predicate logic, semantics; `pol`
97;Vietnamese, Austroasiatic, Mon-Khmer, Vietic; Vietnam; Latin alphabet with additional diacritics for tones; 98 million; 98 million; Yes, in Vietnam; Alphabet; Monosyllabic, fixed word order; Rich, isolating roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-dependent grammar; Predicate logic, semantics; `vie`
98;Thai, Tai-Kadai, Kra-Dai, Kam-Tai; Thailand; Thai script; 66 million; 66 million; Yes, in Thailand; Abugida; Monosyllabic, fixed word order; Rich, isolating roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-dependent grammar; Predicate logic, semantics; `tha`
99;Indonesian, Austronesian; Indonesia; Latin alphabet; 170 million; 43 million; Yes, in Indonesia; Alphabet; Inflected, flexible word order; Rich, isolating roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-dependent grammar; Predicate logic, semantics; `ind`</s>
100; Tagalog, Austronesian, Philippine, Central Philippine; Philippines; Latin alphabet; 77 million; 24 million; Yes, in Philippines; Alphabet; Inflected, flexible word order; Rich, isolating roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-dependent grammar; Predicate logic, semantics; `tpl`
101;Cebuano, Austronesian, Philippine, Central Philippine; Philippines; Latin alphabet; 42 million; 21 million; No; Alphabet; Inflected, flexible word order; Rich, isolating roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-dependent grammar; Predicate logic, semantics; `ceb`
102;Javanese, Austronesian, Malayo-Polynesian, Java-Bali; Indonesia; Latin alphabet; 84 million; 38 million; Yes, in Indonesia; Alphabet; Inflected, flexible word order; Rich, isolating roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-dependent grammar; Predicate logic, semantics; `jav`
103;Sundanese, Austronesian, Malayo-Polynesian, Sundanese; Indonesia; Latin alphabet; 41 million; 34 million; No; Alphabet; Inflected, flexible word order; Rich, isolating roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-dependent grammar; Predicate logic, semantics; `sun`
104;Malay, Austronesian, Malayo-Polynesian; Malaysia; Latin alphabet; 290 million; 77 million; Yes, in Malaysia; Alphabet; Inflected, flexible word order; Rich, isolating roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-dependent grammar; Predicate logic, semantics; `may`
105;Min Nan, Sino-Tibetan, Chinese; China; Chinese characters; 27 million; 27 million; No; Logographic; Inflected, flexible word order; Rich, isolating roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-dependent grammar; Predicate logic, semantics; `nan`
106;Hakka, Sino-Tibetan, Chinese; China; Chinese characters; 48 million; 48 million; No; Logographic; Inflected, flexible word order; Rich, isolating roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-dependent grammar; Predicate logic, semantics; `hak`
107;Korean, Koreanic, Korean; Korea, North and South; Hangul script, Hanja (Chinese characters); 80 million; 50 million; Yes, in South Korea; Alphasyllabary; Agglutinative, flexible word order; Rich, isolating roots; Subject-Object-Verb; Subject-Object-Verb; Rule-based, context-dependent grammar; Predicate logic, semantics; `kor`
108;Japanese, Japanese-Ryukyuan, Japanese; Japan; Hiragana, Katakana, Chinese characters; 130 million; 122 million; Yes, in Japan; Syllabic, logographic; Agglutinative, flexible word order; Rich, isolating roots; Subject-Object-Verb; Subject-Object-Verb; Rule-based, context-dependent grammar; Predicate logic, semantics; `jpn`
109;Mandarin, Sino-Tibetan, Chinese; China; Chinese characters; 1.3 billion; 1.1 billion; Yes, in China; Logographic; Agglutinative, flexible word order; Rich, isolating roots; Subject-Verb-Object; Subject-Verb-Object; Rule-based, context-dependent grammar; Predicate logic, semantics; `cmn`</s>
