;Air\_Quality;Water\_Cleanliness;Species\_Count;Forest\_Area\_km2;Biodiversity\_Index;Avg\_Temperature_C;Avg\_Rainfall\_mm;Soil\_Health\_Index;Pollution\_Level;Population\_Density;Legislation\_Status;Public\_Engagement\_Score
86;Air_Quality: Poor; Water_Cleanliness: Fair; Species_Count: 4900; Forest_Area_km2: 2800; Biodiversity_Index: 7.1; Avg_Temperature_C: 34; Avg_Rainfall_mm: 950; Soil_Health_Index: 5.7; Pollution_Level: High; Population_Density: 2250; Legislation_Status: Pending; Public_Engagement_Score: 66.
87;Air_Quality: Good; Water_Cleanliness: Excellent; Species_Count: 9300; Forest_Area_km2: 5800; Biodiversity_Index: 10.3; Avg_Temperature_C: 9; Avg_Rainfall_mm: 2500; Soil_Health_Index: 9.2; Pollution_Level: Low; Population_Density: 65; Legislation_Status: Active; Public_Engagement_Score: 97.
88;Air_Quality: Moderate; Water_Cleanliness: Poor; Species_Count: 7100; Forest_Area_km2: 4000; Biodiversity_Index: 8.8; Avg_Temperature_C: 21; Avg_Rainfall_mm: 1400; Soil_Health_Index: 7.8; Pollution_Level: Medium; Population_Density: 930; Legislation_Status: Failed; Public_Engagement_Score: 89.
89;Air_Quality: Poor; Water_Cleanliness: Fair; Species_Count: 5600; Forest_Area_km2: 3400; Biodiversity_Index: 7.6; Avg_Temperature_C: 31; Avg_Rainfall_mm: 1000; Soil_Health_Index: 5.1; Pollution_Level: High; Population_Density: 2350; Legislation_Status: Pending; Public_Engagement_Score: 61.</s>
90; Air_Quality: Good; Water_Cleanliness: Excellent; Species_Count: 10100; Forest_Area_km2: 6500; Biodiversity_Index: 11.2; Avg_Temperature_C: 7; Avg_Rainfall_mm: 2700; Soil_Health_Index: 9.5; Pollution_Level: Low; Population_Density: 50; Legislation_Status: Active; Public_Engagement_Score: 95.
91;Air_Quality: Moderate; Water_Cleanliness: Poor; Species_Count: 6900; Forest_Area_km2: 3800; Biodiversity_Index: 8.5; Avg_Temperature_C: 22; Avg_Rainfall_mm: 1500; Soil_Health_Index: 7.5; Pollution_Level: Medium; Population_Density: 860; Legislation_Status: Failed; Public_Engagement_Score: 85.
92;Air_Quality: Poor; Water_Cleanliness: Fair; Species_Count: 4800; Forest_Area_km2: 3200; Biodiversity_Index: 7.3; Avg_Temperature_C: 33; Avg_Rainfall_mm: 900; Soil_Health_Index: 4.9; Pollution_Level: High; Population_Density: 2100; Legislation_Status: Pending; Public_Engagement_Score: 58.
93;Air_Quality: Good; Water_Cleanliness: Excellent; Species_Count: 11500; Forest_Area_km2: 7200; Biodiversity_Index: 12.5; Avg_Temperature_C: 6; Avg_Rainfall_mm: 3000; Soil_Health_Index: 9.8; Pollution_Level: Low; Population_Density: 40; Legislation_Status: Active; Public_Engagement_Score: 98.
94;Air_Quality: Moderate; Water_Cleanliness: Poor; Species_Count: 7500; Forest_Area_km2: 4400; Biodiversity_Index: 8.3; Avg_Temperature_C: 23; Avg_Rainfall_mm: 1300; Soil_Health_Index: 7.2; Pollution_Level: Medium; Population_Density: 900; Legislation_Status: Failed; Public_Engagement_Score: 82.
95;Air_Quality: Poor; Water_Cleanliness: Fair; Species_Count: 5200; Forest_Area_km2: 3600; Biodiversity_Index: 7.1; Avg_Temperature_C: 34; Avg_Rainfall_mm: 800; Soil_Health_Index: 4.8; Pollution_Level: High; Population_Density: 2400; Legislation_Status: Pending; Public_Engagement_Score: 65.
96;Air_Quality: Good; Water_Cleanliness: Excellent; Species_Count: 12300; Forest_Area_km2: 8100; Biodiversity_Index: 13.1; Avg_Temperature_C: 5; Avg_Rainfall_mm: 3200; Soil_Health_Index: 10.1; Pollution_Level: Low; Population_Density: 35; Legislation_Status: Active; Public_Engagement_Score: 99.
97;Air_Quality: Moderate; Water_Cleanliness: Poor; Species_Count: 8200; Forest_Area_km2: 5000; Biodiversity_Index: 9.1; Avg_Temperature_C: 24; Avg_Rainfall_mm: 1200; Soil_Health_Index: 7.0; Pollution_Level: Medium; Population_Density: 830; Legislation_Status: Failed; Public_Engagement_Score: 88.
98;Air_Quality: Poor; Water_Cleanliness: Fair; Species_Count: 6000; Forest_Area_km2: 4000; Biodiversity_Index: 7.9; Avg_Temperature_C: 36; Avg_Rainfall_mm: 600; Soil_Health_Index: 4.6; Pollution_Level: High; Population_Density: 2650; Legislation_Status: Pending; Public_Engagement_Score: 56.
99;Air_Quality: Good; Water_Cleanliness: Excellent; Species_Count: 13000; Forest_Area_km2: 9000; Biodiversity_Index: 14.2; Avg_Temperature_C: 3; Avg_Rainfall_mm: 3300; Soil_Health_Index: 8.9; Pollution_Level: Low; Population_Density: 25; Legislation_Status: Active; Public_Engagement_Score: 93.</s>
100; Air_Quality: Moderate; Water_Cleanliness: Poor; Species_Count: 9000; Forest_Area_km2: 6500; Biodiversity_Index: 8.5; Avg_Temperature_C: 15; Avg_Rainfall_mm: 1800; Soil_Health_Index: 6.8; Pollution_Level: Medium; Population_Density: 1100; Legislation_Status: Failed; Public_Engagement_Score: 72 
101;Air_Quality: Poor; Water_Cleanliness: Fair; Species_Count: 7500; Forest_Area_km2: 5500; Biodiversity_Index: 6.9; Avg_Temperature_C: 27; Avg_Rainfall_mm: 900; Soil_Health_Index: 5.5; Pollution_Level: High; Population_Density: 3400; Legislation_Status: Pending; Public_Engagement_Score: 64 
102;Air_Quality: Good; Water_Cleanliness: Excellent; Species_Count: 12000; Forest_Area_km2: 8000; Biodiversity_Index: 13.1; Avg_Temperature_C: 10; Avg_Rainfall_mm: 4200; Soil_Health_Index: 7.5; Pollution_Level: Low; Population_Density: 1000; Legislation_Status: Active; Public_Engagement_Score: 88 
103;Air_Quality: Moderate; Water_Cleanliness: Poor; Species_Count: 8500; Forest_Area_km2: 5800; Biodiversity_Index: 7.6; Avg_Temperature_C: 22; Avg_Rainfall_mm: 1400; Soil_Health_Index: 6.5; Pollution_Level: Medium; Population_Density: 1400; Legislation_Status: Failed; Public_Engagement_Score: 78 
104;Air_Quality: Poor; Water_Cleanliness: Fair; Species_Count: 6500; Forest_Area_km2: 4200; Biodiversity_Index: 8.3; Avg_Temperature_C: 30; Avg_Rainfall_mm: 700; Soil_Health_Index: 5.2; Pollution_Level: High; Population_Density: 2800; Legislation_Status: Pending; Public_Engagement_Score: 58 
105;Air_Quality: Good; Water_Cleanliness: Excellent; Species_Count: 14000; Forest_Area_km2: 8500; Biodiversity_Index: 11.4; Avg_Temperature_C: 5; Avg_Rainfall_mm: 3700; Soil_Health_Index: 8.2; Pollution_Level: Low; Population_Density: 400; Legislation_Status: Active; Public_Engagement_Score: 85 
106;Air_Quality: Moderate; Water_Cleanliness: Poor; Species_Count: 9500; Forest_Area_km2: 7000; Biodiversity_Index: 10.5; Avg_Temperature_C: 18; Avg_Rainfall_mm: 2300; Soil_Health_Index: 6.3; Pollution_Level: Medium; Population_Density: 1700; Legislation_Status: Failed; Public_Engagement_Score: 75 
107;Air_Quality: Poor; Water_Cleanliness: Fair; Species_Count: 7000; Forest_Area_km2: 5200; Biodiversity_Index: 6.2; Avg_Temperature_C: 32; Avg_Rainfall_mm: 800; Soil_Health_Index: 4.9; Pollution_Level: High; Population_Density: 3200; Legislation_Status: Pending; Public_Engagement_Score: 62 
108;Air_Quality: Good; Water_Cleanliness: Excellent; Species_Count: 12500; Forest_Area_km2: 7500; Biodiversity_Index: 13.6; Avg_Temperature_C: 8; Avg_Rainfall_mm: 4000; Soil_Health_Index: 7.8; Pollution_Level: Low; Population_Density: 1300; Legislation_Status: Active; Public_Engagement_Score: 90 
109;Air_Quality: Moderate; Water_Cleanliness: Poor; Species_Count: 8800; Forest_Area_km2: 6000; Biodiversity_Index: 9.4; Avg_Temperature_C: 20; Avg_Rainfall_mm: 1500; Soil_Health_Index: 6.7; Pollution_Level: Medium; Population_Density: 1600; Legislation_Status: Failed; Public_Engagement_Score: 82.</s>
