;Recipe Name;Cuisine;Prep Time;Cook Time;Servings;Ingredient 1;Ingredient 2;Ingredient 3;Instructions;Difficulty;Prep Tools;Ingredient Source
62;Recipe Name: Italian Minestrone Soup;Cuisine: Italian;Prep Time: 30 minutes;Cook Time: 60 minutes;Servings: 8;Ingredient 1: 2 tablespoons olive oil;Ingredient 2: 1 onion, diced;Ingredient 3: 2 carrots, diced;Ingredient 4: 2 celery stalks, diced;Ingredient 5: 4 cups vegetable broth;Ingredient 6: 1 14.5 oz can diced tomatoes;Ingredient 7: 1 15 oz can cannellini beans, drained and rinsed Ingredient 8: 1 15 oz can kidney beans, drained and rinsed Ingredient 9: 1 zucchini, diced Ingredient 10: 1 teaspoon dried oregano Ingredient 11: 1 teaspoon dried basil Ingredient 12: 1/2 teaspoon salt Ingredient 13: 1/4 teaspoon black pepper Ingredient 14: 2 cups fresh spinach, chopped Instructions: Heat oil, cook onion, carrots, and celery, add broth, tomatoes, beans, zucchini, herbs, salt, and pepper, simmer 45 minutes, add spinach, cook 5 more minutes Difficulty: Easy Prep Tools: Pot, wooden spoon Ingredient Source: Grocery Store
63;Recipe Name: Shrimp Scampi;Cuisine: Italian;Prep Time: 20 minutes;Cook Time: 15 minutes;Servings: 4;Ingredient 1: 1 lb shrimp, peeled and deveined;Ingredient 2: 1/2 cup unsalted butter;Ingredient 3: 4 garlic cloves, minced;Ingredient 4: 1/2 cup dry white wine;Ingredient 5: 1/2 teaspoon red pepper flakes;Ingredient 6: 1/4 cup fresh parsley, chopped;Ingredient 7: 1/2 teaspoon salt Ingredient 8: 1/4 teaspoon black pepper Ingredient 9: 1 lb pasta, cooked Instructions: Melt butter, add garlic, cook until fragrant, add shrimp, wine, pepper flakes, cook until shrimp are pink, remove from heat, stir in parsley, salt, and pepper, serve over pasta Difficulty: Easy Prep Tools: Skillet Ingredient Source: Grocery Store
64;Recipe Name: Chicken Parmesan;Cuisine: Italian;Prep Time: 20 minutes;Cook Time: 35 minutes;Servings: 6;Ingredient 1: 6 chicken breasts, pounded thin;Ingredient 2: 2 cups flour;Ingredient 3: 4 eggs, beaten;Ingredient 4: 2 cups breadcrumbs;Ingredient 5: 1 cup grated Parmesan cheese;Ingredient 6: 2 cups marinara sauce;Ingredient 7: 2 cups shredded mozzarella cheese Ingredient 8: 1/2 cup fresh basil, chopped Ingredient 9: 1/2 teaspoon salt Ingredient 10: 1/4 teaspoon black pepper Instructions: Dredge chicken in flour, dip in eggs, then breadcrumbs and cheese, heat oil, cook chicken until golden, place in baking dish, top with sauce and cheese, bake 20 minutes, top with basil, serve Difficulty: Moderate Prep Tools: 3 shallow dishes, baking dish, measuring cups Ingredient Source: Grocery Store
65;Recipe Name: Eggplant Parmesan;Cuisine: Italian;Prep Time: 45 minutes;Cook Time: 45 minutes;Servings: 6;Ingredient 1: 2 eggplants, sliced;Ingredient 2: 2 cups flour;Ingredient 3: 4 eggs, beaten;Ingredient 4: 2 cups breadcrumbs;Ingredient 5: 1 cup grated Parmesan cheese;Ingredient 6: 2 cups marinara sauce;Ingredient 7: 2 cups shredded mozzarella cheese Ingredient 8: 1/2 cup fresh basil, chopped Ingredient 9: 1/2 teaspoon salt Ingredient 10: 1/4 teaspoon black pepper Instructions: Dredge eggplant in flour, dip in eggs, then breadcrumbs and cheese, heat oil, cook eggplant until golden, place in baking dish, top with sauce and cheese, bake 20 minutes, top with basil, serve Difficulty: Moderate Prep Tools: 3 shallow dishes, baking dish, measuring cups Ingredient Source: Grocery Store
66;Recipe Name: Italian Sausage and Peppers;Cuisine: Italian;Prep Time: 20 minutes;Cook Time: 30 minutes;Servings: 6;Ingredient 1: 6 Italian sausages;Ingredient 2: 2 tablespoons olive oil;Ingredient 3: 2 bell peppers, sliced;Ingredient 4: 1 onion, sliced;Ingredient 5: 2 garlic cloves, minced;Ingredient 6: 1 14.5 oz can diced tomatoes;Ingredient 7: 1/2 cup red wine Ingredient 8: 1/2 teaspoon salt Ingredient 9: 1/4 teaspoon black pepper Instructions: Heat oil, cook sausages until browned, remove from pan, cook peppers, onions, and garlic, add tomatoes, wine, salt, and pepper, return sausages to pan, simmer 20 minutes Difficulty: Easy Prep Tools: Pan, measuring cups Ingredient Source: Grocery Store
67;Recipe Name: Italian Cream Cake;Cuisine: Italian;Prep Time: 30 minutes;Cook Time: 30 minutes;Servings: 12;Ingredient 1: 1/2 cup unsalted butter, softened;Ingredient 2: 1/2 cup vegetable oil;Ingredient 3: 2 cups sugar;Ingredient 4: 5 eggs;Ingredient 5: 1 teaspoon vanilla extract;Ingredient 6: 2 cups all-purpose flour;Ingredient 7: 1 teaspoon baking powder Ingredient 8: 1/2 teaspoon baking soda Ingredient 9: 1 cup buttermilk Ingredient 10: 1 cup sweetened shredded coconut Ingredient 11: 1 recipe cream cheese frosting Ingredient 12: 1/2 cup pecans, chopped Instructions: Preheat oven, grease pans, beat butter, oil, and sugar, add eggs one at a time, beat in vanilla, combine flour, baking powder, and baking soda, add to wet ingredients alternately with buttermilk, stir in coconut, pour into pans, bake, cool, frost, top with pecans. Difficulty: Moderate Prep Tools: Mixing bowls, electric mixer, 2 9-inch round cake pans, measuring cups Ingredient Source: Grocery Store</s>
68; Recipe Name: Chicken Marsala;Cuisine: Italian;Prep Time: 20 minutes;Cook Time: 25 minutes;Servings: 4;Ingredient 1: 4 boneless, skinless chicken breasts;Ingredient 2: 1/2 cup all-purpose flour;Ingredient 3: 1/2 teaspoon salt Ingredient 4: 1/4 teaspoon black pepper;Ingredient 5: 2 tablespoons olive oil;Ingredient 6: 2 tablespoons butter;Ingredient 7: 1 onion, sliced;Ingredient 8: 2 garlic cloves, minced Ingredient 9: 1 cup Marsala wine Ingredient 10: 1 cup chicken broth Ingredient 11: 1/2 cup heavy cream Ingredient 12: 1/2 cup fresh parsley, chopped Instructions: Pound chicken to even thickness, season with salt and pepper, dredge in flour, heat oil and butter, cook chicken until golden, set aside  cook onion and garlic, add wine, broth, and cream, simmer until thickened, add chicken and parsley, serve  Difficulty: Moderate Prep Tools: Pan, measuring cups, meat mallet Ingredient Source: Grocery Store
69;Recipe Name: Bruschetta;Cuisine: Italian;Prep Time: 15 minutes;Cook Time: 0 minutes;Servings: 6;Ingredient 1: 1 baguette, sliced;Ingredient 2: 1/4 cup olive oil;Ingredient 3: 4 garlic cloves, minced;Ingredient 4: 4 cups ripe tomatoes, diced;Ingredient 5: 1/2 cup fresh basil, chopped;Ingredient 6: 1/2 teaspoon salt Ingredient 7: 1/4 teaspoon black pepper;Ingredient 8: 1/4 cup balsamic vinegar Instructions: Preheat oven, brush bread with oil, toast until golden, rub with garlic, combine tomatoes, basil, salt, and pepper, top toast with tomato mixture, drizzle with vinegar, serve  Difficulty: Easy Prep Tools: Baking sheet, measuring cups, knife Ingredient Source: Grocery Store
70;Recipe Name: Tiramisu;Cuisine: Italian;Prep Time: 30 minutes;Cook Time: 0 minutes;Servings: 12;Ingredient 1: 6 egg yolks;Ingredient 2: 1 cup sugar;Ingredient 3: 1 1/2 cups mascarpone cheese;Ingredient 4: 2 cups strong brewed coffee, cooled;Ingredient 5: 1/2 cup coffee liqueur;Ingredient 6: 48 ladyfinger cookies;Ingredient 7: 1/4 cup unsweetened cocoa powder Instructions: Beat egg yolks and sugar until pale, add mascarpone, mix well, combine coffee and liqueur, quickly dip ladyfingers into coffee mixture, line bottom of dish, spread with half of mascarpone mixture, repeat layers, refrigerate 4 hours, dust with cocoa, serve  Difficulty: Moderate Prep Tools: Electric mixer, 13x9 inch dish, measuring cups Ingredient Source: Grocery Store
71;Recipe Name: Italian Stuffed Peppers;Cuisine: Italian;Prep Time: 20 minutes;Cook Time: 40 minutes;Servings: 6;Ingredient 1: 6 bell peppers, tops removed and reserved, seeds discarded;Ingredient 2: 1 lb Italian sausage, casings removed;Ingredient 3: 1 onion, chopped;Ingredient 4: 2 cups cooked white rice;Ingredient 5: 1 cup shredded mozzarella cheese;Ingredient 6: 1/2 cup grated Parmesan cheese;Ingredient 7: 1 can diced tomatoes, drained Ingredient 8: 1/2 teaspoon salt Ingredient 9: 1/4 teaspoon black pepper Ingredient 10: 1/2 cup fresh parsley, chopped Instructions: Preheat oven, cook sausage and onion until browned, add rice, tomatoes, salt, pepper, and 1/4 cup parmesan, spoon mixture into peppers, place in baking dish, top with remaining cheese, bake until peppers are tender and cheese is golden, serve topped with parsley  Difficulty: Moderate Prep Tools: Baking dish, skillet, measuring cups Ingredient Source: Grocery Store
72;Recipe Name: Pasta Carbonara;Cuisine: Italian;Prep Time: 10 minutes;Cook Time: 20 minutes;Servings: 4;Ingredient 1: 12 oz spaghetti;Ingredient 2: 2 tablespoons olive oil;Ingredient 3: 1/2 cup pancetta, diced;Ingredient 4: 4 eggs;Ingredient 5: 1 cup grated Parmesan cheese;Ingredient 6: 1/2 teaspoon salt Ingredient 7: 1/4 teaspoon black pepper;Ingredient 8: 1/4 cup fresh parsley, chopped Instructions: Cook spaghetti until al dente, drain, reserve 1/2 cup pasta water, heat oil, cook pancetta until crispy, add pasta, remove from heat, add eggs, cheese, salt, and pepper, stirring to coat, add pasta water if needed, serve topped with parsley  Difficulty: Easy Prep Tools: Pot, skillet, measuring cups Ingredient Source: Grocery Store
73;Recipe Name: Caprese Salad;Cuisine: Italian;Prep Time: 15 minutes;Cook Time: 0 minutes;Servings: 6;Ingredient 1: 3 cups ripe tomatoes, sliced;Ingredient 2: 1 lb fresh mozzarella cheese, sliced;Ingredient 3: 1/2 cup fresh basil leaves;Ingredient 4: 1/4 cup balsamic glaze;Ingredient 5: 1/2 teaspoon salt Ingredient 6: 1/4 teaspoon black pepper Instructions: Layer tomato and cheese slices on serving platter, top with basil, drizzle with balsamic glaze, season with salt and pepper, serve; Difficulty: Easy Prep Tools: Serving platter, measuring cups Ingredient Source: Grocery Store;
74;Recipe Name: Risotto with Asparagus;Cuisine: Italian;Prep Time: 10 minutes;Cook Time: 25 minutes;Servings: 4;Ingredient 1: 4 cups vegetable broth;Ingredient 2: 2 tablespoons olive oil;Ingredient 3: 1 onion, chopped;Ingredient 4: 1 1/2 cups Arborio rice;Ingredient 5: 1 cup white wine;Ingredient 6: 2 cups asparagus, chopped;Ingredient 7: 1/2 cup grated Parmesan cheese Ingredient 8: 1/2 teaspoon salt Ingredient 9: 1/4 teaspoon black pepper Instructions: Heat broth, heat oil, cook onion until soft, add rice, cook until translucent, add wine, cook until absorbed, add asparagus, cook, add warm broth, stirring, cook until absorption, remove from heat, stir in cheese, season with salt and pepper, serve  Difficulty: Moderate Prep Tools: Pot, pan, measuring cups Ingredient Source: Grocery Store
75;Recipe Name: Focaccia Bread;Cuisine: Italian;Prep Time: 30 minutes;Cook Time: 20 minutes;Servings: 12;Ingredient 1: 4 cups all-purpose flour;Ingredient 2: 2 teaspoons sugar;Ingredient 3: 1 packet active dry yeast;Ingredient 4: 1 1/2 teaspoons salt Ingredient 5: 2 tablespoons olive oil;Ingredient 6: 1 1/2 cups warm water;Ingredient 7: 1/4 cup olive oil;Ingredient 8: 2 teaspoons coarse sea salt Instructions: Combine flour, sugar, yeast, and salt, add oil and water, knead until smooth, roll out, place on baking sheet, let rise, poke with fingers, top with olive oil and sea salt, bake 15-20 minutes, serve  Difficulty: Moderate Prep Tools: Mixing bowl, baking sheet, measuring cups, measuring spoons Ingredient Source: Grocery Store
76;Recipe Name: Cioppino;Cuisine: Italian;Prep Time: 20 minutes;Cook Time: 35 minutes;Servings: 6;Ingredient 1: 2 tablespoons olive oil;Ingredient 2: 1 onion, chopped;Ingredient 3: 4 garlic cloves, minced;Ingredient 4: 1 1/2 cups white wine;Ingredient 5: 1 28 oz can crushed tomatoes;Ingredient 6: 4 cups seafood broth;Ingredient 7: 1 lb shrimp, peeled and deveined Ingredient 8: 1 lb mussels, scrubbed and debearded Ingredient 9: 1 lb white fish, cubed Ingredient 10: 1/2 teaspoon salt Ingredient 11: 1/4 teaspoon black pepper Ingredient 12: 1/4 cup fresh parsley, chopped Instructions: Heat oil, cook onion until soft, add garlic, cook, add wine, cook until reduced, add tomatoes and broth, bring to boil, add seafood, season, simmer, cook until seafood cooked, serve topped with parsley  Difficulty: Moderate Prep Tools: Pot, measuring cups Ingredient Source: Grocery Store
77;Recipe Name: Italian Sub Sandwich;Cuisine: Italian;Prep Time: 15 minutes;Cook Time: 0 minutes;Servings: 6;Ingredient 1: 1 24-inch long Italian sub roll;Ingredient 2: 1/2 cup mayonnaise;Ingredient 3: 8 oz mortadella, thinly sliced;Ingredient 4: 8 oz ham, thinly sliced;Ingredient 5: 8 oz salami, thinly sliced;Ingredient 6: 8 oz provolone cheese, thinly sliced;Ingredient 7: 1/2 cup roasted red peppers, sliced Ingredient 8: 1/2 cup lettuce, shredded Ingredient 9: 1/2 cup onion, thinly sliced Ingredient 10: 1/2 cup tomatoes, sliced Ingredient 11: 1/2 teaspoon salt Ingredient 12: 1/4 teaspoon black pepper Instructions: Slice roll in half, spread with mayo, layer meats, cheese, and vegetables, season with salt and pepper, serve  Difficulty: Easy Prep Tools: Measuring cups, knife, cutting board Ingredient Source: Grocery Store</s>
78; Recipe Name: Chicken Parmesan;Cuisine: Italian;Prep Time: 20 minutes;Cook Time: 30 minutes;Servings: 4;Ingredient 1: 4 boneless, skinless chicken breasts;Ingredient 2: 1 cup all-purpose flour;Ingredient 3: 2 eggs;Ingredient 4: 2 cups breadcrumbs;Ingredient 5: 1 cup grated Parmesan cheese;Ingredient 6: 2 cups marinara sauce;Ingredient 7: 1 cup shredded mozzarella cheese Ingredient 8: 2 tablespoons olive oil Ingredient 9: 1/2 teaspoon salt Ingredient 10: 1/4 teaspoon black pepper Instructions: Preheat oven to 375°F  Season chicken with salt and pepper, dredge in flour, dip in eggs, coat with breadcrumb mixture, heat oil in skillet, cook chicken until golden, transfer to baking dish, top with sauce and cheeses, bake 20 minutes, serve  Difficulty: Moderate Prep Tools: Measuring cups, measuring spoons, baking dish, skillet, mixing bowls Ingredient Source: Grocery Store
79;Recipe Name: Tiramisu;Cuisine: Italian;Prep Time: 30 minutes;Cook Time: 0 minutes;Servings: 8;Ingredient 1: 6 egg yolks;Ingredient 2: 1 cup sugar;Ingredient 3: 1 1/2 cups mascarpone cheese;Ingredient 4: 2 cups strong brewed coffee, cooled;Ingredient 5: 1/2 cup coffee liqueur;Ingredient 6: 40 ladyfinger cookies;Ingredient 7: 1/4 cup cocoa powder Ingredient 8: 1/2 cup grated dark chocolate Instructions: In a double boiler, whisk egg yolks and sugar until pale yellow, remove from heat, add mascarpone, mix until smooth, combine coffee and coffee liqueur, one at a time, dip ladyfingers in coffee mixture, place in a single layer in a 9x13 inch dish, spread half of the mascarpone mixture over the ladyfingers, repeat layers, refrigerate 4 hours, sprinkle with cocoa powder and grated chocolate, serve  Difficulty: Moderate Prep Tools: Double boiler, mixing bowls, 9x13 inch dish, whisk Ingredient Source: Grocery Store
80;Recipe Name: Eggplant Parmesan;Cuisine: Italian;Prep Time: 30 minutes;Cook Time: 40 minutes;Servings: 6;Ingredient 1: 2 large eggplants, sliced into 1/2 inch rounds;Ingredient 2: 2 cups all-purpose flour;Ingredient 3: 4 eggs;Ingredient 4: 3 cups breadcrumbs;Ingredient 5: 2 cups grated Parmesan cheese;Ingredient 6: 4 cups marinara sauce;Ingredient 7: 2 cups shredded mozzarella cheese Ingredient 8: 2 tablespoons olive oil Ingredient 9: 1/2 teaspoon salt Ingredient 10: 1/4 teaspoon black pepper Instructions: Preheat oven to 375°F  Season eggplant with salt and pepper, dredge in flour, dip in eggs, coat with breadcrumb mixture, heat oil in skillet, cook eggplant until golden, transfer to a baking dish, top with sauce and cheeses, bake 20 minutes, serve  Difficulty: Moderate Prep Tools: Measuring cups, measuring spoons, baking dish, skillet, mixing bowls Ingredient Source: Grocery Store
81;Recipe Name: Panzanella Salad;Cuisine: Italian;Prep Time: 20 minutes;Cook Time: 0 minutes;Servings: 4;Ingredient 1: 1 loaf crusty bread, cubed;Ingredient 2: 2 cups cherry tomatoes, halved;Ingredient 3: 1 cucumber, sliced;Ingredient 4: 1/2 red onion, thinly sliced;Ingredient 5: 1/2 cup basil, chopped;Ingredient 6: 1/2 cup olive oil;Ingredient 7: 1/4 cup red wine vinegar Ingredient 8: 1/2 teaspoon salt Ingredient 9: 1/4 teaspoon black pepper Instructions: In a large bowl, combine bread, tomatoes, cucumber, onion, basil, whisk together oil, vinegar, salt, and pepper, pour over the salad, toss to combine, let stand 15 minutes, serve  Difficulty: Easy Prep Tools: Measuring cups, measuring spoons, knife, cutting board Ingredient Source: Grocery Store
82;Recipe Name: Bruschetta;Cuisine: Italian;Prep Time: 15 minutes;Cook Time: 0 minutes;Servings: 6;Ingredient 1: 1 baguette;Ingredient 2: 2 cups cherry tomatoes, diced;Ingredient 3: 1/2 red onion, finely diced;Ingredient 4: 1/2 cup basil, chopped;Ingredient 5: 2 tablespoons olive oil;Ingredient 6: 1 tablespoon balsamic vinegar;Ingredient 7: 1/2 teaspoon salt Ingredient 8: 1/4 teaspoon black pepper Instructions: Preheat broiler  Slice baguette into 1/2 inch thick slices, broil until toasted, in a bowl, combine tomatoes, onion, basil, oil, vinegar, salt, and pepper, spoon mixture onto toasted bread, serve  Difficulty: Easy Prep Tools: Measuring cups, measuring spoons, knife, cutting board, baking sheet Ingredient Source: Grocery Store
83;Recipe Name: Spaghetti Carbonara;Cuisine: Italian;Prep Time: 10 minutes;Cook Time: 15 minutes;Servings: 4;Ingredient 1: 12 oz spaghetti;Ingredient 2: 1/2 cup pancetta, diced;Ingredient 3: 2 eggs;Ingredient 4: 1/2 cup grated Parmesan cheese;Ingredient 5: 1/2 teaspoon salt Ingredient 6: 1/4 teaspoon black pepper Instructions: In a large pot, cook spaghetti according to package instructions, meanwhile, in a skillet, cook pancetta until crispy, in a bowl, whisk eggs, cheese, salt, and pepper, reserve 1/2 cup pasta water, drain spaghetti, add pancetta and egg mixture, toss to combine, adding pasta water as needed, serve; Difficulty: Easy Prep Tools: Measuring cups, measuring spoons, large pot, skillet, mixing bowl Ingredient Source: Grocery Store;
84;Recipe Name: Caprese Salad;Cuisine: Italian;Prep Time: 10 minutes;Cook Time: 0 minutes;Servings: 4;Ingredient 1: 2 cups cherry tomatoes, sliced;Ingredient 2: 1 pound fresh mozzarella, sliced;Ingredient 3: 2 cups basil leaves;Ingredient 4: 1/3 cup olive oil;Ingredient 5: 1/4 cup balsamic vinegar;Ingredient 6: 1/2 teaspoon salt Ingredient 7: 1/4 teaspoon black pepper Instructions: On a large platter, layer tomatoes, mozzarella, and basil, drizzle with oil and vinegar, season with salt and pepper, serve; Difficulty: Easy Prep Tools: Measuring cups, measuring spoons, knife, cutting board Ingredient Source: Grocery Store
85;Recipe Name: Risotto with Asparagus;Cuisine: Italian;Prep Time: 15 minutes;Cook Time: 30 minutes;Servings: 4;Ingredient 1: 1 1/2 cups Arborio rice;Ingredient 2: 1 pound asparagus, trimmed and chopped;Ingredient 3: 1/2 onion, finely chopped;Ingredient 4: 4 cups vegetable broth;Ingredient 5: 1/3 cup white wine;Ingredient 6: 1/2 cup grated Parmesan cheese;Ingredient 7: 2 tablespoons unsalted butter Ingredient 8: 1/2 teaspoon salt Ingredient 9: 1/4 teaspoon black pepper Instructions: In a large skillet, heat 2 tablespoons of butter, add onion, cook until soft, add rice, cook stirring until translucent, add wine, cook until absorbed, add chopped asparagus and 1/2 cup of broth, simmer until broth is absorbed, repeat process until rice is tender and creamy, remove from heat, stir in cheese, season with salt and pepper, serve  Difficulty: Moderate Prep Tools: Measuring cups, measuring spoons, skillet, chopping board Ingredient Source: Grocery Store
86;Recipe Name: Tomato and Basil Soup;Cuisine: Italian;Prep Time: 20 minutes;Cook Time: 30 minutes;Servings: 6;Ingredient 1: 2 tablespoons olive oil;Ingredient 2: 1 onion, diced;Ingredient 3: 4 garlic cloves, minced;Ingredient 4: 2 28 oz canned crushed tomatoes;Ingredient 5: 4 cups vegetable broth;Ingredient 6: 1 teaspoon sugar;Ingredient 7: 2 cups basil leaves Ingredient 8: 1/2 cup heavy cream Ingredient 9: 1/2 teaspoon salt Ingredient 10: 1/4 teaspoon black pepper Instructions: In a large pot, heat oil, cook onion until soft, add garlic, cook, add tomatoes, broth, and sugar, simmer 30 minutes, add basil, puree until smooth, stir in heavy cream, season with salt and pepper, serve  Difficulty: Easy Prep Tools: Measuring cups, measuring spoons, mixing bowls, large pot Ingredient Source: Grocery Store
87;Recipe Name: Gnocchi with Gorgonzola Cream Sauce;Cuisine: Italian;Prep Time: 20 minutes;Cook Time: 15 minutes;Servings: 4;Ingredient 1: 16 oz gnocchi;Ingredient 2: 1 cup heavy cream;Ingredient 3: 1 cup crumbled gorgonzola cheese;Ingredient 4: 1/2 cup grated Parmesan cheese;Ingredient 5: 1/2 teaspoon salt Ingredient 6: 1/4 teaspoon black pepper Instructions: In a large pot, cook gnocchi according to package instructions, drain, in the same pot, bring cream to a simmer, add gorgonzola and Parmesan, stir until smooth, add cooked gnocchi, stir to coat, season with salt and pepper, serve; Difficulty: Easy Prep Tools: Measuring cups, measuring spoons, large pot Ingredient Source: Grocery Store</s>;
88; Recipe Name: Spaghetti Carbonara;Cuisine: Italian;Prep Time: 10 minutes;Cook Time: 20 minutes;Servings: 4;Ingredient 1: 12 oz spaghetti;Ingredient 2: 1/2 cup pancetta, diced;Ingredient 3: 2 large eggs;Ingredient 4: 1/2 cup grated Pecorino Romano cheese;Ingredient 5: 1/2 cup grated Parmesan cheese;Ingredient 6: 1/2 teaspoon black pepper; Ingredient 7: Salt Instructions: In a large pot, cook spaghetti according to package instructions, drain, reserving 1/2 cup pasta water  In a skillet, cook pancetta until crispy  In a bowl, whisk eggs, cheeses, and pepper  Add cooked spaghetti to skillet with pancetta, remove from heat, slowly add egg mixture while tossing to coat, add pasta water if needed, season with salt and more pepper, serve  Difficulty: Easy Prep Tools: Measuring cups, measuring spoons, large pot, skillet, mixing bowls Ingredient Source: Grocery Store
89;Recipe Name: Chicken Alfredo Pasta;Cuisine: Italian;Prep Time: 15 minutes;Cook Time: 30 minutes;Servings: 6;Ingredient 1: 16 oz fettuccine;Ingredient 2: 2 boneless, skinless chicken breasts, sliced;Ingredient 3: 1/2 cup unsalted butter;Ingredient 4: 2 garlic cloves, minced;Ingredient 5: 2 cups heavy cream;Ingredient 6: 2 cups grated Parmesan cheese;Ingredient 7: 1/2 teaspoon salt Ingredient 8: 1/4 teaspoon black pepper Instructions: In a large pot, cook fettuccine according to package instructions, drain, set aside  In a skillet, cook chicken in 2 tablespoons butter until cooked through, remove and set aside  In the same skillet, add remaining butter and garlic, cook until fragrant  Stir in heavy cream, bring to a simmer, add 1 1/2 cups Parmesan, whisk until smooth  Add cooked pasta and chicken, toss to coat, season with salt and pepper, sprinkle with remaining Parmesan, serve  Difficulty: Easy Prep Tools: Measuring cups, measuring spoons, large pot, skillet Ingredient Source: Grocery Store
90;Recipe Name: Eggplant Parmesan;Cuisine: Italian;Prep Time: 30 minutes;Cook Time: 60 minutes;Servings: 6;Ingredient 1: 2 medium eggplants;Ingredient 2: 2 cups breadcrumbs;Ingredient 3: 2 cups grated Parmesan cheese;Ingredient 4: 4 large eggs;Ingredient 5: 2 cups marinara sauce;Ingredient 6: 1 cup shredded mozzarella cheese;Ingredient 7: 1/4 cup fresh basil, chopped Ingredient 8: 2 tablespoons olive oil Ingredient 9: Salt and black pepper  Instructions: Slice eggplants into 1/4-inch thick rounds, sprinkle with salt, let sit for 30 minutes, rinse and pat dry  Preheat oven to 375°F (190°C)  In a bowl, mix breadcrumbs and 1 cup Parmesan  In another bowl, beat eggs  Coat eggplant slices in egg, then breadcrumb mixture, repeat for all slices  In a large skillet, heat oil, cook coated eggplant until golden brown  In a baking dish, layer marinara, eggplant, mozzarella, repeat, ending with marinara and cheese  Bake 40 minutes, top with basil, serve  Difficulty: Moderate Prep Tools: Measuring cups, measuring spoons, mixing bowls, skillet, baking dish, chopping board Ingredient Source: Grocery Store
91;Recipe Name: Tiramisu;Cuisine: Italian;Prep Time: 30 minutes;Cook Time: 0 minutes;Servings: 6;Ingredient 1: 2 cups strong brewed coffee;Ingredient 2: 1/4 cup coffee liqueur;Ingredient 3: 36 ladyfingers;Ingredient 4: 3 cups mascarpone cheese;Ingredient 5: 1/2 cup granulated sugar;Ingredient 6: 1 teaspoon vanilla extract;Ingredient 7: 1/4 cup unsweetened cocoa powder Ingredient 8: 1/2 cup grated dark chocolate  Instructions: Mix
92;coffee and coffee liqueur; One at a time, quickly dip ladyfingers in coffee mixture, line bottom of 9x13 inch dish; In a bowl, mix mascarpone, sugar, and vanilla; Spread half of mixture over ladyfingers; Repeat dipping and layering, end with mascarpone; Dust with cocoa and grated chocolate, refrigerate for at least 2 hours before serving; Difficulty: Moderate Prep Tools: Measuring cups, mixing bowls, 9x13 inch dish, chopping board Ingredient Source: Grocery Store;;;;;
93;Recipe Name: Caprese Salad;Cuisine: Italian;Prep Time: 15 minutes;Cook Time: 0 minutes;Servings: 4;Ingredient 1: 3 cups fresh basil leaves;Ingredient 2: 2 large ripe tomatoes;Ingredient 3: 1 pound fresh mozzarella cheese, sliced;Ingredient 4: 1/4 cup extra-virgin olive oil;Ingredient 5: 2 tablespoons balsamic vinegar;Ingredient 6: 1/2 teaspoon salt;Ingredient 7: 1/4 teaspoon black pepper Instructions: Arrange alternating slices of tomato and mozzarella on a platter  Over each slice of mozzarella, place basil leaf  In a small bowl, whisk together oil, vinegar, salt, and pepper  Drizzle over tomatoes, cheese, and basil  Season with additional salt and pepper to taste  Difficulty: Easy Prep Tools: Measuring cups, measuring spoons, chopping board Ingredient Source: Grocery Store
94;Recipe Name: Bruschetta;Cuisine: Italian;Prep Time: 15 minutes;Cook Time: 15 minutes;Servings: 8;Ingredient 1: 1 baguette;Ingredient 2: 3 cups chopped fresh tomatoes;Ingredient 3: 1/4 cup chopped fresh basil;Ingredient 4: 2 cloves garlic, minced;Ingredient 5: 1/4 cup extra-virgin olive oil;Ingredient 6: 1 tablespoon balsamic vinegar;Ingredient 7: 1/2 teaspoon salt Ingredient 8: 1/4 teaspoon black pepper Instructions: Preheat oven to 400°F (200°C)  Slice baguette on diagonal into 1/2-inch thick slices  Arrange bread slices on a baking sheet in a single layer  Toast in oven until lightly toasted, about 5 minutes  In a bowl, mix tomatoes, basil, garlic, oil, vinegar, salt, and pepper  Spoon tomato mixture onto each baguette slice  Serve immediately  Difficulty: Easy Prep Tools: Measuring cups, measuring spoons, chopping board, baking sheet Ingredient Source: Grocery Store
95;Recipe Name: Fettuccine Alfredo;Cuisine: Italian;Prep Time: 10 minutes;Cook Time: 20 minutes;Servings: 4;Ingredient 1: 12 oz fettuccine;Ingredient 2: 1 cup heavy cream;Ingredient 3: 2 cups grated Parmesan cheese;Ingredient 4: 1/2 teaspoon salt;Ingredient 5: 1/4 teaspoon black pepper;Instructions: Cook fettuccine according to package instructions, drain, reserve 1/2 cup pasta water; In a skillet, bring heavy cream to a simmer over medium heat  Gradually whisk in Parmesan cheese until smooth, add pasta water if needed  Remove from heat, stir in cooked fettuccine, coat with sauce, season with salt and pepper, serve  Difficulty: Easy Prep Tools: Measuring cups, measuring spoons, large pot, skillet Ingredient Source: Grocery Store
